inerte,orden_escalon_fase,n,sesgo_medio
cao,1,348,0.012806319879854646
cao,2,353,0.01038329433767412
cao,3,256,0.00547808233884306
sio2,1,348,-0.005642226717500034
sio2,2,353,-0.00786379139809221
sio2,3,256,-0.0030884348281452556
al2o3,1,348,0.005446333629377927
al2o3,2,353,0.011629649193976051
al2o3,3,256,0.003022731570550596
mgo,1,347,-0.03257038887439689
mgo,2,351,-0.009880691983737023
mgo,3,254,-0.008384049050894701
