orden_escalon_fase,n,media,sd,p5,p50,p95
1,348,1080.2793591150985,11241.157237286025,-1694.9835662206308,367.0976135852984,2621.204458991553
2,353,-384.1917163604294,9215.34596727297,-1851.7479679568467,2.0926499625858403e-17,1958.056412713106
3,256,-11.169165490964188,2417.028394562818,-1682.2671432288512,-6.684786091914958,1571.6477035399314
