inerte,n,sesgo_medio,sd_vs_consenso,sd_rel_asumida,peso_asumido,peso_empirico,peso_asumido_norm,peso_empirico_norm
cao,957,0.009952237511109931,0.08504330154110946,0.02,2500.0,138.26739352763377,0.2956636005256242,0.24526119512473274
sio2,957,-0.005778529338789706,0.07086771254144257,0.015,4444.444444444444,199.11462959725932,0.5256241787122208,0.3531931193313646
al2o3,957,0.007078797858472329,0.07448645510838844,0.03,1111.111111111111,180.2375965840588,0.1314060446780552,0.319708697884588
mgo,952,-0.01775167676957423,0.14722437338275257,0.05,399.99999999999994,46.136067191762216,0.047306176084099864,0.0818369876593147
