Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0001,Fusión,8137.806873214162,7321.570990919872,1.1114837079783255
AP0001,Reducción,2811.8883312516473,2772.6667515592317,1.0141457965225569
AP0002,Fusión,7956.936860096221,7682.34783334214,1.035742852668339
AP0002,Reducción,2653.479247384391,2575.8661774702364,1.0301308626173966
AP0003,Fusión,8363.50306341345,7936.898725372024,1.0537495000002572
AP0003,Reducción,2208.538531805265,2777.945181609178,0.7950259589089252
AP0004,Fusión,8202.93226282698,7014.14424284426,1.169484398784001
AP0004,Reducción,2425.567015718145,2721.5654604201777,0.8912396379926374
AP0005,Fusión,8295.682685928623,7336.343121621774,1.1307653620343179
AP0005,Reducción,2356.281131966043,3007.272037408593,0.7835277629211365
AP0006,Fusión,8147.505164175453,7168.95244530051,1.1364987041469938
AP0006,Reducción,2451.8853770919814,2679.0671399647463,0.9152011685396751
AP0007,Fusión,7649.513627702934,6241.888083796306,1.225512781550949
AP0007,Reducción,2667.187002165937,1446.796471927591,1.8435122381881395
AP0008,Fusión,7136.714477291162,6525.852827785229,1.0936064090972228
AP0008,Reducción,2508.348472847153,2770.381799590459,0.905416167987372
AP0009,Fusión,9035.783128109937,8589.880560617052,1.0519102174176045
AP0009,Reducción,184.17217547377592,2746.9493536749974,0.06704607612345738
AP0010,Fusión,9434.719756830576,8029.327950152507,1.1750323084824772
AP0010,Reducción,31.65674469254656,2780.682378400169,0.01138452379115657
AP0011,Fusión,8634.563698410406,8263.079425987084,1.0449571223114493
AP0011,Reducción,94.0755560540403,2571.3734137277975,0.03658572323716147
AP0012,Fusión,8874.434560288064,8474.544506267739,1.047187203244324
AP0012,Reducción,53.823417796054976,2799.1579671298755,0.01922843170271057
AP0013,Fusión,8893.93414096722,8608.573162046827,1.0331484641587856
AP0013,Reducción,65.10963318480545,2530.052245955576,0.02573450144710912
AP0014,Fusión,9091.386455030566,8202.705556146499,1.1083399730492771
AP0014,Reducción,43.19834618667999,2385.417345524349,0.018109345212791002
AP0015,Fusión,8805.544000814876,8531.251516047629,1.0321514943324894
AP0015,Reducción,170.13689867665937,2499.3157301803108,0.06807339169764878
AP0016,Fusión,8364.06046918931,8827.033689451426,0.9475505320869702
AP0016,Reducción,75.48423128284081,2718.3897530994723,0.027767994341788067
AP0017,Fusión,8050.701728746235,7577.876664856092,1.0623954551916848
AP0017,Reducción,113.13115587532063,3250.34361247661,0.03480590650202671
AP0018,Fusión,8181.910187596036,8085.486292555196,1.0119255529663842
AP0018,Reducción,13.710082679124701,2797.3641077135094,0.004901071920283898
AP0019,Fusión,7977.010942485704,7897.827878492612,1.010025929307566
AP0019,Reducción,121.14417223134579,2804.368448364109,0.04319837940767506
AP0020,Fusión,7870.6532661989695,7702.427192623535,1.0218406574146577
AP0020,Reducción,32.28445068844801,2831.7284096399444,0.011400970014830269
AP0021,Fusión,6170.476300997576,8387.728703390605,0.7356552076491529
AP0021,Reducción,3065.6279087002654,2783.111474749469,1.1015110018100256
AP0022,Fusión,7242.565837356325,7879.732946703713,0.9191384893806672
AP0022,Reducción,2101.1833418319156,2600.0145899772874,0.8081429042481915
AP0023,Fusión,7797.423126814953,7426.658499320308,1.0499234787123413
AP0023,Reducción,983.9957312802694,2688.493316427552,0.3660026696989505
AP0024,Fusión,6057.992828093865,7593.328436115949,0.7978046622190595
AP0024,Reducción,3199.9610206696298,2762.5022825192955,1.1583559734659798
AP0025,Fusión,6634.428578961956,8389.429616851554,0.7908080622829962
AP0025,Reducción,2981.7035727378166,2461.6998402933273,1.211237667538918
AP0026,Fusión,6941.01920549779,8283.201989054769,0.8379632918126941
AP0026,Reducción,1999.9681554406573,2632.390369677934,0.7597536362683731
AP0027,Fusión,6860.6996986640015,7862.837656168326,0.8725475456410885
AP0027,Reducción,2300.5955815916586,2765.6525281923005,0.8318454896773982
AP0028,Fusión,8185.420153086878,8722.773420600377,0.9383965120262732
AP0028,Reducción,1349.206806427055,2682.8968723318435,0.5028917884772776
AP0029,Fusión,7164.61293286818,7845.896625356292,0.9131668788132709
AP0029,Reducción,2417.1445458191483,2813.1131974306268,0.8592418349986276
AP0030,Fusión,8358.95775197641,8177.038463318638,1.0222475764879722
AP0030,Reducción,1461.3423106571202,2742.5530994207775,0.5328401156447082
AP0031,Fusión,6577.432144720639,8325.796059679435,0.7900063966945028
AP0031,Reducción,2855.668973115127,2634.423720702268,1.0839824097673554
AP0032,Fusión,6981.073971012047,7826.756997082639,0.8919497530860082
AP0032,Reducción,2780.198374519001,2663.698073561822,1.0437363010896343
AP0033,Fusión,6449.631394581298,7735.97878443918,0.833718857600107
AP0033,Reducción,2699.220974353088,2583.0776117757573,1.044963171856647
AP0034,Fusión,7277.592211882142,7666.665997667717,0.9492512409039423
AP0034,Reducción,2000.2939407911463,2503.0149329369074,0.7991538182491407
AP0035,Fusión,6855.281541695356,7591.040532045882,0.9030753442503053
AP0035,Reducción,2917.7213619155377,2824.605407358509,1.0329660044955122
AP0036,Fusión,8120.597693856472,8141.486181090641,0.997434315213519
AP0036,Reducción,1804.595531912755,2547.3521605964334,0.7084201233842083
AP0037,Fusión,6565.37054013927,7182.004519457621,0.91414180015513
AP0037,Reducción,1833.983441079915,2721.814343399801,0.6738091617186123
AP0038,Fusión,6303.411107990459,8423.366692104424,0.7483244334950906
AP0038,Reducción,3651.6156663125244,2728.511966742327,1.338317629104015
AP0039,Fusión,7133.585809708178,8410.3828237651,0.8481880027566528
AP0039,Reducción,3386.580183241719,2855.735923406827,1.185887026697345
AP0040,Fusión,6911.758269956903,8286.283554855341,0.8341204140795982
AP0040,Reducción,2826.0412282635148,2812.1341637841256,1.004945377307559
AP0041,Fusión,6967.1801314093345,8159.286133877982,0.8538957964081034
AP0041,Reducción,2944.456692258669,2614.751375012382,1.1260943278956017
AP0042,Fusión,7047.915453211635,8572.821801873928,0.8221231720541579
AP0042,Reducción,2729.2932853067505,2730.9233924702066,0.9994030930461284
AP0043,Fusión,4114.2740421575045,8883.026198517116,0.4631613090192528
AP0043,Reducción,2892.481300529873,2926.8878957496595,0.9882446487719087
AP0044,Fusión,7210.688712846239,8559.084930582281,0.842460236266833
AP0044,Reducción,3029.868541392512,2697.3481581884166,1.123276775448751
AP0045,Fusión,7036.802163403389,8472.797838130198,0.8305169434983583
AP0045,Reducción,2887.126513869552,2505.2354259447884,1.152437205689259
AP0046,Fusión,7750.572547513912,9311.615484827293,0.8323553050641959
AP0046,Reducción,2485.4952078836486,2858.8638844052402,0.8693996315955184
AP0047,Fusión,7361.8654906806805,9031.29176444441,0.8151508867938307
AP0047,Reducción,3072.617338285583,2668.2421767708574,1.151551146681935
AP0048,Fusión,7441.953377247548,9340.095334309586,0.7967748840753832
AP0048,Reducción,2740.482895522842,2747.1571438809688,0.9975704890515663
