target,version,variante,muestra,n,coef,ci_low,ci_high,p,r2_adj
sdi,multi,controles,dev,284,1.1003977041707742,0.6353517973106837,1.5654436110308647,3.5232059136528313e-06,0.07519463437087648
sdi,multi,controles,lockbox,63,-0.6254710475962515,-2.032998850191218,0.7820567549987147,0.3837758730797858,0.0421969222834192
sdi,multi,controles,total,347,0.9666711795549744,0.5272523205155618,1.406090038594387,1.620068080989248e-05,0.06068998150468663
sdi,multi,controles_tendencia,dev,284,1.1026722938450142,0.6368611971656837,1.5684833905243447,3.490087047588096e-06,0.0734375258395864
sdi,multi,controles_tendencia,lockbox,63,-0.6282162492988714,-2.0851220607615337,0.8286895621637909,0.39803580201096067,0.03454039442605117
sdi,multi,controles_tendencia,total,347,0.96701542223147,0.5283158621970869,1.405714982265853,1.5581450094506417e-05,0.05792250096192386
sdi,multi,solo,dev,285,1.0734511309735189,0.6024459340659607,1.544456327881077,7.936715386456301e-06,0.054094392455771634
sdi,multi,solo,lockbox,63,-0.25668234181229277,-1.261559274429015,0.7481945908044294,0.6166199122485756,-0.013863246986832056
sdi,multi,solo,total,348,0.9243993675453419,0.48100732281116276,1.3677914122795212,4.384920201181782e-05,0.037786153708710635
sdi,single,controles,dev,285,1.5117348185958637,0.9098341149663304,2.113635522225397,8.5380582284209e-07,0.12435432923486212
sdi,single,controles,lockbox,63,0.29836669160792706,-0.834819054518219,1.4315524377340731,0.6058148869874682,0.03254406613020555
sdi,single,controles,total,348,1.4082562417221731,0.9045196773972638,1.9119928060470825,4.2697465466749334e-08,0.11032405391070232
sdi,single,controles_tendencia,dev,285,1.5149564612635418,0.9059858218903131,2.1239271006367706,1.0833135092295894e-06,0.12304172604725039
sdi,single,controles_tendencia,lockbox,63,0.2920502244151777,-0.8540392498581386,1.438139698688494,0.6174663764467846,0.02444391073726837
sdi,single,controles_tendencia,total,348,1.4131087661658124,0.9042612870822385,1.9219562452493864,5.2399055358760625e-08,0.10793219985541114
sdi,single,solo,dev,286,1.4488046128537677,0.906555258760393,1.9910539669471423,1.6346056220403963e-07,0.09797578879919544
sdi,single,solo,lockbox,63,0.7759628244871015,-0.3040080451077307,1.8559336940819338,0.159059738171341,0.013048658594957852
sdi,single,solo,total,349,1.3424538195360083,0.874492402258959,1.8104152368130575,1.881016500269009e-08,0.08303822583847664
ln_feo_ret,multi,controles,dev,284,0.8772624297275433,0.4113376961073981,1.3431871633476886,0.0002239883706112275,0.05214597472403082
ln_feo_ret,multi,controles,lockbox,63,-1.1266401730504823,-2.5589964631590645,0.3057161170581002,0.12316170879128956,0.07897175656212885
ln_feo_ret,multi,controles,total,347,0.6835185316498296,0.23283050709279018,1.1342065562068688,0.002953818970527715,0.03810086436471727
ln_feo_ret,multi,controles_tendencia,dev,284,0.8801996297210097,0.4157762897048116,1.3446229697372079,0.00020350348156950954,0.0503089572730292
ln_feo_ret,multi,controles_tendencia,lockbox,63,-1.0888654610721495,-2.549888772264745,0.3721578501204461,0.14409396741173955,0.06805197320761591
ln_feo_ret,multi,controles_tendencia,total,347,0.6831763884776244,0.23200317978833623,1.1343495971669126,0.002999193816058789,0.035283188476350924
ln_feo_ret,multi,solo,dev,285,0.8857967734236833,0.4236495181996164,1.3479440286477504,0.00017219669073043287,0.034901616671101254
ln_feo_ret,multi,solo,lockbox,63,-0.687477890983054,-1.7274705030375213,0.35251472107141313,0.19510753610399223,0.004673180476941541
ln_feo_ret,multi,solo,total,348,0.674636211944974,0.2282690261980711,1.121003397691877,0.003053741894987193,0.018774979046173534
ln_feo_ret,single,controles,dev,285,1.361072567337376,0.7897900876807556,1.9323550469939965,3.0180593856708487e-06,0.10535172050457542
ln_feo_ret,single,controles,lockbox,63,-0.39018868889603175,-1.4804100196193484,0.7000326418272849,0.4830107686434826,0.03540550037719037
ln_feo_ret,single,controles,total,348,1.1861505781673285,0.6970942351620291,1.675206921172628,1.997570959228191e-06,0.08308135328843924
ln_feo_ret,single,controles_tendencia,dev,285,1.3698205384276132,0.7921593572050454,1.947481719650181,3.3564801005778605e-06,0.1045716879316746
ln_feo_ret,single,controles_tendencia,lockbox,63,-0.33897989968462383,-1.4614434570975483,0.7834836577283006,0.5539162321875097,0.025847754741573303
ln_feo_ret,single,controles_tendencia,total,348,1.1872185908284876,0.6958582165297427,1.6785789651272325,2.1836526105505348e-06,0.08041053301015755
ln_feo_ret,single,solo,dev,286,1.3662959413016462,0.8233978756807073,1.909194006922585,8.114846100183359e-07,0.08716226596634535
ln_feo_ret,single,solo,lockbox,63,0.09349964164126767,-1.0549905388795107,1.241989822162046,0.8732257445749627,-0.01599128740386191
ln_feo_ret,single,solo,total,349,1.1511731253220598,0.6815651342539304,1.6207811163901893,1.5509533105756238e-06,0.060297803046167275
feo_ext,multi,controles,dev,296,0.7150550056495658,0.2329480027661996,1.197162008532932,0.003649204553123063,0.02844800887367216
feo_ext,multi,controles,lockbox,63,-1.5116634195626335,-3.1127351227867606,0.08940828366149356,0.06423947897755176,0.10536815191453497
feo_ext,multi,controles,total,359,0.5786067574406342,0.11734120303087886,1.0398723118503894,0.013949600026879063,0.019388426383438184
feo_ext,multi,controles_tendencia,dev,296,0.7027637193138999,0.2216848688095734,1.1838425698182264,0.004194776185811853,0.02543275651976551
feo_ext,multi,controles_tendencia,lockbox,63,-1.467466976838788,-3.123738245957833,0.18880429228025686,0.08246827931360835,0.09305237037071667
feo_ext,multi,controles_tendencia,total,359,0.5449914177763006,0.08296487340313635,1.0070179621494648,0.020782671865175788,0.01976011062372518
feo_ext,multi,solo,dev,297,0.677912630257473,0.19361161001363253,1.1622136505013134,0.006078633135427203,0.019708224204752822
feo_ext,multi,solo,lockbox,63,-1.003937256155525,-2.2569110344752126,0.24903652216416217,0.1163200704213268,0.020973224223584608
feo_ext,multi,solo,total,360,0.49368065863355937,0.029333476139527803,0.9580278411275909,0.03718039134021464,0.008854077269146332
feo_ext,single,controles,dev,296,1.4532789878202195,0.873954122201992,2.032603853438447,8.800913816991634e-07,0.09256549571653849
feo_ext,single,controles,lockbox,63,-0.5861156316016314,-1.6356235269176882,0.46339226371442543,0.27370269593730545,0.04653669786274062
feo_ext,single,controles,total,359,1.221606196287734,0.7226875141269782,1.72052487844849,1.5947033804793856e-06,0.07028274923857314
feo_ext,single,controles_tendencia,dev,296,1.514967713715797,0.8983914545321526,2.1315439728994416,1.4664203334519435e-06,0.0913301922386478
feo_ext,single,controles_tendencia,lockbox,63,-0.5262610502562199,-1.6199416446842845,0.5674195441718446,0.34562856965127453,0.03493519343645424
feo_ext,single,controles_tendencia,total,359,1.2112464525671913,0.685834247716423,1.7366586574179597,6.2321616388301865e-06,0.06770852745298062
feo_ext,single,solo,dev,297,1.2496430269874512,0.7054137467935043,1.793872307181398,6.782226363582504e-06,0.06978750730728411
feo_ext,single,solo,lockbox,63,-0.09793775414547401,-1.396462134052049,1.200586625761101,0.8824808154989553,-0.015851716542503835
feo_ext,single,solo,total,360,0.9897338009324759,0.5006189951105511,1.4788486067544007,7.308053868968785e-05,0.04402036170532475
sn_ext,multi,controles,dev,296,0.38953411123274884,-0.12794267285256877,0.9070108953180664,0.1401114835679009,0.009525964959681388
sn_ext,multi,controles,lockbox,63,0.49127209516669357,-0.7074088740774722,1.6899530644108594,0.42181331803827016,0.0460920914185623
sn_ext,multi,controles,total,359,0.35309334470154097,-0.12353098337782836,0.8297176727809104,0.14650643893977483,0.009169889338179749
sn_ext,multi,controles_tendencia,dev,296,0.4627920790872525,-0.040006859967393504,0.9655910181418985,0.07122927372212733,0.010077471244441694
sn_ext,multi,controles_tendencia,lockbox,63,0.4588322175186108,-0.7156258696841213,1.633290304721343,0.4438487137624071,0.036013700329174836
sn_ext,multi,controles_tendencia,total,359,0.40838535304188417,-0.05920379744749921,0.8759745035312676,0.08693295017540113,0.013427241671293833
sn_ext,multi,solo,dev,297,0.3816072969723822,-0.10694917219147809,0.8701637661362425,0.12579134695713057,0.003128279970698533
sn_ext,multi,solo,lockbox,63,0.18202106723858957,-1.3787482270899714,1.7427903615671505,0.819198313638345,-0.014039737270830077
sn_ext,multi,solo,total,360,0.36089251484466334,-0.09071369990802364,0.8124987295973503,0.11728590542569707,0.003431018299114741
sn_ext,single,controles,dev,297,-0.06998192209643851,-0.6326687534963107,0.4927049093034337,0.807414629912294,0.002854286817736029
sn_ext,single,controles,lockbox,63,0.037523717327198725,-1.2797458607499137,1.3547932954043111,0.9554760418634608,0.02908981376676134
sn_ext,single,controles,total,360,-0.05823464859545202,-0.5707622568088281,0.45429295961792404,0.8237721668807575,0.003117715750035388
sn_ext,single,controles_tendencia,dev,297,0.009981456958831101,-0.5971247577245067,0.6170876716421689,0.9742935410268625,0.0009087455634114727
sn_ext,single,controles_tendencia,lockbox,63,0.007204240595825029,-1.3072290235743058,1.3216375047659559,0.9914290400271464,0.02101734987785897
sn_ext,single,controles_tendencia,total,360,0.04250725007772249,-0.47389412621152427,0.5589086263669693,0.8718309870456327,0.005467087892774503
sn_ext,single,solo,dev,298,-0.026974635546999276,-0.5512481004522708,0.4972988293582722,0.919675083945687,-0.003345036711632776
sn_ext,single,solo,lockbox,63,-0.19147734132049044,-1.4347236863710071,1.0517690037300262,0.7627573478356303,-0.014555788960384453
sn_ext,single,solo,total,361,0.05391007838974355,-0.417009649975253,0.5248298067547401,0.8224668469714458,-0.002646423470686221
