fase,orden_escalon_fase,n,b6_q_combustion_MJ_mediana,b6_q_combustion_MJ_p25,b6_q_combustion_MJ_p75,b6_q_carbon_lanza_MJ_mediana,b6_q_carbon_lanza_MJ_p25,b6_q_carbon_lanza_MJ_p75,b6_q_carga_MJ_mediana,b6_q_carga_MJ_p25,b6_q_carga_MJ_p75,b6_q_gases_MJ_mediana,b6_q_gases_MJ_p25,b6_q_gases_MJ_p75,b6_q_perdidas_MJ_mediana,b6_q_perdidas_MJ_p25,b6_q_perdidas_MJ_p75,b6_q_neto_disponible_MJ_mediana,b6_q_neto_disponible_MJ_p25,b6_q_neto_disponible_MJ_p75,b6_dT_teorico_sin_reaccion_mediana,b6_dT_teorico_sin_reaccion_p25,b6_dT_teorico_sin_reaccion_p75,d_temperatura_horno_celsius_mediana,d_temperatura_horno_celsius_p25,d_temperatura_horno_celsius_p75,participacion_combustion_pct,participacion_carbon_lanza_pct,participacion_carga_pct,participacion_gases_pct,participacion_perdidas_pct
Fusión,1,362,34891.662830923786,34073.52739076907,35504.22168855514,3268.888854194407,3192.360147622645,3331.444662435766,24888.02495482166,24392.68054302065,25583.289017149033,11563.214210978509,11156.873905780863,12437.228651562427,3744.0,3744.0,3744.0,-2128.9691684132868,-3218.329384352009,-1385.2383271291787,-304.78916481194216,-449.9476916110387,-193.76288980224447,-1.8149996010322411,-13.164248495528199,9.168169169652174,91.43992105890754,8.560078941092462,62.183782172061065,28.583908925918543,9.233356239524019
Fusión,2,362,40458.322676672076,39294.805925292356,41193.84517174114,3851.556097217076,3742.2058428382375,3964.7141416130303,29586.040652961063,28362.61484307525,30141.3374235963,14607.32592299685,13864.034790951055,15459.450275841651,4329.0,4329.0,4329.0,-4059.1326960952447,-5433.858998836445,-2742.325893666417,-222.2291273972952,-312.6513438830055,-155.12632442935933,8.300140925627147,-0.17523883102387572,15.802834142196758,91.31444908653795,8.685550913462045,60.932504716879144,30.10342350122527,8.909778312102556
Fusión,3,362,46031.21000175026,44643.24656570784,46934.639279175186,4421.648154906432,4289.711293599611,4564.258009526317,33393.1196349246,31774.238216784717,34245.48737326689,17030.297149941005,16245.012175390895,18041.430678982288,4914.0,4914.0,4914.0,-4588.1946239921235,-6270.266685009658,-3236.2764162523786,-162.4914582468465,-221.136275472056,-113.8645402696062,1.8333686149781556,-5.140437130106903,10.342872042916326,91.27421370581771,8.72578629418229,60.02235696830587,30.92457244335985,8.862183813970844
Fusión,4,362,51853.69996994582,50517.30468644518,52687.32841805015,5001.209391189092,4859.764877769551,5152.02735385027,36829.218115240736,34998.73026006209,37920.43844111601,19191.29481216534,18271.838238605393,20294.808255119322,5499.0,5499.0,5499.0,-4442.628339505802,-6301.923428029687,-2971.0193495543463,-110.9942541806858,-152.44661733610283,-70.19526027850006,-1.6103345020516144,-9.328276450674139,6.827136446023587,91.24448447804056,8.755515521959444,59.49899356318089,31.530296166246586,8.920272422924935
Fusión,5,362,57493.84821811102,55660.32088543057,58486.747400394175,5524.714907484286,5398.110361584135,5703.779366852603,40456.79333921036,37882.59204844573,41727.18725472416,20992.752886097252,19925.62249600243,21933.03582875313,6084.0,6084.0,6084.0,-4401.078663979026,-5922.712981783866,-2747.8807607872523,-82.33699232431499,-115.67804389532253,-53.76515797003895,-2.7361522456139937,-11.660133918661927,7.562350243989329,91.25554421056388,8.744455789436127,59.3514565748698,31.52782469339187,8.982998949827412
Fusión,6,362,76851.19706941536,69928.758311205,87044.38249941859,7464.440796130953,6778.581525639231,8476.833190488143,53344.1531295179,49187.76655477677,58797.32572460849,27541.799650598045,24832.828399432692,31399.923817014314,8190.0,7488.0,9243.0,-4812.212595705023,-7103.822445102792,-2615.7644295314603,-72.1747421972958,-108.80397946028539,-37.87908149889757,-6.161130735378492,-15.953927485607096,5.6320906030276205,91.22992998752215,8.77007001247784,59.87529771001806,30.901017765088167,9.139840875829547
Reducción,0,362,27887.60580022122,26536.000618755585,28885.17685279154,0.0,0.0,0.0,4831.839997054116,3683.494409958075,6300.86468694012,12024.03751510776,11451.545894443974,12602.582111592306,4740.0,4740.0,4740.0,5698.173221266466,3838.7278489271716,7503.490060601779,72.64183038880569,51.19491032104178,94.36717760664531,-8.97712819779531,-15.622909868546458,-0.6188986560616172,100.0,0.0,22.25494881707515,55.71253035300578,21.851951058961667
Reducción,1,362,20825.483145216152,19214.89961267872,22225.30851705334,0.0,0.0,0.0,1161.1745805818666,1023.1702139691148,1413.8287867873591,7866.874596950861,7514.9301659877,8296.411939165318,3950.0,3950.0,3950.0,7758.0371894783775,6004.713402266061,9271.064560973578,117.19920965351908,95.43078216759602,139.25247921962801,-13.012225442980366,-21.711082639365003,-1.69848377931487,100.0,0.0,9.087298055812699,60.63170388650407,30.483143403451418
Reducción,2,362,12435.78953988597,11603.410170455898,13788.963680024015,0.0,0.0,0.0,337.4665431693395,282.47923700452094,430.4401231530223,4980.151755375663,4709.207470726674,5321.0009199661035,3160.0,3160.0,3160.0,4084.986535813631,3230.2975016551945,5294.381756978035,62.511408598751125,50.48641508699569,81.86287102512428,-3.4353997509900864,-15.920482613993897,6.124214448491728,100.0,0.0,4.065654209790215,58.660803572412455,37.26977842409606
Reducción,3,362,6422.951047765098,5388.266807431885,8023.310499891662,0.0,0.0,0.0,110.45995882756309,82.37944761304594,161.21352934711715,2604.755450559899,2234.4606330960764,3500.830771677989,1738.0,1580.0,2370.0,1809.391707644244,1391.1875642864552,2569.9383184358385,28.05456649372156,21.861976974193386,40.878562716791016,2.5390054407246225,-1.915729540396967,6.819842917217898,100.0,0.0,2.1973648255823535,57.35716004168967,40.05356036089115
