Batch,fecha_inicio,escalon_idx,fase_proceso,b6_masa_escoria_multioxido_kg,m_est_cao_kg,m_est_sio2_kg,m_est_al2o3_kg,m_est_mgo_kg
AP0001,2026-04-21 18:36:00,1,Fusión,52067.21883833942,58369.69413941952,49109.3151386266,50921.99337432671,48723.52671454401
AP0001,2026-04-21 19:06:00,2,Fusión,83820.39249071566,89922.71142031417,80809.68252173968,82220.18239102466,83578.26022404384
AP0001,2026-04-21 19:41:00,3,Fusión,124670.42354935265,127455.34474240498,122638.92054966568,123446.71820157063,133236.10316646952
AP0001,2026-04-21 20:21:00,4,Fusión,162396.53814993871,160464.25141656684,161958.9017026146,163138.6249505599,177274.60520205527
AP0001,2026-04-21 21:06:00,5,Fusión,191032.62028505592,198276.84527867901,185880.33674293332,187774.36656652545,212054.51376107996
AP0001,2026-04-21 21:56:00,6,Fusión,235583.1756728282,231101.9271026398,235008.36651471662,240318.85264738646,256823.0893973052
AP0001,2026-04-21 22:51:00,7,Fusión,294037.5964194384,309624.1778335323,283719.9528613613,293534.21668702597,312660.22359446436
AP0001,2026-04-22 00:21:00,8,Reducción,259983.51848940618,263227.67029115814,256780.7864658174,261438.25265028176,271252.5528770105
AP0001,2026-04-22 00:51:00,9,Reducción,264158.42540347984,254019.13251380128,265914.09445609205,270960.47055111174,289127.002191524
AP0001,2026-04-22 01:16:00,10,Reducción,251422.9668910147,246816.1824144464,252598.8799760127,252879.75029237117,263103.0483658199
AP0001,2026-04-22 01:36:00,11,Reducción,,,,,
AP0002,2026-04-22 03:22:00,1,Fusión,41533.408283213874,39646.37171545256,42029.24856328488,44424.85061683901,39786.26612641876
AP0002,2026-04-22 03:52:00,2,Fusión,80649.79278013774,85427.83901441,77247.7788878347,82315.65958804185,83959.75037512493
AP0002,2026-04-22 04:27:00,3,Fusión,110895.6030651216,118787.60573210412,106020.6532634107,111199.40382168633,114892.80431392197
AP0002,2026-04-22 05:07:00,4,Fusión,139898.81509294437,148013.06430031365,134635.25942347726,140228.1465604461,146753.8997979052
AP0002,2026-04-22 05:52:00,5,Fusión,194375.40268469014,213330.56560268524,184432.66013118296,189283.7478879101,200524.0372550225
AP0002,2026-04-22 06:42:00,6,Fusión,222194.83149258114,232485.19241772115,214312.68117729417,223494.40575325023,241849.59515623038
AP0002,2026-04-22 07:37:00,7,Fusión,307644.19475310185,310211.4065834354,301612.82217895694,310782.19463429163,349897.7053007102
AP0002,2026-04-22 09:13:00,8,Reducción,267240.69045527437,284466.52705792617,259459.61789767613,254758.8286605649,280707.41175842896
AP0002,2026-04-22 09:43:00,9,Reducción,265619.7948837502,274105.0126079922,260398.67160460824,262904.82506776566,278141.24780877156
AP0002,2026-04-22 10:08:00,10,Reducción,262761.5301385126,278203.2851660382,251663.51581072656,263325.63734391314,287994.8670657649
AP0002,2026-04-22 10:28:00,11,Reducción,248039.74454196592,263530.67781377904,238540.4795006049,251374.49547203176,247505.60391362896
AP0003,2026-04-22 12:29:00,1,Fusión,52286.70222783818,55314.15588120194,50212.656599248214,54521.151230703304,50203.265537355444
AP0003,2026-04-22 12:59:00,2,Fusión,90744.10459267843,95739.27691112149,87027.9804941291,91115.46377495395,99782.99207996958
AP0003,2026-04-22 13:34:00,3,Fusión,122867.60153258788,130703.39986190046,117654.53064327831,123903.63334644436,128939.00570600036
AP0003,2026-04-22 14:14:00,4,Fusión,162826.95891961473,174887.36070875966,154993.25926066306,161999.46742601637,176789.14254136104
AP0003,2026-04-22 14:59:00,5,Fusión,195224.01098488728,206218.81580788377,187516.91637055698,195245.73252153533,212080.52784302866
AP0003,2026-04-22 15:49:00,6,Fusión,248167.99568719565,256543.2354840502,240236.0712947551,250326.58311097213,277959.16402903624
AP0003,2026-04-22 16:44:00,7,Fusión,293817.0094426384,293298.4615908453,289712.27419161366,299141.5477961386,327875.7186568966
AP0003,2026-04-22 18:20:00,8,Reducción,270029.58658577304,265740.2113186404,269568.28852234484,272083.26702737424,296259.0481501052
AP0003,2026-04-22 18:50:00,9,Reducción,255430.08455662173,255614.98370829315,253820.66393553608,256869.6719739555,268158.062267033
AP0003,2026-04-22 19:15:00,10,Reducción,257591.6158282445,256551.4073353826,256061.85607154318,259378.49744151198,276126.6895017922
AP0003,2026-04-22 19:35:00,11,Reducción,,,,,
AP0004,2026-04-22 21:08:00,1,Fusión,43447.62898220528,44075.995995661455,42609.62760483108,45705.42001382117,42559.819808884466
AP0004,2026-04-22 21:38:00,2,Fusión,77055.29965877152,75287.15379538892,76690.0544212182,80978.25487394538,81267.39390224442
AP0004,2026-04-22 22:13:00,3,Fusión,115456.6680245318,120057.25885290661,111416.5196245233,117412.5891183487,126160.39897556986
AP0004,2026-04-22 22:53:00,4,Fusión,152374.32029897912,152308.3735104722,150008.92669181636,155872.3337584857,169351.93486365993
AP0004,2026-04-22 23:38:00,5,Fusión,192371.02241615404,191119.3935077064,189192.12213441642,197121.07439904008,222320.22849413034
AP0004,2026-04-23 00:28:00,6,Fusión,217526.22140497997,210418.51720148904,217657.2770160846,224893.34011522867,240028.98058049977
AP0004,2026-04-23 01:23:00,7,Fusión,284815.4469420332,269604.69817360805,288684.83369642455,294997.08800511423,308607.1042984503
AP0004,2026-04-23 03:00:00,8,Reducción,262511.669839992,271960.03615677817,256625.52861794535,256462.9145072236,285663.04764050944
AP0004,2026-04-23 03:30:00,9,Reducción,263738.94625983975,258119.25995610352,263317.791411266,269293.867328346,288111.14767427015
AP0004,2026-04-23 03:55:00,10,Reducción,255921.23317218578,250124.630150267,256469.35275750078,259412.4992623626,276361.8230829642
AP0004,2026-04-23 04:15:00,11,Reducción,,,,,
AP0005,2026-04-23 05:45:00,1,Fusión,46625.12835780359,46872.23749541135,45817.66175831147,49292.19992323248,46644.01522703156
AP0005,2026-04-23 06:15:00,2,Fusión,79972.62048551456,74353.49380112493,80809.11033570973,86755.82382277328,86955.59910172904
AP0005,2026-04-23 06:50:00,3,Fusión,120207.28291513622,113557.00987453685,121658.30288480532,127936.52703235377,124178.92276362154
AP0005,2026-04-23 07:30:00,4,Fusión,155657.62230263633,143834.33470499938,158666.75143327375,168177.28378126395,161341.56422904108
AP0005,2026-04-23 08:15:00,5,Fusión,182609.2297020302,156454.66696213622,190385.54877083737,201195.1027537596,208044.27647370583
AP0005,2026-04-23 09:05:00,6,Fusión,232760.99015221949,213002.2971573131,236664.10087863635,249470.88710720258,266468.54397968826
AP0005,2026-04-23 10:00:00,7,Fusión,289982.60572379787,257841.30351366935,298484.1361646018,311779.3625540596,335857.7484441091
AP0005,2026-04-23 11:23:00,8,Reducción,254906.90489375236,202135.3976293641,276578.0555887275,274905.1057660965,288387.7040399429
AP0005,2026-04-23 11:53:00,9,Reducción,262185.52965347026,227402.9857027447,274359.6092487702,280556.47707863664,293278.4687722642
AP0005,2026-04-23 12:18:00,10,Reducción,256433.59755836407,232082.52873053317,263912.29485500715,271242.06620049535,284396.50598590815
AP0005,2026-04-23 12:38:00,11,Reducción,246270.06488095142,224978.90158289517,254401.55046708873,254832.97750721948,265204.127241533
AP0006,2026-04-23 14:40:00,1,Fusión,49326.53904715641,46485.95154346317,49916.64482641159,52840.27473302876,50763.103159424994
AP0006,2026-04-23 15:10:00,2,Fusión,81149.58564039595,79953.59795416435,80426.10787781072,85033.4175197983,85874.7285986171
AP0006,2026-04-23 15:45:00,3,Fusión,114444.6275560121,111817.75583764256,113924.33042717092,120290.76893940032,120404.37338464508
AP0006,2026-04-23 16:25:00,4,Fusión,144470.1822141607,133762.97653910692,148387.14837465537,151781.33527633685,147559.6129494835
AP0006,2026-04-23 17:10:00,5,Fusión,180130.49112861007,173611.227990091,180543.1867531301,188274.63793503717,193667.74878738957
AP0006,2026-04-23 18:00:00,6,Fusión,222310.73765506555,208716.9106838978,225675.88171944878,232611.82489739914,241267.53539190142
AP0006,2026-04-23 18:55:00,7,Fusión,277877.05348947673,273998.29522118863,275632.14533166314,286113.3198307267,304184.1990273995
AP0006,2026-04-23 20:10:00,8,Reducción,247529.60591395377,236911.80690866642,251360.69865742483,251304.6120919368,260837.02427514625
AP0006,2026-04-23 20:40:00,9,Reducción,241388.6840890233,222997.36231580738,248420.25371699588,250546.37325607394,252767.86828567527
AP0006,2026-04-23 21:05:00,10,Reducción,,,,,
AP0006,2026-04-23 21:25:00,11,Reducción,,,,,
