w,n,rho_dev,p_dev,cumple_95pct_max
2,285,0.13378156313664097,0.023900205803466443,False
3,285,0.16979684511189327,0.004042747341535763,False
4,285,0.194668415350402,0.0009545241751224773,False
5,285,0.20879646669120352,0.00038729976528064844,False
6,285,0.22426713390390185,0.0001344433506267338,True
7,285,0.22745727215704978,0.0001070880321256778,True
8,285,0.22738573509514942,0.00010763952180545605,True
9,285,0.22946601211982973,9.264291754693021e-05,True
10,285,0.229612714935176,9.166310923106757e-05,True
11,285,0.23154680752901655,7.962299776515319e-05,True
12,285,0.23031512594151585,8.710522003926937e-05,True
13,285,0.23025240141622647,8.750340689194451e-05,True
14,285,0.22929909230872908,9.376971598612026e-05,True
15,285,0.2300953309107497,8.850803736910747e-05,True
16,285,0.22942194943677524,9.293912223327985e-05,True
