target,kpi,variante,muestra,n,coef,ci_low,ci_high,p,r2_adj
st_R22_sdi,recuperacion_refinada_pct,A_controles,dev,285,1.4664740753624137,0.8817755700686125,2.051172580656215,8.843957940185128e-07,0.11897349024798065
st_R22_sdi,recuperacion_refinada_pct,A_controles,lockbox,63,0.3991555993516567,-0.9008066133894557,1.699117812092769,0.5473004438973792,0.04014506836358189
st_R22_sdi,recuperacion_refinada_pct,A_controles,total,348,1.3895450001282328,0.8857768702111047,1.8933131300453607,6.438525883975697e-08,0.10956988781926913
st_R22_sdi,recuperacion_refinada_pct,B_controles_idx,dev,285,1.4684816038393038,0.8794037867023636,2.057559420976244,1.0296122006616698e-06,0.11655192269823611
st_R22_sdi,recuperacion_refinada_pct,B_controles_idx,lockbox,63,0.39013120262156153,-0.906295102719278,1.6865575079624011,0.5553191200264855,0.04099053355102367
st_R22_sdi,recuperacion_refinada_pct,B_controles_idx,total,348,1.3878062163930514,0.8841416028444882,1.8914708299416145,6.644845616663944e-08,0.10698097286215535
st_R22_sdi,recuperacion_refinada_pct,C_solo,dev,286,1.4046463000532232,0.8748658282646743,1.934426771841772,2.0296858382554628e-07,0.09740250522432659
st_R22_sdi,recuperacion_refinada_pct,C_solo,lockbox,63,0.9046903009254814,-0.3335141039867424,2.1428947058377052,0.1521318723401477,0.021409331741793047
st_R22_sdi,recuperacion_refinada_pct,C_solo,total,349,1.3231438956935542,0.8530647875305817,1.7932230038565267,3.4530330261034476e-08,0.08389350919936522
st_R22_sdi,sn_perdido_escoria_frac,A_controles,dev,285,0.00036639396924393296,-0.0006506708268342297,0.0013834587653220956,0.4801445805038007,0.06016056434359662
st_R22_sdi,sn_perdido_escoria_frac,A_controles,lockbox,63,-0.0017789623353070862,-0.007626051521058755,0.004068126850444583,0.5509653697507572,-0.004499244690163939
st_R22_sdi,sn_perdido_escoria_frac,A_controles,total,348,-3.9104751475591915e-05,-0.0011708221146998418,0.001092612611748658,0.9460057112440461,0.02454505680372787
st_R22_sdi,sn_perdido_escoria_frac,B_controles_idx,dev,285,0.0003832622922501649,-0.0006516303134658475,0.0014181548979661774,0.467928662642463,0.08000982241453136
st_R22_sdi,sn_perdido_escoria_frac,B_controles_idx,lockbox,63,-0.001736291352756583,-0.007463396534093074,0.003990813828579907,0.5523757114958942,0.044424544408436684
st_R22_sdi,sn_perdido_escoria_frac,B_controles_idx,total,348,5.791724728411332e-05,-0.001037217822881918,0.0011530523174501446,0.9174435063696452,0.05420206732680599
st_R22_sdi,sn_perdido_escoria_frac,C_solo,dev,286,0.00035354826936106326,-0.0006027852562325661,0.0013098817949546925,0.4687086228880375,-0.0007122889792399167
st_R22_sdi,sn_perdido_escoria_frac,C_solo,lockbox,63,-0.002294915619979827,-0.008009181941243271,0.0034193507012836187,0.4311974196462942,0.023557542317380498
st_R22_sdi,sn_perdido_escoria_frac,C_solo,total,349,-2.6254798743209533e-05,-0.0011255366364260897,0.0010730270389396708,0.9626638779697332,-0.002869808142321739
st_R22_sdi,rendimiento_proxy_batch,A_controles,dev,285,1.5117348185958637,0.9098341149663304,2.113635522225397,8.5380582284209e-07,0.12435432923486212
st_R22_sdi,rendimiento_proxy_batch,A_controles,lockbox,63,0.29836669160792706,-0.834819054518219,1.4315524377340731,0.6058148869874682,0.03254406613020555
st_R22_sdi,rendimiento_proxy_batch,A_controles,total,348,1.4082562417221731,0.9045196773972638,1.9119928060470825,4.2697465466749334e-08,0.11032405391070232
st_R22_sdi,rendimiento_proxy_batch,B_controles_idx,dev,285,1.5149564612635418,0.9059858218903131,2.1239271006367706,1.0833135092295894e-06,0.12304172604725039
st_R22_sdi,rendimiento_proxy_batch,B_controles_idx,lockbox,63,0.2920502244151777,-0.8540392498581386,1.438139698688494,0.6174663764467846,0.02444391073726837
st_R22_sdi,rendimiento_proxy_batch,B_controles_idx,total,348,1.4131087661658124,0.9042612870822385,1.9219562452493864,5.2399055358760625e-08,0.10793219985541114
st_R22_sdi,rendimiento_proxy_batch,C_solo,dev,286,1.4488046128537677,0.906555258760393,1.9910539669471423,1.6346056220403963e-07,0.09797578879919544
st_R22_sdi,rendimiento_proxy_batch,C_solo,lockbox,63,0.7759628244871015,-0.3040080451077307,1.8559336940819338,0.159059738171341,0.013048658594957852
st_R22_sdi,rendimiento_proxy_batch,C_solo,total,349,1.3424538195360083,0.874492402258959,1.8104152368130575,1.881016500269009e-08,0.08303822583847664
st_R22_sdi,recuperacion_real_pct,A_controles,dev,285,0.8176775935410621,0.3046660231109861,1.330689163971138,0.0017844534065260362,0.1301776020670018
st_R22_sdi,recuperacion_real_pct,A_controles,lockbox,63,1.0285235793210852,-0.24691898944407797,2.303966148086248,0.11398663126519351,0.06149781427579237
st_R22_sdi,recuperacion_real_pct,A_controles,total,348,0.9111285313824884,0.43257396360263006,1.3896830991623468,0.00019025974608278471,0.13311139815417705
