,cao,sio2,al2o3,mgo
cao,1.0,0.2473413816679933,0.13201712928832232,0.4719166629647678
sio2,0.2473413816679933,1.0,0.5884649679311886,0.7411742258049989
al2o3,0.13201712928832232,0.5884649679311886,1.0,0.45451340373422333
mgo,0.4719166629647678,0.7411742258049989,0.45451340373422333,1.0
