target,version,columna,set,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox
feo_ext,v3_single,feo_extraido_est_kg,A,769,179,0.22099786586879067,482.50036966183643,0.017687123078129696,419.09246709301283
feo_ext,v3_single,feo_extraido_est_kg,B,769,179,0.2387054352186252,470.90537047074116,0.018468492857695695,419.21384663239246
feo_ext,multi,b6_feo_extraido_multi_kg,A,769,179,0.07384443214085512,499.11528521653537,-0.031045115138977897,500.73114167751936
feo_ext,multi,b6_feo_extraido_multi_kg,B,769,179,0.1099831315551768,488.117691643017,-0.03778284577549118,497.8958812089928
sdi,v3_single,st_R22_sdi,A,745,179,0.24153303313277863,0.4234866194780839,-0.198040570499892,0.4046262075282686
sdi,v3_single,st_R22_sdi,B,745,179,0.24971923010001118,0.41361682731508337,-0.2396419107309249,0.4107370687787469
sdi,multi,b6_sdi_multi,A,745,179,0.05577316853168679,0.46249659050277375,-0.10495463064199861,0.4822076128929929
sdi,multi,b6_sdi_multi,B,745,179,0.07253674467445892,0.4509332299707045,-0.13531493153628382,0.4909802537700392
