variable,n,rho,p_rho,ci_low,ci_high,ols_coef,ols_ci_low,ols_ci_high,ols_p,ols_r2
ratio_cal_carga,350,-0.3534929381347719,9.710812118471182e-12,-0.4405064913533386,-0.2574984448985715,-7.232021193518564,-8.932802125759041,-5.5312402612780875,7.808109478623763e-17,0.1928335361349488
frac_carga_secundaria_F,349,-0.010170931726114019,0.8498326858694535,-0.1245548665488389,0.11092779203444497,0.23280926602712063,0.02403986047910589,0.44157867157513536,0.028840897003976452,0.01780642015715317
pellets_kg,350,0.0506283783074614,0.34497157823113606,-0.054276252309208385,0.15542008351199818,4.173086229099907e-06,1.8926435564209977e-06,6.453528901778817e-06,0.00033498213583588464,0.03323215061481943
idx_cronologico,350,0.19079372076506745,0.00033107836251551723,0.09002547807936571,0.2938239632174772,0.00021665176208711018,8.572077110383724e-05,0.0003475827530703831,0.0011821339677524697,0.024591746287547567
