variante,n_escalones,autocorr_lag1,sd_feo_ext,rho_lnfeo_dev,p,rho_sdi_dev,p_sdi,rho_sdi_lockbox,n_batch_dev,r2_oof_hgb_feo,n_hgb
single_cao,587,-0.1517526561325649,690.9144554573096,0.1372158604923616,0.02048951787237874,0.17589926752269228,0.002884951362679948,-0.16191436251920124,285,0.24832019015581486,752
multi4_asumido,596,-0.6541043376759041,1974.9621190313576,0.19362387056975638,0.0010179138450196466,0.229612714935176,9.166310923106757e-05,-0.053043394777265745,285,-0.016571389165286776,759
multi4_empirico,596,-0.4993313269995184,1138.856406381424,0.19957025924409172,0.0007028197296360927,0.23320563794989294,7.049742168111079e-05,-0.07027649769585254,285,-0.0051541165043922366,759
multi3_sin_cao,596,-0.630390502132596,1529.2528758145884,0.19540089265812022,0.00091226443799477,0.23144779608827049,8.020138113434635e-05,-0.06091589861751153,285,0.004420177229950029,759
multi2_sio2_al2o3,596,-0.6809852783185896,2011.5663800808804,0.19680208597925425,0.0008361909190980408,0.2254625285759459,0.00012350417041036532,-0.05179531490015361,285,-0.015169732403483405,759
