fase,columna,n,spearman,p_spearman,pearson,p_pearson
Fusión,b6_q_neto_disponible_MJ,1794,0.030804093680359294,0.19219024965344944,0.013638492092476945,0.5637427288641557
Fusión,b6_q_neto_por_min_MJ,1794,-0.03911420044390695,0.09768416886093087,-0.04448644166886752,0.05958243699329578
Fusión,b6_dT_teorico_sin_reaccion,1704,-0.1215278560118345,4.86424602871828e-07,-0.09506357737735273,8.487382678715833e-05
Reducción,b6_q_neto_disponible_MJ,1196,-0.32782760776722325,2.324279029467961e-31,-0.29321016806449535,3.8472767788239728e-25
Reducción,b6_q_neto_por_min_MJ,1196,-0.2547301863088385,3.6134079709409504e-19,-0.23899374391335304,5.3726937208600066e-17
Reducción,b6_dT_teorico_sin_reaccion,1136,-0.3014912964121366,2.6615955114299007e-25,-0.26938408423601407,2.4457082784296188e-20
