fase,metodo,variante,n_dev,n_lockbox,r2_oof,r2_lockbox
Fusión,nnls,estandar,1727,374,0.0653623270182041,-0.6262086646558094
Fusión,ols,estandar,1727,374,0.09025673924668254,-0.8264135118323854
Fusión,nnls,leakage_extraccion_real,1727,374,0.05053729166989096,-0.7726521730830598
Fusión,ols,leakage_extraccion_real,1727,374,0.07011245175807412,-0.9838385170988528
Reducción,nnls,estandar,1056,238,0.03264697952614215,0.03459581475767359
Reducción,ols,estandar,1056,238,0.07696069439831299,-0.0685273756997069
Reducción,nnls,leakage_extraccion_real,759,177,0.013402139557228798,-0.023574450947827064
Reducción,ols,leakage_extraccion_real,759,177,0.07104475699784485,-0.14409647064382902
