fase,n,b6_q_combustion_MJ_mediana,b6_q_carbon_lanza_MJ_mediana,b6_q_carga_MJ_mediana,b6_q_gases_MJ_mediana,b6_q_perdidas_MJ_mediana,b6_q_neto_disponible_MJ_mediana,b6_dT_teorico_sin_reaccion_mediana,d_temperatura_horno_celsius_mediana
Fusión,2172,47837.796220905446,4664.912268376049,34196.62931442361,18126.555639621198,5265.0,-4020.3832260592044,-130.3223250559199,0.28197459043883555
Reducción,1448,16444.42425532139,0.0,758.4353916871662,6490.395544550598,3950.0,4542.826661546946,66.45343325513352,-4.259601740362996
