Batch,masa_escoria_multioxido_kg,masa_escoria_balance_kg,masa_escoria_trazador_kg,factor_multioxido_vs_balance,factor_multioxido_vs_trazador
AP0001,251422.9668910147,60901.543129420905,57662.784722795666,4.128351335149583,4.360229359363915
AP0002,248039.74454196592,53569.15781792818,62999.320785011165,4.6302714966139265,3.9371812497537224
AP0003,257591.6158282445,55461.04914849113,65259.25436100331,4.644550000101333,3.947204398065762
AP0004,255921.23317218578,51484.478421747765,67845.65041925623,4.970842495008768,3.772109657593454
AP0005,246270.06488095142,53537.31385491448,54610.83355975228,4.599970509322536,4.509545978848607
AP0006,241388.6840890233,55712.16224112187,56884.808028734034,4.332782544757367,4.2434648626587865
AP0007,244042.62366773636,52301.239921148925,59769.89514398835,4.66609633032913,4.083035834006848
AP0008,229854.18523994312,43810.17996264838,57502.36905659259,5.246593039241379,3.997299398460011
AP0009,304861.5055115217,62545.788357339195,0.4779516063344637,4.8742131727523255,637850.153595224
AP0010,288287.8817575671,46581.042551242135,5.315560119556486e-20,6.188952972455091,5.423471379750304e+24
AP0011,304230.287980363,47866.38180857209,5.567430052048226e-20,6.355823784572752,5.464465384139643e+24
AP0012,303473.9870250727,54983.10702770736,0.04196987600580539,5.519404112105643,7230757.293233255
AP0013,315114.3622652211,43070.35606594844,1.9338026041831051,7.316270192489806,162950.6349735911
AP0014,317421.0727125881,56671.475088477964,52.88075462401386,5.601073065718099,6002.582129727078
AP0015,314828.5770592482,53908.77485807272,106.52460765048534,5.840024706332262,2955.4539932427883
AP0016,316179.8727547996,64411.522687899895,189.45422306269026,4.908747062025223,1668.8985214659265
AP0017,318172.24103160127,48704.12340705897,0.48248802268015656,6.532757778481785,659440.7033447109
AP0018,312181.22118943493,53668.549872372314,3.589646561398383e-20,5.8168372712105025,8.696711942242626e+24
AP0019,304604.0564615855,51688.66655577902,3.552184224427536e-20,5.893053095747339,8.575119904167554e+24
AP0020,307499.6427955859,53834.410374929495,3.542510786888324e-20,5.711953389180008,8.680274000398681e+24
AP0021,282704.0578088357,58686.20425744625,53324.79384977299,4.817214904011543,5.301549943264135
AP0022,280207.88995213265,44304.612030990036,53782.45402519838,6.324576090546371,5.210024254766219
AP0023,271515.2145636657,55686.78998980428,53731.88846122917,4.87575625410223,5.053148555528258
