target,version,quintil,n,media_rendimiento,sem
sdi,multi,1,57,67.45489615920755,0.6353641540400361
sdi,multi,2,57,68.10048748980655,0.575355330414056
sdi,multi,3,57,68.60784986044507,0.6185644307874154
sdi,multi,4,57,70.83412287305788,0.5588912570910557
sdi,multi,5,57,69.90327662519702,0.6092790828972308
sdi,single,1,58,66.49120736960506,0.6193712290145006
sdi,single,2,57,68.73749443230336,0.4633428127069669
sdi,single,3,57,69.26116296559915,0.5654535489918293
sdi,single,4,57,69.5447920107562,0.7465479318274472
sdi,single,5,57,70.85943497577543,0.5148378555029887
ln_feo_ret,multi,1,57,67.68451295226735,0.5866218230641681
ln_feo_ret,multi,2,57,68.84900084594547,0.5662850442615484
ln_feo_ret,multi,3,57,68.32362349097798,0.7106942930703586
ln_feo_ret,multi,4,57,70.04510843964266,0.6521931631246525
ln_feo_ret,multi,5,57,69.99838727888061,0.5131883396067308
ln_feo_ret,single,1,58,66.72360215560128,0.6061399797151249
ln_feo_ret,single,2,57,68.542090748444,0.5023646445661232
ln_feo_ret,single,3,57,68.46783842814585,0.693428743807412
ln_feo_ret,single,4,57,70.50284232188805,0.5945677092429676
ln_feo_ret,single,5,57,70.65364099845131,0.5278433525651075
feo_ext,multi,1,60,68.49699310747715,0.6193187700417975
feo_ext,multi,2,59,68.37153087185841,0.4905396753048481
feo_ext,multi,3,59,68.65012929333035,0.7349450233894301
feo_ext,multi,4,59,69.33002876660466,0.6511063714248161
feo_ext,multi,5,60,70.47158898180494,0.46034654810669445
feo_ext,single,1,60,67.4481899859127,0.6154499028320038
feo_ext,single,2,59,68.09173377945628,0.5819525252430272
feo_ext,single,3,59,69.19425266717363,0.5891662868990076
feo_ext,single,4,59,69.53697772288166,0.6228147723383983
feo_ext,single,5,60,71.05697145294656,0.5129088492491793
sn_ext,multi,1,60,69.29190082667631,0.5814085116981165
sn_ext,multi,2,59,69.1410201395496,0.6137815721555971
sn_ext,multi,3,59,67.9228279992507,0.6288401159303564
sn_ext,multi,4,59,69.09703077509279,0.541268600352403
sn_ext,multi,5,60,69.8643111135411,0.6402021628710848
sn_ext,single,1,60,69.01507743038447,0.5579083691647957
sn_ext,single,2,59,69.09074281410267,0.5563038699402152
sn_ext,single,3,60,68.52093977931122,0.6928694272927273
sn_ext,single,4,59,69.04704899295916,0.6367329090215529
sn_ext,single,5,60,69.6115363174081,0.5665674961308987
