fase,orden_escalon_fase,aparente,variable,n,spearman,p_spearman,pearson,p_pearson
Fusión,4,calibrado_sin_r7,sn_extraido_est_kg,294,0.09211617081610222,0.11500565723161797,,
Fusión,5,calibrado_sin_r7,sn_extraido_est_kg,289,0.13192091238117967,0.02491315828605046,,
Fusión,6,calibrado_sin_r7,sn_extraido_est_kg,275,-0.038529759672254124,0.524600642684829,,
Fusión,todos,calibrado_sin_r7,feo_extraido_est_kg,1727,0.25051775541914184,4.005309127093664e-26,0.17318627203249917,4.2689613826836645e-13
Fusión,1,calibrado_sin_r7,feo_extraido_est_kg,291,0.37459836668306157,3.983131067337234e-11,,
Fusión,2,calibrado_sin_r7,feo_extraido_est_kg,291,0.11867747103711243,0.043080678949632446,,
Fusión,3,calibrado_sin_r7,feo_extraido_est_kg,287,0.16418591571030594,0.005298652616474545,,
Fusión,4,calibrado_sin_r7,feo_extraido_est_kg,294,0.0949036848498872,0.1043769969253971,,
Fusión,5,calibrado_sin_r7,feo_extraido_est_kg,289,0.055590025056675825,0.3463651400322941,,
Fusión,6,calibrado_sin_r7,feo_extraido_est_kg,275,0.10272467614898588,0.08908630639287461,,
Fusión,todos,calibrado_sin_r7,b6_feo_extraido_multi_kg,0,,,,
Reducción,todos,calibrado_sin_r7,b6_q_reaccion_trazador_MJ,1056,-0.2225312958593213,2.5785206486679444e-13,-0.16251862367074088,1.09435006560252e-07
Reducción,0,calibrado_sin_r7,b6_q_reaccion_trazador_MJ,284,-0.10220998671964836,0.08554479449027884,,
Reducción,1,calibrado_sin_r7,b6_q_reaccion_trazador_MJ,289,-0.15165611939462892,0.009824905785279888,,
Reducción,2,calibrado_sin_r7,b6_q_reaccion_trazador_MJ,287,-0.003401602271001871,0.954246102486421,,
Reducción,3,calibrado_sin_r7,b6_q_reaccion_trazador_MJ,196,-0.00401710116866487,0.9554374718493994,,
Reducción,todos,calibrado_sin_r7,sn_extraido_est_kg,1056,-0.21403671263609741,2.0840511669944265e-12,-0.1505908238681181,8.838195635265087e-07
Reducción,0,calibrado_sin_r7,sn_extraido_est_kg,284,-0.07920066427952127,0.18321588160881624,,
Reducción,1,calibrado_sin_r7,sn_extraido_est_kg,289,-0.07306655928091318,0.215566233192608,,
Reducción,2,calibrado_sin_r7,sn_extraido_est_kg,287,-0.005612781527415674,0.9245751028547843,,
Reducción,3,calibrado_sin_r7,sn_extraido_est_kg,196,0.14683677453800734,0.040003670144061816,,
Reducción,todos,calibrado_sin_r7,feo_extraido_est_kg,1056,-0.16794573791921644,4.0155427221442674e-08,-0.16183029492246567,1.2398342677883456e-07
Reducción,0,calibrado_sin_r7,feo_extraido_est_kg,284,-0.1391115523342772,0.01900538039469089,,
Reducción,1,calibrado_sin_r7,feo_extraido_est_kg,289,-0.22322912937994668,0.0001297942127960938,,
Reducción,2,calibrado_sin_r7,feo_extraido_est_kg,287,0.00719301024179073,0.9034319665801037,,
Reducción,3,calibrado_sin_r7,feo_extraido_est_kg,196,-0.1219278183745189,0.08867505768247468,,
Reducción,todos,calibrado_sin_r7,b6_feo_extraido_multi_kg,759,-0.11343159958569654,0.0017481092476148415,-0.017354383410074,0.6331054918581825
Reducción,1,calibrado_sin_r7,b6_feo_extraido_multi_kg,279,-0.21684072097160983,0.00026305195750748333,,
Reducción,2,calibrado_sin_r7,b6_feo_extraido_multi_kg,285,-0.0029952256786949147,0.959848965885799,,
Reducción,3,calibrado_sin_r7,b6_feo_extraido_multi_kg,195,-0.1866173590768583,0.008996064016255202,,
