,coef_por_sd,ci_lo,ci_hi,p
const,0.9924028043408061,0.9545456091114715,1.0302599995701407,0.0
tiro_horno_pct_medio,0.07556032547703595,0.02385797996764201,0.1272626709864299,0.0041781744852033165
gas_total_medio,0.018297307290313623,-0.02929276508164332,0.06588737966227057,0.45111235525273086
pos_lanza_media,0.08873067029092223,0.046230691533018245,0.1312306490488262,4.277118408749049e-05
frac_pellets_F,-0.08040812653006492,-0.12573722937627074,-0.035079023683859095,0.0005075694968611502
f_polvo,0.03549778164396393,0.0027354010099633827,0.06826016227796447,0.033703140547738875
f_dross,-0.008968479262195777,-0.04824577453661623,0.03030881601222468,0.6544900724096953
