target,n,rho,p_rho,ci_low,ci_high
sdi,348,0.5802407582943786,1.057364799903161e-32,0.5023646168538258,0.6469216123580439
ln_feo_ret,348,0.5987917950721343,3.1015913032937035e-35,0.5259108007570873,0.6632868050469662
feo_ext,360,0.5503936501567656,6.720620118799187e-30,0.4613075664102615,0.628265896274183
sn_ext,360,0.4059007656952085,1.0351546124236507e-15,0.3132588726504731,0.48940064732783006
