variante,palanca,theta_1sd,ci_lo,ci_hi,signif,r2_oof,n
v4,relacion_C_Sn_carga,51.20157828872113,-65.89680260432388,188.55010107584604,False,0.7318705648121846,1749
v4,relacion_CaO_carga,-439.84671742240675,-714.8239958090453,-180.89096611124742,True,0.7318705648121846,1749
v4,tasa_gn_nm3_min,221.0205644030141,114.21249713236189,339.2232433745444,True,0.7318705648121846,1749
v4,exceso_o2_combustion_pct,81.0161187713815,-19.24196780665147,164.1989367224539,False,0.7318705648121846,1749
fisica,tasa_c_fijo,14.263861941601673,-130.65304258580014,147.23190033812787,False,0.7292247022694182,1749
fisica,tasa_ceq_fe_dross,-40.03732207710694,-150.33927272275517,46.87854896301239,False,0.7292247022694182,1749
fisica,tasa_ceq_lanza,-65.32481872531731,-146.54268153008505,46.639248680003845,False,0.7292247022694182,1749
fisica,tasa_gn_nm3_min,176.11987261642824,67.18892168048725,288.92700419088976,True,0.7292247022694182,1749
fisica+cal,tasa_c_fijo,51.36158061791877,-86.43127822405812,197.26314763505522,False,0.7322652870760988,1749
fisica+cal,tasa_ceq_fe_dross,-85.2483020963668,-195.26484701222614,-1.37082387143497,True,0.7322652870760988,1749
fisica+cal,tasa_ceq_lanza,-91.15307565928867,-173.40307541076848,8.127934693216346,False,0.7322652870760988,1749
fisica+cal,tasa_gn_nm3_min,200.535657656788,94.1300118563775,305.53911522787735,True,0.7322652870760988,1749
fisica+cal,relacion_CaO_carga,-467.6877497419813,-745.6172045742369,-173.33466501925705,True,0.7322652870760988,1749
