fase,target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof_dev,r2_lockbox,mae_lockbox,std_target_lockbox,param,valor,es_baseline,theta_1sd_reductor_neto,ci_lo_1sd_reductor_neto,ci_hi_1sd_reductor_neto
Reducción,feo_extraido_est_kg,37,4,1045,242,0.3686994396866985,0.37541752815628904,492.8636219303581,813.9698051758336,CARBONO_FIJO,0.6,False,160.18110302798158,-13.690577689067915,453.46941242029465
Reducción,st_R22_sdi,37,4,1015,242,0.13173563342186834,0.16256293319119108,0.4613083699575546,0.6692777110269599,CARBONO_FIJO,0.6,False,-0.12074567773485502,-0.3419904240391317,0.06759574089500658
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36801426452661357,0.376817267384714,492.0280414611441,813.9698051758336,CARBONO_FIJO,0.75,True,115.0602600014437,-11.457069332808901,345.5313771285696
Reducción,st_R22_sdi,37,4,1015,242,0.1310115614187396,0.16542686392290296,0.460315271480883,0.6692777110269599,CARBONO_FIJO,0.75,True,-0.06457793021156992,-0.2473482586186535,0.10929041889807523
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36807203207466443,0.37759948802994725,491.61749698502837,813.9698051758336,CARBONO_FIJO,0.85,False,105.67168330861799,-8.020728816266272,320.53632515131244
Reducción,st_R22_sdi,37,4,1015,242,0.1307307905046744,0.16576985092722574,0.46012029944363936,0.6692777110269599,CARBONO_FIJO,0.85,False,-0.040074620905256486,-0.1937492682626195,0.10338598261868502
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36841828558842926,0.3761215932164582,492.5228949555585,813.9698051758336,FE_MET_DROSS,0.2,False,127.11639576253023,-3.980321096920346,370.345435930646
Reducción,st_R22_sdi,37,4,1015,242,0.13117422268108936,0.16446854370337338,0.46054315122798317,0.6692777110269599,FE_MET_DROSS,0.2,False,-0.07318337417124175,-0.2591852847902967,0.09559252674089075
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36801426452661357,0.376817267384714,492.0280414611441,813.9698051758336,FE_MET_DROSS,0.3,True,115.0602600014437,-11.457069332808901,345.5313771285696
Reducción,st_R22_sdi,37,4,1015,242,0.1310115614187396,0.16542686392290296,0.460315271480883,0.6692777110269599,FE_MET_DROSS,0.3,True,-0.06457793021156992,-0.2473482586186535,0.10929041889807523
Reducción,feo_extraido_est_kg,37,4,1045,242,0.367419603181681,0.37761519687013667,491.5054565023282,813.9698051758336,FE_MET_DROSS,0.4,False,95.10643349847584,-24.373605662000877,321.3274552164824
Reducción,st_R22_sdi,37,4,1015,242,0.13089467677698607,0.16511189188140685,0.4603287448828457,0.6692777110269599,FE_MET_DROSS,0.4,False,-0.05680631334802116,-0.23219375194559327,0.13216515230744594
Reducción,feo_extraido_est_kg,37,4,1045,242,0.3676768122245928,0.3771421886292875,491.90335827830654,813.9698051758336,FE_MINERAL,0.45,False,104.32253070759478,-19.373599850038307,329.8792926366918
Reducción,st_R22_sdi,37,4,1015,242,0.13107009341205356,0.16563467059848958,0.4603602555885511,0.6692777110269599,FE_MINERAL,0.45,False,-0.06773563440448482,-0.24749227824838108,0.10281245709507181
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36801426452661357,0.376817267384714,492.0280414611441,813.9698051758336,FE_MINERAL,0.55,True,115.0602600014437,-11.457069332808901,345.5313771285696
Reducción,st_R22_sdi,37,4,1015,242,0.1310115614187396,0.16542686392290296,0.460315271480883,0.6692777110269599,FE_MINERAL,0.55,True,-0.06457793021156992,-0.2473482586186535,0.10929041889807523
Reducción,feo_extraido_est_kg,37,4,1045,242,0.36802249555192434,0.37631720086166864,492.33210557502537,813.9698051758336,FE_MINERAL,0.65,False,115.07246706773088,-11.647481264971972,345.99083445805104
Reducción,st_R22_sdi,37,4,1015,242,0.13097672028088347,0.16573225786540113,0.46016776105835944,0.6692777110269599,FE_MINERAL,0.65,False,-0.062039877526337675,-0.24683509916401006,0.10312455366860138
