target,version,tercio,n,rho,p_rho,ci_low,ci_high
sdi,multi,1,88,0.2244020992568068,0.035565100033340645,0.008790249554862415,0.4291524747070394
sdi,multi,2,99,0.1320717377860235,0.1925323046131458,-0.061854827913041616,0.3222339604745644
sdi,multi,3,98,0.32499410260824096,0.0010942217547677416,0.1546873913199486,0.49490212032037617
sdi,single,1,88,0.1911697368884506,0.07439383171648466,-0.010432252047527181,0.36177075172557
sdi,single,2,99,0.3481385281385281,0.0004138697639122468,0.16165751009805168,0.5216667723347955
sdi,single,3,99,0.48090290661719226,4.698195835789068e-07,0.308116515495644,0.638707455335943
ln_feo_ret,multi,1,88,0.19955267514353142,0.06232185173803522,0.011778613264915045,0.3769273553766834
ln_feo_ret,multi,2,99,0.06914038342609771,0.49649459349257824,-0.08269320306712229,0.2497159068959067
ln_feo_ret,multi,3,98,0.2877608400436088,0.004063723275173363,0.09616539269901202,0.4444765119354783
ln_feo_ret,single,1,88,0.28519601282096446,0.007074822733071227,0.1057774181279584,0.4647690765591765
ln_feo_ret,single,2,99,0.3125664811379097,0.0016337411060196975,0.1295594284763502,0.47205300541264833
ln_feo_ret,single,3,99,0.387569573283859,7.390094414544486e-05,0.19967230344211762,0.5684012370773621
feo_ext,multi,1,100,0.1712331233123312,0.08849168698926127,-0.011888020234811131,0.34173353839638326
feo_ext,multi,2,99,0.028423005565862705,0.7800375755779803,-0.13861982499132663,0.1928694329040607
feo_ext,multi,3,98,0.22257712832086907,0.027605919355421164,0.022462857502100097,0.40672664489137234
feo_ext,single,1,100,0.2744314431443144,0.005726025144474786,0.07736941233681983,0.45217104058346924
feo_ext,single,2,99,0.2840321583178726,0.004384046572252821,0.11030318040123469,0.47492461029673355
feo_ext,single,3,98,0.3198043978603625,0.0013272431833955482,0.12402063255868717,0.49296276111523496
sn_ext,multi,1,100,0.047416741674167415,0.6394488014427421,-0.1570600790100255,0.22230311177239137
sn_ext,multi,2,99,0.17882498453927026,0.07656176551178336,-0.038195996262455886,0.3758308530787778
sn_ext,multi,3,98,-0.06260161046611708,0.5402903504807538,-0.23652698261231175,0.13168093661473992
sn_ext,single,1,100,-0.06505850585058506,0.5201673867660576,-0.22579568016100365,0.11871991902803825
sn_ext,single,2,99,-0.020692640692640693,0.838903611386093,-0.21224528592379432,0.17402080142644974
sn_ext,single,3,99,0.14102659245516386,0.16381786847099153,-0.04259617490157411,0.3354508499695746
