variable,n,rho,p_rho,ci_low,ci_high
ley_sn_escoria_final_pct,362,0.9423026074849907,3.583438345423432e-173,0.9261948095898371,0.9547909945582301
st_R22_sdi,349,0.04721837198469942,0.37916385358607324,-0.04460102216249568,0.15838732118187954
st_R23_lnirf_R,362,0.21410765468025908,4.0028460081382846e-05,0.11618454157456243,0.3086160810144467
duracion_reduccion_min,362,0.10649274898319731,0.04287592810824478,-0.0021576097018493334,0.21022276263336873
