Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0001,0.0,17.9512,0.7393550287071186,0.16848387779534207,1,79.91765201995008,0.08263694984335675,0.7991765201995008,0.11818652995714247,False,1.033023669444009
AP0002,0.0,15.249,0.7699241950178262,0.2651513410816656,1,73.05531072136027,0.12935509971758247,0.7305531072136027,0.14009179306881472,False,0.4335992048576208
AP0003,1.0,2.4493,0.9669337937519824,0.1519017776199642,1,79.15175258246624,0.07712140760278896,0.7915175258246625,0.13136106657254842,False,1.1895497400575161
AP0004,2.0,2.2298,0.9690286350484807,0.09035227385460978,1,72.52505027310832,0.12284919932885231,0.7252505027310832,0.1519002979400646,False,2.418728400336332
AP0005,0.0,15.2977,0.8029851064280016,0.358791105629057,1,71.60074551166002,0.12240181182456374,0.7160074551166002,0.16159073305883612,False,0.6207297657378947
AP0006,0.0,15.2055,0.7849981104377055,0.16782965673965694,1,73.67015516465584,0.08747735129382754,0.7367015516465584,0.175821097059614,False,0.6130713862346598
AP0007,0.0,17.6383,0.7372198763455029,0.28067965848723697,1,74.14683229482415,0.08838031171581676,0.7414683229482415,0.1701513653359418,False,1.0769958196444622
AP0008,0.0,14.5649,0.7629004750693986,0.1634734137206213,1,59.56529046993668,0.21681947670288612,0.5956529046993667,0.18752761859774708,False,0.371178967597746
AP0009,0.0,14.0545,0.9999984608307272,0.10852843372229083,1,77.74576970038642,0.07465371759361254,0.7774576970038642,0.1478885854025233,False,
AP0010,1.0,8.2639,1.0,0.34236832710530196,1,68.50557650116588,0.12254939092734289,0.6850557650116589,0.19239484406099827,False,
AP0011,0.0,10.0813,1.0,0.09451755842535725,1,65.4900480917299,0.16972232057438782,0.654900480917299,0.1753771985083131,False,
AP0012,1.0,8.4125,0.9999999205049155,0.2665370507812111,1,74.17638638591971,0.08719618006526553,0.7417638638591971,0.17103995607553726,False,
