parametro,valor,es_base,mediana_masa_escoria_kg,mediana_sn_escoria_final_kg,mediana_recuperacion_refinada_pct
LEY_SN_METAL,0.94,False,57072.56714359749,679.9004506739902,68.41490703544493
LEY_SN_METAL,0.96,True,57917.39331859289,688.6772281100997,68.39797090174935
LEY_SN_METAL,0.98,False,58712.43857077355,697.0957697324902,68.38384755698928
LEY_SN_DROSS,0.55,False,57122.035050670806,680.6835034797266,68.41047675192931
LEY_SN_DROSS,0.65,True,57917.39331859289,688.6772281100997,68.39797090174935
LEY_SN_DROSS,0.75,False,58392.922732184066,694.354059468616,68.38951423459659
LEY_SN_POLVO,0.45,False,54217.99050721049,647.275871441333,68.4824631379914
LEY_SN_POLVO,0.55,True,57917.39331859289,688.6772281100997,68.39797090174935
LEY_SN_POLVO,0.65,False,60497.83785659896,719.805056783512,68.3443892361133
HUMEDAD_CARGA,0.03,False,61871.51591905182,732.0028715547132,68.3257760373925
HUMEDAD_CARGA,0.06,True,57917.39331859289,688.6772281100997,68.39797090174935
HUMEDAD_CARGA,0.09,False,53998.56920631362,645.3066921740133,68.47716462423034
FE_MET_DROSS,0.2,False,58782.83779931043,696.0281407387081,68.38863774541217
FE_MET_DROSS,0.3,True,57917.39331859289,688.6772281100997,68.39797090174935
FE_MET_DROSS,0.4,False,57126.240903234415,682.1735013928787,68.41392452110301
CENIZA_CARBON,0.05,False,57040.73410231828,679.6870345850629,68.41488476595404
CENIZA_CARBON,0.1,True,57917.39331859289,688.6772281100997,68.39797090174935
CENIZA_CARBON,0.15,False,58731.31799060789,697.6674216351364,68.38324934213284
