target,variante,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda
feo_extraido_est_kg,a,tasa_feed_Carbon_kg_min,18.810511778904168,-12.622736395985358,59.89959090512272,21.99076854783762,413.65761079625486,-277.58367452448005,1317.2380397047132,False,1,True
feo_extraido_est_kg,a,Cx_av_v4,-17.288428557556365,-59.514124601553206,15.952761544187315,17.46592144463136,-301.95833508740094,-1039.4690251367308,278.6296799557117,False,1,False
feo_extraido_est_kg,a,tasa_gn_nm3_min,11.533038047898975,-8.05554586502331,33.08312466933678,4.915809154051561,56.69421400988673,-39.59952610416379,162.63032709415478,False,1,True
feo_extraido_est_kg,a,exceso_o2_combustion_pct,-4.658415921161407,-9.227721409715269,-1.245337441328182,10.827673626498992,-50.43980721082238,-99.91475574065412,-13.484107369560892,True,-1,True
feo_extraido_est_kg,a,tasa_aire_nm3_min,0.8587941367082461,-4.208235540619581,5.792229430673125,9.311100762978667,7.996318741545756,-39.18330515305693,53.93203187128802,False,-1,False
feo_extraido_est_kg,b,b6_reductor_neto_kg_ceq,0.21297306452696443,-0.02120668914076502,0.639568138263988,540.2573337478362,115.0602600014437,-11.457069332808901,345.5313771285696,False,1,True
feo_extraido_est_kg,b,tasa_gn_nm3_min,8.877581593936327,-13.75779298704146,29.342543992033196,4.915809154051561,43.640496865311846,-67.63068470524478,144.24234635919743,False,1,True
feo_extraido_est_kg,b,exceso_o2_combustion_pct,-3.776179348006952,-8.67001013434853,0.09746831520950254,10.827673626498992,-40.88723753534504,-93.87604007316456,1.0553551060132211,False,-1,True
feo_extraido_est_kg,b,tasa_aire_nm3_min,1.5155438790684232,-3.3776619175483455,6.5825186818997885,9.311100762978667,14.111381768721644,-31.449750457568385,61.29049472135845,False,-1,False
feo_extraido_est_kg,c,tasa_feed_Carbon_kg_min,18.857730030193633,-12.178089628209753,60.597311858419175,21.99076854783762,414.6959764315951,-267.8055503687826,1332.5814596996322,False,1,True
feo_extraido_est_kg,c,Cx_av_v4,-18.17943433143035,-60.207724920076615,17.39592742733438,17.46592144463136,-317.52057194059694,-1051.583393814032,303.8359019023304,False,1,False
feo_extraido_est_kg,c,tasa_gn_nm3_min,10.91027183924553,-9.093383692212385,31.91959293702387,4.915809154051561,53.632814180554135,-44.70133879548082,156.9106271534215,False,1,True
feo_extraido_est_kg,c,exceso_o2_combustion_pct,-4.589358249488145,-9.348208874234627,-1.1165596810795595,10.827673626498992,-49.69207328053837,-101.21935468255411,-12.089743811237271,True,-1,True
feo_extraido_est_kg,c,tasa_aire_nm3_min,1.0962609844335678,-3.972591182861871,6.636336257652536,9.311100762978667,10.207396488583138,-36.98919679374749,61.79159559201152,False,-1,False
feo_extraido_est_kg,c,b6_capacidad_sobre_reduccion_feo_kg,0.018268431390961126,-0.07613974355012817,0.08599703716820102,902.433644319378,16.486047116143574,-68.71106624948503,77.60661965236865,False,1,True
feo_extraido_est_kg,d,tasa_feed_Carbon_kg_min,17.902965155293863,-8.781064555744857,59.529032434641394,21.99076854783762,393.6999630500692,-193.10235824900573,1309.0891741469177,False,1,True
feo_extraido_est_kg,d,Cx_av_v4,-17.43482141849421,-59.42345109402889,15.803630252491681,17.46592144463136,-304.51522129659617,-1037.885328777202,276.02496453001936,False,1,False
feo_extraido_est_kg,d,tasa_gn_nm3_min,14.195161565603385,-5.776184226343669,35.09202978522926,4.915809154051561,69.78070516743401,-28.39461929534844,172.50572125248001,False,1,True
feo_extraido_est_kg,d,exceso_o2_combustion_pct,-4.462289862213119,-8.97746159592018,-0.9649425514169507,10.827673626498992,-48.316218254878805,-97.2050241550525,-10.448083015063965,True,-1,True
feo_extraido_est_kg,d,tasa_aire_nm3_min,0.35305920406282887,-5.378662814951239,5.63402222154805,9.311100762978667,3.2873698243260465,-50.08127144009747,52.45894860569481,False,-1,False
feo_extraido_est_kg,e,b6_reductor_neto_kg_ceq,0.21028815511411725,-0.05072121218405768,0.6067242889698651,540.2573337478362,113.6097180007044,-27.40250685901727,327.78724667891106,False,1,True
feo_extraido_est_kg,e,tasa_gn_nm3_min,11.305563614585324,-9.546480583055923,31.89943302373233,4.915809154051561,55.575993108290795,-46.928676639161786,156.81152486711804,False,1,True
feo_extraido_est_kg,e,exceso_o2_combustion_pct,-3.6365110774593354,-8.41684432367779,0.35542140713681264,10.827673626498992,-39.37495508587788,-91.13484330183375,3.848386996348427,False,-1,True
feo_extraido_est_kg,e,tasa_aire_nm3_min,0.8337250828964025,-4.355787241024872,5.747265223340265,9.311100762978667,7.762898255471145,-40.55717390327943,53.5133656060843,False,-1,False
b6_feo_extraido_multi_kg,a,tasa_feed_Carbon_kg_min,113.38498553542028,-39.6728874342237,387.1727100681025,11.497347051920405,1303.6265291777022,-456.132955383042,4451.459016685532,False,1,True
b6_feo_extraido_multi_kg,a,Cx_av_v4,-103.1627848020435,-376.33170817664245,55.13397173398042,10.990298539825831,-1133.7898031742652,-4135.997822863915,605.9388090427636,False,1,False
b6_feo_extraido_multi_kg,a,tasa_gn_nm3_min,-16.481584515752388,-135.02011018499516,47.0261126198607,4.16477607485172,-68.64210886685213,-562.3285245223109,195.85322873247839,False,1,False
b6_feo_extraido_multi_kg,a,exceso_o2_combustion_pct,-6.792016581247875,-25.02616180399443,2.004640345224032,12.237950718019201,-83.12036419728075,-306.2689348184583,24.5326897522047,False,-1,True
b6_feo_extraido_multi_kg,a,tasa_aire_nm3_min,5.870151845607722,-3.6902001990884346,21.506215658542526,10.067246661376481,59.09626656946733,-37.15015563408387,216.50837778730485,False,-1,False
b6_feo_extraido_multi_kg,b,b6_reductor_neto_kg_ceq,0.16928380605724874,-0.6963506235762723,1.8707044310735155,264.85245492226574,44.835231612847046,-184.4301721408263,495.460661003781,False,1,True
b6_feo_extraido_multi_kg,b,tasa_gn_nm3_min,-15.098233090496976,-146.0326581811632,54.17360753222115,4.16477607485172,-62.88075994783635,-608.1933209399078,225.62094453860158,False,1,False
b6_feo_extraido_multi_kg,b,exceso_o2_combustion_pct,-5.517434917993619,-17.049560162742754,1.9099505254700526,12.237950718019201,-67.52209661628422,-208.65167703554926,23.37388040455738,False,-1,True
b6_feo_extraido_multi_kg,b,tasa_aire_nm3_min,7.179534934537008,-3.9562375970552965,23.108634964507953,10.067246661376481,72.27814909995351,-39.82841974056705,232.64032819541052,False,-1,False
b6_feo_extraido_multi_kg,c,tasa_feed_Carbon_kg_min,114.6640952768704,-42.019533477890256,388.66023344695947,11.497347051920405,1318.3328977926462,-483.1131593550923,4468.561589220096,False,1,True
b6_feo_extraido_multi_kg,c,Cx_av_v4,-108.90604074804615,-385.6460144502895,50.43854462129894,10.990298539825831,-1196.909900611464,-4238.364829502668,554.3346633024017,False,1,False
b6_feo_extraido_multi_kg,c,tasa_gn_nm3_min,-19.123368947318493,-149.71712223074013,46.92244644605677,4.16477607485172,-79.64454946235439,-623.538288662237,195.42148233204836,False,1,False
b6_feo_extraido_multi_kg,c,exceso_o2_combustion_pct,-6.40690568143836,-24.27670264226507,2.0670406082238624,12.237950718019201,-78.40739598443987,-297.0970905320465,25.296341095588062,False,-1,True
b6_feo_extraido_multi_kg,c,tasa_aire_nm3_min,6.759216604032346,-4.6743800072191135,22.05654109920056,10.067246661376481,68.04670079046512,-47.0581365216816,222.04863974244,False,-1,False
b6_feo_extraido_multi_kg,c,b6_capacidad_sobre_reduccion_feo_kg,0.0655718341027125,-0.06648805804961952,0.276568500269611,942.5372211330784,61.803894299769865,-62.66746947262319,260.6761056970622,False,1,True
b6_feo_extraido_multi_kg,d,tasa_feed_Carbon_kg_min,12.91115635175397,-113.81089597319796,227.90504822585325,11.497347051920405,148.44404541772192,-1308.5233692938675,2620.3034343372915,False,1,True
b6_feo_extraido_multi_kg,d,Cx_av_v4,0.03418891932820789,-190.95866681639012,119.91511668081188,10.990298539825831,0.3757464301710263,-2098.69275707926,1317.902931760171,False,1,True
b6_feo_extraido_multi_kg,d,tasa_gn_nm3_min,-11.600646542731809,-124.56922051407156,53.308493376570176,4.16477607485172,-48.31409517398076,-518.8029092599334,222.01793780113087,False,1,False
b6_feo_extraido_multi_kg,d,exceso_o2_combustion_pct,-6.328907834513722,-25.025766199357854,2.8393079576056888,12.237950718019201,-77.45286217766456,-306.2640934284121,34.74731085845817,False,-1,True
b6_feo_extraido_multi_kg,d,tasa_aire_nm3_min,5.989614520424041,-3.5453437551913582,20.441499821828877,10.067246661376481,60.29892678367102,-35.69185008288216,205.7896208348347,False,-1,False
b6_feo_extraido_multi_kg,e,b6_reductor_neto_kg_ceq,0.1034070866545965,-0.7242707910088092,1.6740148407998783,264.85245492226574,27.387620756829346,-191.8248970271744,443.36694016215364,False,1,True
b6_feo_extraido_multi_kg,e,tasa_gn_nm3_min,-9.560541833504175,-136.3893948724451,58.98095390239432,4.16477607485172,-39.81751589079718,-568.0312886282633,245.64246568462406,False,1,False
b6_feo_extraido_multi_kg,e,exceso_o2_combustion_pct,-5.205739305092017,-17.53151042669863,1.7804278308262145,12.237950718019201,-63.70758106657163,-214.54976061437762,21.788788050641042,False,-1,True
b6_feo_extraido_multi_kg,e,tasa_aire_nm3_min,7.371726344397622,-3.3376966747315056,23.25605701438632,10.067246661376481,74.21298742921802,-33.60141570537813,234.1244623348618,False,-1,False
sn_extraido_est_kg,a,Cx_sn_v4,1.672937754088376,-0.20794473458868715,3.262493120927601,275.50136625823814,460.89663691633604,-57.289058485390015,898.8213122236574,False,1,True
sn_extraido_est_kg,a,tasa_gn_nm3_min,16.539681576656385,5.4042357308010756,29.78188569371059,4.922976013367435,81.42445567061466,26.604922873316927,146.615508902988,True,1,True
sn_extraido_est_kg,a,exceso_o2_combustion_pct,-0.033306400570097594,-1.5045855202959157,1.8809370483905055,10.776273061898971,-0.3589188672523592,-16.213824411688126,20.269491245698365,False,-1,True
sn_extraido_est_kg,b,b6_reductor_neto_kg_ceq,-0.03188367373359796,-0.45102052746366295,0.3643964133682258,512.2217192907236,-16.331510177128035,-231.02251001284648,186.65175735884586,False,1,False
sn_extraido_est_kg,b,tasa_gn_nm3_min,23.106615510592427,10.744748631071584,36.52844199649379,4.922976013367435,113.75331390875046,52.896139780427994,179.8286437544226,True,1,True
sn_extraido_est_kg,b,exceso_o2_combustion_pct,0.1398385649920506,-1.7996490567498513,2.372947731883874,10.776273061898971,1.5069385609384434,-19.393509651125317,25.57153272039445,False,-1,False
sn_extraido_est_kg,c,Cx_sn_v4,1.7133448670108145,-0.14041649014219762,3.299966768182015,275.50136625823814,472.0288517330187,-38.68493487936187,909.1453532409276,False,1,True
sn_extraido_est_kg,c,tasa_gn_nm3_min,17.328189834279122,6.319277682330084,30.99735620143892,4.922976013367435,85.30626290923355,31.10965245191916,152.59924105749013,True,1,True
sn_extraido_est_kg,c,exceso_o2_combustion_pct,-0.19177140782882354,-1.5889057461619784,1.7180655932816005,10.776273061898971,-2.0665810562281925,-17.122482190261813,18.514343971455986,False,-1,True
sn_extraido_est_kg,c,b6_capacidad_sobre_reduccion_feo_kg,-0.030585300354790235,-0.08021155034077583,0.0068674633460731604,900.364756437521,-27.537926504509134,-72.21965298604859,6.183221962930764,False,0,
sn_extraido_est_kg,d,Cx_sn_v4,1.7173475434781649,-0.15169865601426777,3.280588396544626,275.50136625823814,473.13159456846347,-41.79318699146926,903.8065853789672,False,1,True
sn_extraido_est_kg,d,tasa_gn_nm3_min,17.21396025454061,6.564673199750368,29.158211602418476,4.922976013367435,84.74391342816381,32.31772869796711,143.5451763113982,True,1,True
sn_extraido_est_kg,d,exceso_o2_combustion_pct,0.3800093290999147,-1.2207701386993297,2.116833755751195,10.776273061898971,4.095084296449712,-13.155352360436257,22.81157857862003,False,-1,False
