n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,kpi
298,gkf,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'x_R_gn': np.float64(-1.136), 'x_R_carbon': np.float64(1.0003)}","{'x_R_gn': np.float64(0.1943), 'x_R_carbon': np.float64(0.3217)}",kpi_a_refinado
298,crono,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.004497751124437781,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'x_R_gn': np.float64(-1.0529), 'x_R_carbon': np.float64(0.9108)}","{'x_R_gn': np.float64(0.1726), 'x_R_carbon': np.float64(0.2743)}",kpi_a_refinado
298,gkf,0.7823788035640451,0.31891791493035015,2.453229395203189,0.00707900095423588,0.15300884311680926,0.008148867829592819,0.14669814568898848,0.004997501249375313,0.7999238924040606,-0.9066722165458407,0.8170106199712215,"{'x_R_gn': np.float64(-1.1588), 'x_R_carbon': np.float64(0.9815)}","{'x_R_gn': np.float64(0.1872), 'x_R_carbon': np.float64(0.3563)}",kpi_b_sinpolvo
298,crono,0.8782866019242498,0.3282781232354533,2.6754344556012644,0.003731623250059396,0.15559310190182674,0.007122254004847102,0.1602546391230198,0.0024987506246876563,0.7763423748776107,-0.9975302149663017,0.6419147633183881,"{'x_R_gn': np.float64(-1.0899), 'x_R_carbon': np.float64(0.9193)}","{'x_R_gn': np.float64(0.0933), 'x_R_carbon': np.float64(0.3803)}",kpi_b_sinpolvo
298,gkf,0.7905546827234013,0.29626865097042676,2.6683710211456484,0.0038110018481281034,0.17717907679973627,0.002140186520637658,0.15269074170843022,0.0034982508745627187,0.7608716817606592,-0.9970881174479129,0.6269898797879407,"{'x_R_gn': np.float64(-1.0646), 'x_R_carbon': np.float64(1.0529)}","{'x_R_gn': np.float64(0.1743), 'x_R_carbon': np.float64(0.3279)}",kpi_c3_polvosuav
298,crono,0.9108930619393375,0.3168047535852901,2.8752506129744897,0.002018534615515284,0.1899724954875232,0.0009817191925572005,0.1710730751232101,0.0014992503748125937,0.7403424494289823,-1.0767417334409657,0.6171790049862954,"{'x_R_gn': np.float64(-0.9882), 'x_R_carbon': np.float64(0.9747)}","{'x_R_gn': np.float64(0.1564), 'x_R_carbon': np.float64(0.204)}",kpi_c3_polvosuav
298,gkf,0.8066488884509414,0.28098646900973795,2.8707748500978028,0.0020473352821926013,0.18069609928378527,0.001736141784839881,0.15930003261930872,0.0029985007496251873,0.7545219071417274,-0.9954075856095315,0.5065745633697766,"{'x_R_gn': np.float64(-1.0324), 'x_R_carbon': np.float64(1.118)}","{'x_R_gn': np.float64(0.1616), 'x_R_carbon': np.float64(0.3164)}",kpi_c5_polvosuav
298,crono,0.9592326598302028,0.2999245826055297,3.1982462107543084,0.0006913308786679382,0.19697661220859353,0.0006270967075464244,0.18112188538295734,0.0009995002498750624,0.7211954641443646,-1.0918314492350834,0.45379296928256213,"{'x_R_gn': np.float64(-0.9537), 'x_R_carbon': np.float64(1.0378)}","{'x_R_gn': np.float64(0.1321), 'x_R_carbon': np.float64(0.1769)}",kpi_c5_polvosuav
298,gkf,0.6438022736383947,0.40818070481820223,1.577248179639297,0.05736921547396207,0.17280184394278353,0.0027621997796403812,0.11547763182224988,0.02348825587206397,0.5160855109393805,-0.6967569465233683,0.5272883345894307,"{'x_R_gn': np.float64(-0.4536), 'x_R_carbon': np.float64(1.1183)}","{'x_R_gn': np.float64(0.1536), 'x_R_carbon': np.float64(0.2637)}",kpi_d3_todosuav
298,crono,0.7775233335976169,0.39450327544155095,1.9708919595847911,0.0243681175035026,0.18936032679831918,0.0010201960615542464,0.13173991514540734,0.01199400299850075,0.4907319732592938,-0.6181947741450634,0.5176492025752547,"{'x_R_gn': np.float64(-0.3646), 'x_R_carbon': np.float64(1.0459)}","{'x_R_gn': np.float64(0.1743), 'x_R_carbon': np.float64(0.1353)}",kpi_d3_todosuav
298,gkf,0.19503813084567356,0.6327537570264099,0.308237017449322,0.3789509934692816,0.08361612125837396,0.14989730245634322,0.022504831126865188,0.3423288355822089,0.39490544399649996,-0.34704476467267953,0.4875990243624534,"{'x_R_gn': np.float64(-0.355), 'x_R_carbon': np.float64(0.8192)}","{'x_R_gn': np.float64(0.1795), 'x_R_carbon': np.float64(0.3117)}",kpi_e_legado
298,crono,0.6162611955762395,0.6592767586933961,0.9347534058345875,0.17495769851686221,0.11575860510789018,0.045866270694237696,0.06397883882422029,0.12993503248375812,0.3560915045200639,-0.2662579978471335,0.3529784464892264,"{'x_R_gn': np.float64(-0.2768), 'x_R_carbon': np.float64(0.7424)}","{'x_R_gn': np.float64(0.1806), 'x_R_carbon': np.float64(0.1516)}",kpi_e_legado
298,gkf,0.6742837787637915,0.4195396741042124,1.6071990812394574,0.05400535176571302,0.1316237502406163,0.023054845529692003,0.11464664896795253,0.029985007496251874,0.8559581898343923,-0.565175161793425,0.41196450616721225,"{'x_R_gn': np.float64(-0.9807), 'x_R_carbon': np.float64(1.6203)}","{'x_R_gn': np.float64(0.2244), 'x_R_carbon': np.float64(0.4719)}",kpi_f_real
298,crono,0.8492233936032637,0.3549463934672802,2.3925398573786247,0.008366105316909083,0.1374203075399457,0.017618313076926247,0.14258515457201149,0.011494252873563218,0.8436160189574027,-0.3524945617467817,0.7316397971161912,"{'x_R_gn': np.float64(-0.9442), 'x_R_carbon': np.float64(1.5183)}","{'x_R_gn': np.float64(0.2134), 'x_R_carbon': np.float64(0.2458)}",kpi_f_real
298,gkf,0.7650733456569572,0.32812449412935824,2.3316556957657,0.009859405647417475,0.14094594573147243,0.01488988448205152,0.1367871943453551,0.00849575212393803,0.6281273448937098,-0.6060647809436018,0.6613497481264022,"{'x_R_gn': np.float64(-0.9086), 'x_R_carbon': np.float64(0.7775)}","{'x_R_gn': np.float64(0.1515), 'x_R_carbon': np.float64(0.293)}",kpi_g_controlable
298,crono,0.8805687788428342,0.3374765565096395,2.6092739239434612,0.004536728916423695,0.14609496459511048,0.011571394207179859,0.15212303880713532,0.004497751124437781,0.6049302271318502,-0.8207071459194942,0.46556982360906324,"{'x_R_gn': np.float64(-0.8547), 'x_R_carbon': np.float64(0.7329)}","{'x_R_gn': np.float64(0.0738), 'x_R_carbon': np.float64(0.3133)}",kpi_g_controlable
298,gkf,0.3520139776396254,0.9249445664844427,0.3805784588557245,0.35175803393449756,0.04520004199023749,0.4369276396537717,0.028006477664324375,0.32533733133433285,0.5242857090744572,0.3508157580422194,0.8000548049767987,"{'x_R_gn': np.float64(-0.0029), 'x_R_carbon': np.float64(1.2188)}","{'x_R_gn': np.float64(0.0201), 'x_R_carbon': np.float64(0.4906)}",kpi_h_medido_cargado
298,crono,-0.10560268859562538,0.670778863410043,-0.15743294005832606,0.5625481726395445,0.02016098222692912,0.7288880482010532,-0.009963929624236215,0.5707146426786607,0.6169048026965493,-0.05452550622675517,0.5009541286678232,"{'x_R_gn': np.float64(-0.0), 'x_R_carbon': np.float64(1.2114)}","{'x_R_gn': np.float64(0.0), 'x_R_carbon': np.float64(0.7242)}",kpi_h_medido_cargado
