spec,n,beta_exo2,p_exo2
controles v9 (idx lineal),298,-0.997395903848386,0.0550637808018299
+ poly3 idx_cronologico,298,-1.0662093433351254,0.04559513984776977
+ FE bloques de 30,298,-0.8920519016182619,0.09541649323415215
"exo2 des-tendenciado (residuo vs media movil +-10 batches), controles v9",298,-0.7486863081670441,0.19283007298733923
