nula,spec,estadistico,obs,p_uni
bloques20,W100_primaria,t_pendiente,2.3247133433749663,0.006496751624187906
bloques20,W100_primaria,spearman,0.15362814775818198,0.006496751624187906
bloques20,min_p_sobre_W (mejor de 6),t_pendiente,2.397623008406001,0.01899050474762619
bloques20,min_p_sobre_W (mejor de 6),spearman,0.16132894893400687,0.026986506746626688
circular_k15..n-15,W100_primaria,t_pendiente,2.3247133433749663,0.015060240963855422
circular_k15..n-15,W100_primaria,spearman,0.15362814775818198,0.018072289156626505
