moderador,nivel,regimen,n,beta_carbon,p
ley_sn_conc_batch_pct,bajo,DEV,176,-0.7908125367308081,0.33094555482908894
ley_sn_conc_batch_pct,bajo,total,183,-0.8653826798942849,0.2666682659673406
ley_sn_conc_batch_pct,alto,DEV,122,-0.7269179481313301,0.37327936891888513
ley_sn_conc_batch_pct,alto,total,178,0.07335656235364696,0.9039076438618276
T_media_F,bajo,DEV,118,-1.9661920789481075,0.14354096116659107
T_media_F,bajo,total,181,-0.25550149903345293,0.7356509243169934
T_media_F,alto,DEV,180,-0.43189312107947253,0.5087212844542748
T_media_F,alto,total,180,-0.43189312107947253,0.5087212844542748
