y,regimen,n,beta_exo2,p_exo2,beta_carbon,p_carbon
T_entrada_R,DEV,298,-6.011560647359735,0.42252450958950305,-2.810262202738177,0.5814173501709794
T_entrada_R,total,361,-5.001146591430866,0.3320453580677395,-0.9852229278911152,0.7894128707304718
sn_entrada_R,DEV,298,-0.6065161224470388,0.2381072579203578,0.5096505739055586,0.24777004736989316
sn_entrada_R,total,361,-0.2803657310125629,0.5145541410620005,0.9072699302068629,0.01618475803816382
feo_entrada_R,DEV,296,0.08068893560348966,0.7080513277205533,-0.40180633976802016,0.005699863373099433
feo_entrada_R,total,359,0.07089477625494561,0.6189980887534837,-0.3775717591375241,0.0017782223843671534
feo_inv_entrada_R,DEV,296,-146.4628638705144,0.39953143544376835,-325.0415212678746,0.008106300606228552
feo_inv_entrada_R,total,359,-40.713157176543916,0.7460200028602044,-265.4105028386108,0.014880643037523287
