spec,regimen,y,x,n,beta,se,p,es_fusion,q_bh
A_exo2,DEV,recuperacion_refinada_pct,x_F_carbon,297,-0.5458686291593772,0.54941090058973,0.3204407300011032,True,0.7638847175422411
A_exo2,DEV,recuperacion_refinada_pct,x_F_gn,297,-0.20632366415027067,0.5977411997611227,0.7299648929208176,True,0.8050762894051099
A_exo2,DEV,recuperacion_refinada_pct,x_F_exo2,297,-1.0061897568424123,0.5493169634422528,0.06699453442173615,True,0.25122950408151057
A_exo2,DEV,recuperacion_refinada_pct,x_Rt_carbon,297,0.4155947986754054,0.5379199292531524,0.4397614981852478,False,
A_exo2,DEV,recuperacion_refinada_pct,x_Rt_gn,297,-0.4890044031893623,0.39970303066407276,0.22117136627721123,False,
A_exo2,DEV,recuperacion_refinada_pct,x_Rl_carbon,297,0.5320489037404853,0.39128286470300583,0.17390740867190002,False,
A_exo2,DEV,recuperacion_refinada_pct,x_Rl_gn,297,-0.6432929667697286,0.3716153016134252,0.08343886440409552,False,
A_exo2,DEV,f_metal,x_F_carbon,297,-0.5101819531965677,0.5578777043255455,0.3604515487882898,True,0.7638847175422411
A_exo2,DEV,f_metal,x_F_gn,297,-0.18831083941013582,0.5944382095892741,0.7514045367781026,True,0.8050762894051099
A_exo2,DEV,f_metal,x_F_exo2,297,-1.099929963011578,0.5572775364417375,0.04840947746453487,True,0.24204738732267433
A_exo2,DEV,f_metal,x_Rt_carbon,297,0.26086610442540326,0.5336386725418032,0.6249520899305857,False,
A_exo2,DEV,f_metal,x_Rt_gn,297,-0.4885675246261062,0.40867890873990154,0.23189948574741193,False,
A_exo2,DEV,f_metal,x_Rl_carbon,297,0.46162663259719394,0.3947515305377017,0.2422382325645066,False,
A_exo2,DEV,f_metal,x_Rl_gn,297,-0.6981100729604027,0.3546190600349171,0.048996776879624955,False,
A_exo2,DEV,f_dross,x_F_carbon,297,-0.527101379191185,0.45965366390218065,0.2514907693314624,True,0.7544723079943872
A_exo2,DEV,f_dross,x_F_gn,297,0.06189397069115242,0.44787530327502584,0.8900865833675925,True,0.8900865833675925
A_exo2,DEV,f_dross,x_F_exo2,297,1.2609063911600822,0.6269765297638478,0.04431592397535843,True,0.24204738732267433
A_exo2,DEV,f_dross,x_Rt_carbon,297,-0.38679148549545295,0.41614598757657917,0.35265020309544015,False,
A_exo2,DEV,f_dross,x_Rt_gn,297,0.5908605511642917,0.28586311136427167,0.03874025247290843,False,
A_exo2,DEV,f_dross,x_Rl_carbon,297,-0.17325264426999018,0.30630567635215883,0.5716520677165197,False,
A_exo2,DEV,f_dross,x_Rl_gn,297,0.47643738484105796,0.2846686448767397,0.09419822633539071,False,
A_exo2,DEV,f_polvo,x_F_carbon,297,1.0372833323877528,0.38377621229712316,0.006875110604670449,True,0.10312665907005675
A_exo2,DEV,f_polvo,x_F_gn,297,0.1264168687189853,0.3140303845223557,0.6872700730955543,True,0.8050762894051099
A_exo2,DEV,f_polvo,x_F_exo2,297,-0.1609764281485146,0.4443594994143933,0.7171531122491861,True,0.8050762894051099
A_exo2,DEV,f_polvo,x_Rt_carbon,297,0.1259253810700565,0.2895898345701152,0.6636782239829295,False,
A_exo2,DEV,f_polvo,x_Rt_gn,297,-0.10229302653818106,0.27728444158291177,0.7121947470176477,False,
A_exo2,DEV,f_polvo,x_Rl_carbon,297,-0.28837398832721106,0.25188784535334763,0.25227098890561683,False,
A_exo2,DEV,f_polvo,x_Rl_gn,297,0.22167268811935575,0.21900316016702887,0.3114474797986416,False,
A_exo2,DEV,sn_perdido_escoria_frac,x_F_carbon,297,0.06835122911614785,0.09216747230462688,0.4583308305253446,True,0.7638847175422411
A_exo2,DEV,sn_perdido_escoria_frac,x_F_gn,297,0.025237343694712616,0.07420041994534714,0.7337631480591758,True,0.8050762894051099
A_exo2,DEV,sn_perdido_escoria_frac,x_F_exo2,297,-0.10872504489771498,0.14041271981421688,0.4387387679733207,True,0.7638847175422411
A_exo2,DEV,sn_perdido_escoria_frac,x_Rt_carbon,297,-0.22647654070142623,0.11689009787827734,0.05268218892306576,False,
A_exo2,DEV,sn_perdido_escoria_frac,x_Rt_gn,297,0.008332936755697712,0.05423137538000099,0.8778815533234217,False,
A_exo2,DEV,sn_perdido_escoria_frac,x_Rl_carbon,297,-0.10942925937834033,0.07459554642364685,0.14238483412345115,False,
A_exo2,DEV,sn_perdido_escoria_frac,x_Rl_gn,297,-0.06821536709706912,0.08516044366963188,0.42311905800808514,False,
A_exo2,lockbox,recuperacion_refinada_pct,x_F_carbon,63,0.7261881864330215,1.124510371606777,0.5184207600965588,True,0.9264895305167958
A_exo2,lockbox,recuperacion_refinada_pct,x_F_gn,63,0.2912141326614317,2.1435951656384735,0.8919373813353765,True,0.9320066115718189
A_exo2,lockbox,recuperacion_refinada_pct,x_F_exo2,63,-2.0009057367112524,1.9792038349862666,0.31203319825248854,True,0.9264895305167958
A_exo2,lockbox,recuperacion_refinada_pct,x_Rt_carbon,63,1.3037478552290844,1.6481861603706829,0.42893244859266755,False,
A_exo2,lockbox,recuperacion_refinada_pct,x_Rt_gn,63,-0.6664259104089032,0.8310969117279067,0.42263217797697417,False,
A_exo2,lockbox,recuperacion_refinada_pct,x_Rl_carbon,63,0.6240942574998237,0.9765949136504578,0.5227895541459768,False,
A_exo2,lockbox,recuperacion_refinada_pct,x_Rl_gn,63,1.7078341312769276,0.6316935049644011,0.006859686618224177,False,
A_exo2,lockbox,f_metal,x_F_carbon,63,0.8795992563744548,1.0306338977701213,0.39340724574986596,True,0.9264895305167958
A_exo2,lockbox,f_metal,x_F_gn,63,0.14224931899111848,1.66723536765243,0.9320066115718189,True,0.9320066115718189
A_exo2,lockbox,f_metal,x_F_exo2,63,-1.7445608773997892,1.4419977950731504,0.2263471436454888,True,0.9264895305167958
A_exo2,lockbox,f_metal,x_Rt_carbon,63,1.3556575125991386,1.4354784824260558,0.34496825863907243,False,
A_exo2,lockbox,f_metal,x_Rt_gn,63,-0.3939369462433606,0.7122583687218271,0.5802075854494988,False,
A_exo2,lockbox,f_metal,x_Rl_carbon,63,0.5586762157881346,0.8843190819876086,0.5275446072495186,False,
A_exo2,lockbox,f_metal,x_Rl_gn,63,1.6774680705670075,0.6411420753379475,0.00888689075651121,False,
A_exo2,lockbox,f_dross,x_F_carbon,63,-0.25174780387821727,0.8289569830872605,0.7613623697865192,True,0.9264895305167958
A_exo2,lockbox,f_dross,x_F_gn,63,0.24999746915678844,1.0019084671701615,0.8029575931145564,True,0.9264895305167958
A_exo2,lockbox,f_dross,x_F_exo2,63,1.0946050222467558,1.161319519250198,0.3459096666702943,True,0.9264895305167958
A_exo2,lockbox,f_dross,x_Rt_carbon,63,-2.0816517714377625,1.545499056348107,0.17800846236359247,False,
A_exo2,lockbox,f_dross,x_Rt_gn,63,1.493797933280225,0.9627584782110071,0.12076246977414003,False,
A_exo2,lockbox,f_dross,x_Rl_carbon,63,-0.02238668453973304,0.9723992905427129,0.9816326354827216,False,
A_exo2,lockbox,f_dross,x_Rl_gn,63,-0.7719106854496077,0.63303251875139,0.22269790413814627,False,
A_exo2,lockbox,f_polvo,x_F_carbon,63,-0.6278514524962424,0.8227044852339626,0.44537066435043804,True,0.9264895305167958
A_exo2,lockbox,f_polvo,x_F_gn,63,-0.3922467881478976,0.7948769973672158,0.6216815664647699,True,0.9264895305167958
A_exo2,lockbox,f_polvo,x_F_exo2,63,0.6499558551530409,0.6120731786045347,0.28828453676093724,True,0.9264895305167958
A_exo2,lockbox,f_polvo,x_Rt_carbon,63,0.7259942588386086,0.9042529820088894,0.4220520079441281,False,
A_exo2,lockbox,f_polvo,x_Rt_gn,63,-1.0998609870368479,0.6109562090495516,0.07182451188042593,False,
A_exo2,lockbox,f_polvo,x_Rl_carbon,63,-0.5362895312483997,0.5219876646112758,0.3042326883539189,False,
A_exo2,lockbox,f_polvo,x_Rl_gn,63,-0.9055573851174032,0.5672550800567591,0.11040290859164358,False,
