regimen,n,T_media,theta,se_hc3,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
q1_frio,332,961.1832960561568,1.4692235796464817e-06,0.0004405150489805295,0.9973388681273717,-0.0008070746905422467,0.0012812612082259004,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
q2,331,1016.139407488393,0.0006246405831715574,0.0007130594858022191,0.38102967270014676,-0.0006668029204849704,0.0016573230035651545,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
q3,331,1080.47861357164,0.00031136625965956754,0.0002921707676456403,0.2865594748681879,-0.00014703723789018185,0.0010025011749727549,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
q4_caliente,331,1147.6041384934067,0.0005533994947015484,0.0003650009328821476,0.1294791211362445,-0.0004099796307194869,0.0010677227389181189,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
q1_frio,332,961.1832960561568,0.012679048167516221,0.0075950073707242,0.0950396235895726,0.0005980427393154765,0.026761584288556982,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
q2,331,1016.139407488393,0.005889406671434776,0.0065262575426547976,0.36683531908887457,-0.006231788515319128,0.01659973661956907,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
q3,331,1080.47861357164,0.020842167592814015,0.007502524406484843,0.005469114542576316,0.004013119688502729,0.03630773274326692,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
q4_caliente,331,1147.6041384934067,0.0062301990310569275,0.007678690972243246,0.417157742490899,-0.00788087831148643,0.021036926337504896,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
q1_frio,332,961.1832960561568,-0.0024348984654369056,0.00388510401614494,0.530838391054075,-0.008376529466167229,0.003810313735913287,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q2,331,1016.139407488393,0.009143165277039978,0.004222854441892262,0.030375257584613135,0.0025182378199660647,0.015675860516296866,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q3,331,1080.47861357164,0.004536559132340815,0.0023729715155322894,0.0559066001490822,0.0008346412556147305,0.010349428727293808,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q4_caliente,331,1147.6041384934067,0.00032991484422427626,0.0025107716537325175,0.8954590622815551,-0.004709424779290931,0.005394550573515664,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
q1_frio,332,961.1832960561568,0.01219957984566837,0.007587166624655206,0.10785204022876094,-0.0003561519632949209,0.025978502133552305,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
