version,muestra,n,F,p,coef_gn,p_gn,coef_carbon,p_carbon,coef_Sn_con_extra,coef_FeO_con_extra
LOG_ident,DEV,297,4.478771661603096,0.10652390799594337,-1.32618835319771,0.13892484127930496,1.077611790035546,0.1260274083211252,-2.7477583554501157,-32.261225144995656
LOG_ident,TOTAL,360,6.5656881537739995,0.03752139119074199,-1.008203777086254,0.19864568468260901,1.3067539910890078,0.02961074341606251,-6.012416492427029,-62.134738199461026
KG_ident,DEV,297,3.8710428134360724,0.1443489846680677,-1.211929871922161,0.16390386600920204,1.0320969212915705,0.17895712372747208,-6.487830068314368e-05,0.000630153119745804
KG_ident,TOTAL,360,5.343601230149516,0.06912764090643121,-1.009451342617135,0.20092727323939585,1.171741385239594,0.07808573812447454,-4.534764487980781e-05,0.001946577056075545
