moderador,ln,subset,n,b_gn0,b_gn1,m_star,m_star_ci_lo,m_star_ci_hi,pct_replicas_finito,percentil_obs
ley_sn_escoria_pct_prev,False,DEV,299,-1.047598612226687,0.18612264205800993,40.14027555804367,-244.1084309113746,191.49425496055017,1.0,100.0
ley_sn_escoria_pct_prev,False,LB,63,1.75486850688232,-0.4209429282557167,31.239966775563776,-193.85463730931028,147.43000836991916,1.0,100.0
ley_sn_escoria_pct_prev,False,TOTAL,362,-0.5282176601152843,0.2337048834879758,19.6014223626061,-74.94003387368144,113.35507868216848,1.0,95.76976421636616
ley_sn_escoria_pct_prev,True,DEV,299,-1.0600054379247197,0.2854652556402128,123.1575463450836,3.2660459280339187e-13,2358233927927.2563,1.0,100.0
ley_sn_escoria_pct_prev,True,LB,63,1.7750603194538328,-0.5552665325569371,75.31356725635557,1.2914246428517669e-08,877798357.0205827,1.0,100.0
ley_sn_escoria_pct_prev,True,TOTAL,362,-0.5456947059263245,0.36639801501108143,14.817751544157112,0.0001298934179660533,323620.09734674904,1.0,84.1886269070735
m6_sn_inv_kg_prev,False,DEV,299,-1.0550234992241434,0.29897497489986985,21330.48516945939,-95617.07651817634,160120.29578412598,1.0,99.83108108108108
m6_sn_inv_kg_prev,False,LB,63,1.7834240852780874,-0.3097467777609044,32206.77913718415,-139059.43033240415,136515.5375653282,1.0,100.0
m6_sn_inv_kg_prev,False,TOTAL,362,-0.5368050691893634,0.36500091526763434,11287.523993730003,-50470.62363139348,72001.47964489809,1.0,85.16713091922006
m6_sn_inv_kg_prev,True,DEV,299,-1.0905540442215804,0.5022978756475619,22538.203411759787,0.019069518117897213,303753666528452.6,1.0,99.83108108108108
m6_sn_inv_kg_prev,True,LB,63,1.7890402622748116,-0.5507393925420986,70969.84595180301,5.477198093081405e-07,2255651353769316.5,1.0,100.0
m6_sn_inv_kg_prev,True,TOTAL,362,-0.573609917068697,0.5585459273762489,6665.758327641859,0.4778499962219585,8943186.820008578,1.0,75.76601671309191
ratio_sn_feo_prev,False,DEV,299,-1.0783258969381542,0.28617652234391877,1.6433917037189307,-7.372360378136575,10.45570415403595,1.0,99.83108108108108
ratio_sn_feo_prev,False,LB,63,1.7367821406095043,-0.5407406822621388,1.4481063654025783,-6.1212273664755745,13.035706750425176,1.0,99.20634920634922
ratio_sn_feo_prev,False,TOTAL,362,-0.5485397441927343,0.27221372445318837,1.0279096382344226,-7.479957766947577,5.7413146927872765,1.0,92.82729805013928
ratio_sn_feo_prev,True,DEV,299,-1.09477945474454,0.46782976316396274,1.8211952052600295,2.2467380527401747e-08,425211346.4822683,1.0,99.91554054054053
ratio_sn_feo_prev,True,LB,63,1.773096163334812,-0.5391089943383036,4.51226406112746,5.243434981584351e-10,9454020.046085972,1.0,100.0
ratio_sn_feo_prev,True,TOTAL,362,-0.573056436655069,0.5035640950547728,0.5769271170817833,9.334100155661919e-06,333.7245226559331,1.0,77.2284122562674
m6_avance_prev,False,DEV,299,-1.0498009959645105,-0.23656790693977925,0.481154706348646,-2.527695742514121,3.829121289506493,1.0,0.08445945945945946
m6_avance_prev,False,LB,63,1.7690449323361714,0.30536607734471505,0.34786866615179435,-1.6958044192656205,3.8524643478377643,1.0,0.0
m6_avance_prev,False,TOTAL,362,-0.5282780170766744,-0.27716738142922587,0.7300788682652765,-0.3183648118004372,2.421515125211492,1.0,9.122562674094707
ley_feo_escoria_pct_prev,False,DEV,299,-1.0508571537602664,-0.1388541740360488,6.34925696492817,-22.74538345091587,92.36954471175297,1.0,0.0
ley_feo_escoria_pct_prev,False,LB,63,1.8371914172361883,-0.2532191368543588,30.19647955647499,-9.077211314559499,63.73166075474771,1.0,100.0
ley_feo_escoria_pct_prev,False,TOTAL,362,-0.5198282786784667,-0.0763888008367129,7.576785933073282,-28.65267522664161,51.16728455197723,1.0,0.0
ley_feo_escoria_pct_prev,True,DEV,299,-1.0486554787794022,-0.10675036007459364,7.964324885954269,0.17376001354364337,790.6722254856844,1.0,0.0
ley_feo_escoria_pct_prev,True,LB,63,1.841179253055312,-0.28515761768818937,32.066613050538855,3.590518741741171,138.63840266144518,1.0,100.0
ley_feo_escoria_pct_prev,True,TOTAL,362,-0.5165324483698034,-0.04177397454115171,6.407922578465474,0.3823497794247428,177.4732701831041,1.0,0.0
m6_feo_inv_kg_prev,False,DEV,299,-1.0283804975835626,0.03999501002066186,63162.27615059215,-35122.192640293826,84940.29025577374,1.0,100.0
m6_feo_inv_kg_prev,False,LB,63,1.8629614634074076,-0.3628609014414437,21928.065669070045,-51461.85693249742,63887.38310803514,1.0,100.0
m6_feo_inv_kg_prev,False,TOTAL,362,-0.506857818885348,0.3465120059971814,14571.63607285915,-23323.812202886682,37055.34497271741,1.0,92.33449477351915
m6_feo_inv_kg_prev,True,DEV,299,-1.0281318615251105,0.10430695722956593,60466.79452084773,132.94590225927496,601268.7849441225,1.0,100.0
m6_feo_inv_kg_prev,True,LB,63,1.9018705641153448,-0.5567701987805129,20412.675774339325,504.1058408748057,3110021.544375493,1.0,100.0
m6_feo_inv_kg_prev,True,TOTAL,362,-0.515942893982213,0.35992236902373387,14613.119795195758,997.4524374208347,64120.928753427,1.0,92.54355400696865
temperatura_horno_celsius_prev,False,DEV,299,-1.0336848183527685,0.07873624605676775,2004.8945680122404,-931.4105951838794,3807.933627913214,1.0,100.0
temperatura_horno_celsius_prev,False,LB,63,8.066789412633565,4.915914071065181,949.6661419366874,839.2281183652085,982.3293656038315,1.0,13.095238095238097
temperatura_horno_celsius_prev,False,TOTAL,362,-0.5627101252796979,-0.35489410695220575,953.6230302350598,131.20059770409284,1872.8660622463071,1.0,8.218232044198896
