Batch,idx_cronologico,es_dev,fecha_batch,kpi_a_refinado,kpi_b_sinpolvo,kpi_c3_polvosuav,kpi_c5_polvosuav,kpi_d3_todosuav,kpi_e_legado,kpi_f_real,kpi_g_controlable,kpi_h_medido_cargado,kpi_g_dross_frac,kpi_g_escoria_frac,M_kg,D_kg,P_kg,E_kg,cierre_sn_frac,x_R_gn,x_R_carbon,x_F_carbon,x_F_exo2
AP0001,1,True,2026-04-21 18:36:00,78.4385053607697,88.73124938193965,77.18947275259177,76.88952739376282,74.99561308445936,75.2908227988157,67.62373749669,90.03841417853616,84.6167721241471,0.08110747337356326,0.018508384841075212,33749.240000000005,3489.7599999999998,4991.01946,796.3485779603077,0.13787575138432734,0.5769375686215016,-0.10937772112535382,-0.356025026665016,-0.7439871663014181
AP0002,2,True,2026-04-22 03:22:00,72.14314023686171,83.72601513891144,72.9744806532848,72.3083914360579,76.35574742329239,75.14320158626532,67.26438959007012,85.97740057139734,92.07323728540794,0.1277399686228454,0.012486025663181152,33288.64000000001,5894.24,6383.471948,576.1362923318176,0.06762598121974707,0.278882782340757,0.02639565134373123,0.7139506627181852,-0.07925668847959179
AP0003,3,True,2026-04-22 12:29:00,78.14326293566891,89.78757741605449,77.32135999469943,77.6789988761642,73.94218957027687,74.99709911296299,74.59717483983012,91.11199960892668,94.24576513591302,0.07613878702173718,0.01274121688899599,37351.719999999994,3639.3600000000006,6198.930052000001,609.0177806995812,0.04537931950394858,-0.049155742080889825,0.5534762257302234,0.40453648924319247,-0.26015873977725174
AP0004,4,True,2026-04-22 21:08:00,71.85093529025706,84.57910985927384,72.60821368998371,72.53001683411826,73.70717055111487,71.00469541209475,71.4049721091537,86.89977487983708,98.45559822470068,0.12170732509936877,0.009294926102260353,35993.44,6096.879999999999,7538.656284,465.6256228462868,0.006206783242302837,0.38749957329614027,0.27426789433249343,-0.7424443315506623,-0.1275138389685907
AP0005,5,True,2026-04-23 05:45:00,70.15845553393244,83.35681812504286,69.73916198930355,70.05191973692197,71.17503385830096,71.36730112662357,66.48723551500777,85.99202846531722,92.85830062227559,0.11993621031177619,0.020143505035051693,32394.88,5537.920000000001,7310.974724000001,930.1037536014294,0.05232754898871857,-1.7769064017465053,0.8605617256984408,-0.06680841573537939,-0.2149122831978709
AP0006,6,True,2026-04-23 14:40:00,72.57614671931469,87.78064420940257,72.88446110720855,72.79718009384676,72.07723396466429,72.21866674460198,66.61048864864912,89.89716051116751,90.41719608133297,0.08617830474129042,0.01485009014703452,33169.079999999994,3938.56,7916.128344,678.6855604213466,0.08219860574490818,0.847403829988423,0.8584712936391325,-0.23781069043143196,-0.5659773466489891
AP0007,7,True,2026-04-23 22:38:00,71.86118676988926,86.05164417630938,71.75524367826367,72.50565809699715,67.08013290481016,65.39416968516232,70.55223508172128,88.35181578953424,95.15205558774248,0.0856559058617354,0.030825936242922212,34605.759999999995,4124.88,7941.293148,1484.4660926819697,0.01821500238173703,-3.4821120652823527,-1.0424614001109884,-0.1494870557141071,1.387294781949527
AP0008,8,True,2026-04-24 07:23:00,58.92715260043539,72.34929091298501,59.9238708925828,59.31664108960025,69.73736226031616,67.80241940539669,56.917572411043004,77.47901142748667,95.55493134003936,0.21449663536629604,0.010713250358837271,25981.76,9457.439999999999,8179.759624000001,472.3613603572748,0.03410278794596864,-0.31480872838953294,0.7784624336262878,-0.1515843055230791,0.0886264849679883
AP0009,9,True,2026-04-24 15:46:00,76.67768621035799,89.77147204771349,73.82639477645017,73.78366212332737,67.60466176436215,72.419585038039,65.78759067589957,91.2633731091939,84.61886856279023,0.073628113196894,0.013738155711166941,32688.880000000005,3138.88,6218.103236000001,585.6787621781242,0.14202431075688007,-0.02283872229885181,-0.19037418459982997,0.3393478925315046,0.1505270534883378
AP0010,10,True,2026-04-24 23:48:00,68.16148386572002,84.29864493581934,70.23650040415863,70.16988451319845,70.00006223066735,66.31086700169152,68.30094269633042,87.30433139593279,99.70128883619866,0.1219338447915366,0.005022841249135539,32743.759999999995,5857.520000000001,9195.938376,241.28980041543426,-0.002046006376345278,0.30315233603441777,0.3932520289202449,0.5035076250316902,0.22563627738719857
AP0011,11,True,2026-04-25 08:29:00,64.46025013766302,77.9088323016074,64.01418713503728,64.2657859567403,68.27258456886165,68.88918001313328,62.5415150064371,81.72219819495268,95.49773870808141,0.16705352274052185,0.015724495309951295,29560.72,7660.88,7916.128344,721.1070419461385,0.029766175699415063,-1.010913970759482,0.2886906664414622,0.29946438137707204,0.6239011918101179
AP0012,12,True,2026-04-25 15:58:00,73.31810988860353,88.23523827042457,72.20614336676924,72.22574924556491,67.18071466847971,68.36007693385505,67.11446843772984,90.22419942179302,90.47956055523028,0.08618725477715021,0.0115707510049197,32937.799999999996,3871.92,7594.977511999999,519.8102938399454,0.08461267564452017,-0.4724582306209083,0.871038794021068,0.40714823942742884,0.7162892364192812
AP0013,13,True,2026-04-25 23:58:00,63.40204397910659,77.69805939689458,65.01764212769797,65.65583834030294,68.73685391532082,67.4000856386908,66.82905218109707,81.80149375784762,103.47715906432995,0.16369334283394157,0.018291719587582255,32216.520000000004,8317.76,9349.323848000002,929.4582839031673,-0.054052014523692946,-0.2685921703560667,-0.42476611801283626,0.7374014728962232,-0.056665619003801404
AP0014,14,True,2026-04-26 08:14:00,71.39812729827501,85.2663917528878,71.09947569856084,71.0920571324315,70.23053936371878,73.27371147530914,65.23930703730998,87.66275884830551,90.26243885323484,0.11120772003890922,0.012164691478035719,32114.600000000002,5002.079999999999,7315.76802,547.1630919792548,0.08626024930928163,-0.9187544681206542,0.5294189655398369,-0.029439353475556373,0.46359463231422354
AP0015,15,True,2026-04-26 16:09:00,75.14929565234326,85.82696019138436,73.55569692513741,71.61990920126432,72.41639012531705,73.77402307690548,72.91202180378602,87.59021691441652,94.82535728816826,0.10144815442313604,0.022649676432698766,35330.96,4769.52,5849.0194440000005,1064.8600297715104,0.02977105545882079,-0.6536084136167194,0.6506898582931487,0.4381970967763418,0.005393961308713349
AP0016,16,True,2026-04-27 00:15:00,72.3987505014677,87.94663341235567,71.3528089588287,71.91128453462082,72.66297777769348,70.71635327823506,66.78697420687666,90.077520350438,91.2599166949498,0.08850511919993896,0.010719677295681088,30460.36,3723.68,7437.997068000001,451.00948186067507,0.07751206002481041,0.44057411595229135,0.22435899722509353,-0.13889376366628411,-0.9935138929260355
AP0017,17,True,2026-04-27 08:28:00,69.0339560550024,89.18925580969251,72.64638176414219,73.08845643808145,69.87235508547454,69.32397235270574,76.05963970331315,91.63230556662572,108.3794424256695,0.06736049777469132,0.016316446559051533,33227.88,3242.24,10877.186948,785.353989938826,-0.10177141873070494,0.06816842971491485,1.4481746500371666,-0.18434201352074084,0.06713377412413737
AP0018,18,True,2026-04-27 16:47:00,69.61398865040907,82.73747184935873,66.49049120142874,67.11140016038885,69.21555461922406,68.9979883177979,71.01005050924203,85.47558425589695,101.22920974395186,0.1376345314329729,0.007609626008057594,31318.84,6192.08,7136.0194200000005,342.35167963586304,-0.02005432939410762,0.49349355792274524,-0.12156156474750604,-0.9413349643000277,-0.19326889697041127
AP0019,19,True,2026-04-28 00:59:00,68.38198798518673,87.17538507156812,70.17018821311123,69.76491471325006,69.6524581125038,69.33758427737655,70.74325481605581,89.94013432540953,102.74173625269374,0.09372290474338095,0.006875752002523764,30879.8,4232.320000000001,9735.184176,310.49382000056454,-0.03453053794488393,0.37304344290320335,-0.006136998391845269,-0.525400117925389,0.10960381314267797
AP0020,20,True,2026-04-28 08:52:00,70.29318056956637,88.39658133975405,70.54201741145603,69.55595195548592,69.42341300620394,70.04168219642676,71.32181111876965,90.77293272265801,99.7596726273853,0.07547967596040879,0.016790996813011046,30485.84,3273.5199999999995,8881.977487999999,728.2180691416713,-0.014633433013964792,0.09411426413787932,0.11244671207190018,-0.15862658678153618,0.753597959848368
AP0021,21,True,2026-04-28 17:01:00,69.79018382328715,84.68712043093504,66.13866250902258,66.72336238112132,64.88044543487338,63.55615352526721,68.30979644844187,87.38074131519858,95.48455589769435,0.10173124379815172,0.024461343049862545,30033.079999999998,4377.84,7569.8127079999995,1052.6544457658135,0.02121197127942387,0.34538701254353166,0.0661953385974321,0.31108304028405126,-0.08600825680814239
AP0022,22,True,2026-04-29 00:38:00,57.322123227247275,77.99935294671737,61.825741463042235,62.31104635099603,66.57782935665001,65.17160425941442,64.27199374552181,83.83161200928248,111.2701704252181,0.1540667280081905,0.007617151898984725,28943.32,7779.2,13385.27908,384.60833704102447,-0.1212423777591512,-0.07083362066823057,0.23792717686944972,-0.5059717282140066,0.3008087853573365
AP0023,23,True,2026-04-29 09:40:00,73.02108529158157,89.73108097208849,69.95739803423146,71.04745320191128,66.08671709045943,70.63287227973134,73.9551102010859,91.64339040535222,100.31919229718862,0.07408808654287867,0.009478009403599162,32022.480000000003,3249.04,8166.578059999999,415.6462004838992,-0.01279116717828406,-0.4202145003116886,-0.11167911490343141,-1.4019157162720601,-0.1517758305554313
AP0024,24,True,2026-04-29 17:18:00,68.24465926788112,84.9606644113579,68.32666047742643,67.162504241533,70.0291829701106,69.25202290303056,67.2198616368222,87.91965270077394,96.05921139698007,0.09604025445823597,0.0247632185340246,30209.48,4251.36,8709.418832000001,1096.1794857862615,0.01501652498602532,0.28217813299438044,-0.8416215200528423,-0.43548151067596336,1.57632727785787
AP0025,25,True,2026-04-30 00:49:00,70.25938653818,87.73504227191394,71.15154570800547,71.31863795179399,70.74050054979172,71.94684515427105,68.17736396153973,90.17805903345537,95.16378197540244,0.07891865553489391,0.019300754130552288,32073.44,3602.64,9092.882511999998,881.0802514260846,0.029633372553130345,-0.501460688872003,0.7114486312296412,-0.3715451991524426,-0.06335714837402774
AP0026,26,True,2026-04-30 08:56:00,73.63430377036208,89.74869905809946,72.55919891099431,71.59267518933079,70.8657576662992,70.99304752984025,71.45226203507472,91.58932201224836,95.30660104031278,0.066277954371357,0.017828825506159416,31820.6,2864.16,7759.1479,770.4614505089476,0.029633494493169123,-1.0888576559840502,-0.1360954015673136,0.13794732515914285,-0.2590890044781091
AP0027,27,True,2026-04-30 17:13:00,68.35179128931844,83.44376701236283,67.32268099511231,67.33622921130342,68.70696453199024,66.98626520416207,70.45627783754603,86.43819398109575,100.8468878372313,0.11396458106563011,0.021653479123412325,31542.280000000002,5259.12,8346.32666,999.2424318388872,-0.030789047492841268,-0.4110146408024489,-0.2909744888220551,-0.7740982362079657,-0.14340107494048268
AP0028,28,True,2026-05-01 00:37:00,65.6207391190057,85.85493386587538,67.93409987822031,68.77827745733269,67.01325882185431,65.75224975089228,65.64352511167066,89.18862722486577,99.02456679235456,0.09801566443121314,0.0100980633201292,30766.12,4595.44,11049.745604,473.44518218739756,-0.0003472376716703266,0.306991703353655,-0.20958489269239455,0.2586680621750614,-0.13551513806020163
AP0029,29,True,2026-05-01 08:23:00,65.88376038277886,81.40062296135638,65.19481189732736,65.5088012022053,67.07647547935227,67.90423659613452,65.86678950590893,84.94609923729094,98.28885908962152,0.1336808442238795,0.016858163403211127,30979.759999999995,6285.92,8963.46352,792.7019545301731,0.00025758816393188093,0.17492256894398117,0.08584075775995118,-0.6111896100376669,-0.033577114134806754
AP0030,30,True,2026-05-01 16:09:00,69.92471280949019,84.38925612294469,69.13953111336848,69.24754047314677,66.35445305805538,67.03525782866687,73.87404052890878,87.06497921067927,103.71642452485321,0.11106735055978467,0.01828285733342257,34137.32,5422.32,8367.896492,892.5710614011793,-0.056479713119144695,0.4605504481654821,0.1421287538407245,-0.12166412394110455,0.11494163176468157
AP0031,31,True,2026-05-02 00:31:00,64.14580284784356,79.14313777120317,65.9531328257144,65.59658483865759,68.7019896146936,67.8803778319627,70.86593366109079,83.09543682206856,109.68519059353639,0.16188439755206904,0.007161234227245354,31940.160000000003,8060.719999999998,9435.603176,356.5797867683598,-0.10476337523107582,0.5293214636603399,-0.15151361129907076,0.2180744039386899,-0.11177323006784834
AP0032,32,True,2026-05-02 08:02:00,71.61495281608187,83.95498091165638,68.92245355033718,69.54977350061957,68.26089982150255,70.06409742912024,67.76623996221792,86.31333992971791,93.74731230433602,0.12758253109126283,0.009284069611558043,31230.639999999996,5563.759999999999,6409.835076,404.86996691618066,0.05374174948837886,0.11175530407288292,-0.10110050502496779,-0.28904042505215777,-0.32168533206213995
AP0033,33,True,2026-05-02 15:28:00,68.51324204215862,83.51725006222314,70.89437147192054,69.17909132886976,70.06679258209064,70.40358824481073,73.63540169701088,86.47840254359518,104.89103917129947,0.11116300400607053,0.02405297055797767,32396.840000000004,5256.400000000001,8494.918836,1137.3571231850615,-0.07476160085520993,-0.45410128241784753,-0.3783904957680032,-0.14986257519677107,0.5663909824618772
AP0034,34,True,2026-05-02 23:09:00,72.29393444746285,84.04802768755732,68.50120186689755,68.81713710538934,70.95809570330418,71.80734017271686,66.62787081729759,86.27890656815256,90.75967914641554,0.12199015871780688,0.015220775600667487,30062.48,5072.8,5815.466372,632.9358964576494,0.07837536680595057,0.6546737965503364,0.18426318358101484,-0.48867195676783864,-0.002054548546234112
AP0035,35,True,2026-05-03 06:22:00,71.32074589797088,88.86715368119843,73.96351229062735,73.8299118450304,69.04652889897287,67.50617973392889,74.33555030458042,91.0652826096714,102.76216943381687,0.07529192632437307,0.014055247578912857,36277.64,3829.7599999999998,10043.153444000001,714.9269197325921,-0.04227107230373658,1.1500987834754086,0.1445681759834243,-1.107602758816374,-0.13473912085582393
AP0036,36,True,2026-05-03 14:03:00,63.69161356988688,79.69426308289135,63.30411351139695,64.11216677736013,67.98389677723215,66.1744638241804,58.37844803076976,83.77166562628126,90.46473905591859,0.14926490902533984,0.013018434711847507,27971.16,6555.2,8818.466316,571.7247528594638,0.08342017482862407,-1.1018807965316526,-0.18086615959905533,0.2495671711629943,0.9042418021936834
AP0037,37,True,2026-05-03 21:48:00,68.65731407847392,84.82924977927526,67.84000195728785,67.72534796052835,67.71448144507434,69.02272246220764,79.77093149653741,87.72141725382974,115.47995350866127,0.11669968669197539,0.006086140769727246,30252.600000000002,5142.160000000001,8400.25124,268.1747527143332,-0.16187084460310908,0.018392914396647947,0.7735548550552709,0.6475949168228904,1.2525641190632146
AP0038,38,True,2026-05-04 05:30:00,69.38813084594135,86.84987099880497,70.65037800747706,70.75697561384787,67.99710983648255,68.16256921197302,69.73262135424675,89.49379128279324,98.84381515737387,0.08861719326936746,0.016444893902700247,33043.64000000001,4220.08,9574.608760000001,783.1298340713361,-0.004964689264656134,0.698842344018924,-0.03316703794392173,0.302359722602777,-0.05908814752551242
AP0039,39,True,2026-05-04 12:57:00,66.93700757800468,80.25254022186924,66.28473889522039,66.318617522027,68.77433110044818,67.69164539482394,66.33466403718435,83.52904641821078,97.76361812452475,0.1512230189624184,0.013486516855473758,33067.16,7470.4800000000005,8196.536160000001,666.2395389918644,0.008998662512936217,0.43727585577233874,0.2571764947586457,0.10450832612073145,0.2880337841220885
AP0040,40,True,2026-05-04 20:45:00,68.44628321164319,82.93706855935817,68.21562931592037,67.82859528869363,68.22317992164797,70.10168677309822,69.05088421936394,85.91830820532125,97.32679795890706,0.10556308339988686,0.03525383454690056,32424.279999999995,5000.72,8276.823868000001,1670.0398455352954,-0.008833218976277424,-0.007677621766359902,-0.06617664216155089,0.25714238076438733,-0.11568853050985752
AP0041,41,True,2026-05-05 04:15:00,71.75709033455325,86.45945565281197,72.10066600236868,72.2501999286978,71.68492948850214,72.47434426407,77.68339665320178,88.76201502121538,106.67950999683386,0.09779134896090376,0.014588500826942373,37292.920000000006,5082.320000000001,8837.6395,758.1798421906191,-0.08258844235487094,0.456471684156417,-0.16005812030960806,-0.12814945379311987,-0.02001758945867121
AP0042,42,True,2026-05-05 11:42:00,73.19159819358674,86.77440974405634,73.20270286082476,72.23482203473294,72.55683174147977,72.7937469778351,84.49977679572875,88.84461339764576,113.83827042820508,0.09759255916423462,0.013961306859307817,40472.04,5396.4800000000005,8655.494252,772.0046885267918,-0.15450104767807687,0.41672620052660336,0.21039230347573937,0.36376027053424065,0.11307501861146059
AP0043,43,True,2026-05-05 19:04:00,72.39589576208347,87.16074350481911,70.29089520821698,70.75728054138415,70.80035188472519,69.95541128015317,74.50999270563719,89.33568671501321,100.88635999252077,0.08688190843117084,0.01976122441869711,36105.159999999996,4332.96,8448.1842,985.528477716059,-0.029201889434469233,0.5259154917713181,0.07873033863704534,0.9908908387644729,0.055016098079852783
AP0044,44,True,2026-05-06 02:36:00,67.51492679822287,88.92740873523755,70.93492384713552,71.55034081631146,69.9620340815051,67.84653076412687,72.73423832646773,91.59353455431504,106.38641303363441,0.07158731964953408,0.01247733480731561,35670.04,3782.1600000000003,12721.407584,659.212788603742,-0.07730603846825539,-0.5627237542929018,-0.3377984831019196,0.08451554410064217,-0.11922171693457244
