moderador,subset,n,r2_lineal,p_int_gn_lineal,r2_tercil_orden,n_tercil_orden,gn_t1,p_gn_t1,gn_t2,p_gn_t2,gn_t3,p_gn_t3,c_t1,p_c_t1,c_t2,p_c_t2,c_t3,p_c_t3,r2_tercil_global,n_tercil_global,gn_t1_g,p_gn_t1_g,gn_t2_g,p_gn_t2_g,gn_t3_g,p_gn_t3_g
ley_sn_escoria_pct_prev,DEV,298,0.06128596143794163,0.26980580280237076,0.06484688423322982,298,-2.0453573465598893,0.04082667407934334,-1.42940393094793,0.1813623659349719,-0.5037909009402914,0.41126458483786243,2.521620327234817,0.035730024183963184,1.055945226142921,0.3639400851010587,0.3429090045646876,0.6782248293320966,0.07057383541976081,298,-0.46206225137470036,0.5908173671345668,-2.6061851325271257,0.002636345870662914,-0.07690497878307068,0.9409079498396221
ley_sn_escoria_pct_prev,TOTAL,361,0.045454015961890026,0.3022608311319622,0.06641739781183509,361,-1.8979080391886278,0.05015133245644473,-1.616023367473521,0.08552362965538778,0.6079932250433617,0.338946951696963,3.044730925765391,0.007013621273891234,1.3889302628951026,0.13589944960352726,0.524399350738424,0.4913473795911655,0.04652566223057686,361,-0.3426975737997056,0.6514581677005296,-1.6094769102056348,0.050539467991958915,0.2774057523451618,0.7567415388317222
m6_sn_inv_kg_prev,DEV,298,0.06514258464375433,0.1416491126228275,0.0595600217119151,298,-2.0895707476933874,0.04906572119590089,-1.2355842140294195,0.1658347289607165,-0.6213818496493242,0.3927884341946465,2.001257292488131,0.07441863612996437,1.0675301435069835,0.34124856725506236,0.5340670211223937,0.5304074826567627,0.06385331635898561,298,-1.5789744679135098,0.07798912145353483,-1.4672856576282816,0.14600168202085465,-0.1583414802731813,0.8791133601292332
m6_sn_inv_kg_prev,TOTAL,361,0.04842143777758323,0.18210675934609022,0.0650801376257174,361,-2.22802396889967,0.03818620720466124,-1.368810691942312,0.08175084158836347,0.8969160488947132,0.1684537949854471,2.5938553580294497,0.013124652621709261,1.5137072661129878,0.09898907906137845,0.772518321805021,0.3277859498260627,0.04684115919947496,361,-1.3335867658124914,0.12536488353092462,-0.8015408096772234,0.3399482022579411,0.3478611969768702,0.697735837847312
ratio_sn_feo_prev,DEV,298,0.06484722059506032,0.17777054398763292,0.08026914205477864,298,-1.6603549684129382,0.04894560725969143,-1.5422952489218673,0.10605653037404933,-0.38106618040646056,0.5394525617409872,3.670332046238445,0.0015642073592637602,-0.18373203525355936,0.8793558512052263,0.3539652838356171,0.6784619688788858,0.07392743544430902,298,-0.900383513592859,0.2615238233836775,-2.5158441976686863,0.03224180531836125,0.28168347431322127,0.7748864280035884
ratio_sn_feo_prev,TOTAL,361,0.04884731886811933,0.2306692765314965,0.08395190440096256,361,-1.4618944410491828,0.06639324785655953,-1.8592319304027367,0.03134908345153292,0.7453564086267431,0.23455191904067618,4.223909288459659,6.460594670245212e-05,0.7303131202005192,0.44591626293363706,0.4091833531744377,0.5832899327312991,0.05409091219326845,361,-0.8397999922524901,0.23830851399436503,-1.6128446575445887,0.07841573185818304,0.8219168905641652,0.36468811490271436
m6_avance_prev,DEV,298,0.058641693187837185,0.304174997190818,0.05994202609136945,298,-0.6933696099926356,0.3150856819856548,-1.2219495964873384,0.20920273460819994,-2.0223132063355256,0.04327981779738815,0.45573610774673967,0.6210401211890144,1.2237801163817106,0.2976101433190984,2.078076686840909,0.06616646042231396,0.06484115548438296,298,0.07317798013792776,0.9436336494615027,-1.851415513704195,0.08106017235091258,-1.26002728145819,0.1477434088696351
m6_avance_prev,TOTAL,361,0.0441215037285162,0.38139282026693955,0.06172241489248664,361,0.6689439279247583,0.29195599057455324,-1.0733280821138882,0.18756359727046557,-2.154658502343357,0.027102471229556294,1.003142387106083,0.24982178001794786,0.9528802283804708,0.3361015148171772,2.7273496117230986,0.003821886617615276,0.04473787480195801,361,0.29850973333509684,0.7386786682384577,-0.8703330331577412,0.3299430296761523,-1.1478603681805188,0.15579762008475445
ley_feo_escoria_pct_prev,DEV,298,0.05237907355141236,0.8042605063166343,0.05369886053665751,298,-1.4727086474004538,0.06871965659891908,-1.181198464276973,0.25312098165471775,-0.7119281633223751,0.2551420560397426,1.1568409794601018,0.39856770410639264,0.9620806386291432,0.24303625209111168,0.9001575716736856,0.4854799177718069,0.052531641487282066,298,-1.2715088799161527,0.11854829219247286,-1.0097866743356048,0.42935268535999616,-1.1320499385792042,0.0821080468526163
ley_feo_escoria_pct_prev,TOTAL,361,0.045586033079338284,0.612102400018727,0.04577695174371865,361,-0.7442231608493444,0.30736733443286224,-0.6613580993300462,0.4471830269601125,-0.3952795170444914,0.4783164575937435,0.6844314401607863,0.5790291019231042,1.033358919347602,0.14826157609926707,2.4990735108553266,0.010362640279198615,0.0445170384495045,361,-0.3969492494659874,0.5868112616449258,-0.633979002005604,0.5485090467696321,-0.8223704146112272,0.1585211549282094
m6_feo_inv_kg_prev,DEV,298,0.05721629530582939,0.7392857926594139,0.06387946462847072,298,-1.3359691528538231,0.07279421874819052,-1.5748156518817527,0.22734207676502083,-0.5938693520531306,0.3318223174581464,2.388946921188757,0.048287862363546256,0.7144532367715473,0.42587969115084257,0.44080333825092777,0.7222361931318779,0.05399671311825793,298,-1.3080952660360519,0.06946797408537381,-1.0587080434624405,0.32132096756100503,-0.8921194179969876,0.2602975130327866
m6_feo_inv_kg_prev,TOTAL,361,0.04039826379364786,0.47761747666222876,0.05435550275712131,361,-1.23723327354817,0.07736542593641586,-0.7686178866191126,0.4015118530522567,-0.002117162101629901,0.9970263297634184,2.3249185481693173,0.03155811867290653,0.23998467370998217,0.7463675219849546,1.9171765040517772,0.043373557237734256,0.041047545014214926,361,-0.7771247786905003,0.263711173118636,-0.9214621772688877,0.2996123590663028,-0.1949693156954685,0.7921762565322008
temperatura_horno_celsius_prev,DEV,298,0.059555307869515794,0.7087021479490923,0.06783336830448317,298,-1.2378453698451797,0.0729687298361934,-1.1732332486511625,0.19825062281292916,-1.008052419888072,0.10693803660454441,2.556824909168653,0.07175380954995088,-0.8823142234676129,0.4293624575685463,1.3516692332558362,0.13327914127471083,0.07724394984596461,298,-0.8530349194610818,0.2089065726226561,-1.509962822639836,0.032211246336742855,-0.9052896975584166,0.1538512337879861
temperatura_horno_celsius_prev,TOTAL,361,0.04916642143134875,0.40005088392550936,0.061291310437804114,361,-0.07263231834165919,0.8965872677190768,-1.0184602640174676,0.24299100567312137,-1.0105780206968038,0.10204820353757317,2.399595645186805,0.009260699515248405,-0.8700652426342326,0.44195782944274464,1.564732106366714,0.08605633768319469,0.07430317743786985,361,0.29004761613126234,0.6007412877145397,-1.5589494472705834,0.020628883999931295,-0.9047115865692291,0.14641886084914488
