subset,n,b_xi_Rt_gn,p_xi_Rt_gn,b_xi_Rt_gn_x_sn,p_xi_Rt_gn_x_sn,b_xi_Rt_carbon,p_xi_Rt_carbon,b_xi_Rt_carbon_x_sn,p_xi_Rt_carbon_x_sn,b_xi_Rl_gn,p_xi_Rl_gn,b_xi_Rl_gn_x_sn,p_xi_Rl_gn_x_sn,b_xi_Rl_carbon,p_xi_Rl_carbon,b_xi_Rl_carbon_x_sn,p_xi_Rl_carbon_x_sn
DEV,297,-0.9246508234352339,0.1103896126358683,0.5522594354300934,0.41506215384095757,0.9763765272630179,0.08690256318775845,-0.9044730054870932,0.0770064713553789,-0.1851275638982382,0.8027082394273588,0.6993344281781597,0.45707464098686446,-0.20713746727862617,0.6881524831294805,-0.996165304457202,0.06816577327190455
TOTAL,360,-1.005315212565355,0.05531892381991096,0.8202284519503884,0.1640243703686488,1.3406283210941934,0.006129108659033448,-1.064006932079895,0.03328455353118704,0.8562531221354668,0.24248126226715405,1.7133358703250159,0.06722560656962684,-0.20934617761530916,0.6690250599744446,-1.0390836996118509,0.05059560548176613
