exposicion,coef,ci_lo,ci_hi,p,n,forma,t
x_F_carbon,-0.537594370707566,-1.6080600774838003,0.5328713360686682,0.3249651781445141,298,z_media,-0.9843238881141358
x_F_gn,-0.12079066327928115,-1.3762418737822684,1.134660547223706,0.8504267788982862,298,z_media,-0.18857738002621308
x_F_exo2,-0.9135041861597714,-1.9989812709331214,0.17197289861357878,0.09905639754104242,298,z_media,-1.6494758203458577
x_R_carbon,1.09000640820017,-0.38164741485922904,2.5616602312595687,0.14659005827901184,298,z_media,1.4517086332375215
x_R_gn,-1.504826855829121,-2.4270042382195562,-0.5826494734386855,0.0013823699732127656,298,z_media,-3.198365839096585
x_R_exo2,-0.5063192015373192,-1.702503456278809,0.6898650532041706,0.4067588576257499,298,z_media,-0.8296260639441475
x_F_carbon,-0.34311751625323017,-1.4867888429992182,0.8005538104927578,0.5565210044001772,298,z_ponderada_dur,-0.5880276230844923
x_F_gn,-0.30731933319103666,-1.5547445995030158,0.9401059331209425,0.6291934027084908,298,z_ponderada_dur,-0.4828713265006018
x_F_exo2,-1.072640731135616,-2.2362387870800324,0.09095732480880048,0.0708004080467616,298,z_ponderada_dur,-1.8067887122065072
x_R_carbon,0.7754763603214324,-0.9162782021727741,2.467230922815639,0.36896180288920566,298,z_ponderada_dur,0.8984362743429649
x_R_gn,-1.3669308718791426,-2.367088023202744,-0.36677372055554125,0.007390541981697165,298,z_ponderada_dur,-2.678763537647563
x_R_exo2,-0.3184719917237428,-1.584149974470096,0.9472059910226103,0.6218929070869426,298,z_ponderada_dur,-0.49317844845818815
xf_F_carbon,-0.0002864885257467943,-0.001139550665583077,0.0005665736140894883,0.5103932874767358,297,fisica_acumulada,-0.6582375236714663
xf_F_gn,-0.0006131666313245684,-0.0057411131653348334,0.004514779902685697,0.8147056661368216,297,fisica_acumulada,-0.2343641045056474
xf_F_exo2,-0.000782487689382252,-0.0023734561729289658,0.0008084807941644618,0.3350603993769442,297,fisica_acumulada,-0.963988845190837
xf_Rt_carbon,0.0008741240759903725,-0.00227468797387996,0.004022936125860705,0.5863763600258569,297,fisica_acumulada,0.5441046216180743
xf_Rt_gn,-0.0009817762666808907,-0.009271467447603977,0.0073079149142421945,0.8164407819379083,297,fisica_acumulada,-0.2321294534014559
xf_Rt_exo2,0.0009313903359578009,-0.002255215689647935,0.0041179963615635366,0.5667368579125589,297,fisica_acumulada,0.5728744136577972
xf_Rl_carbon,0.0032620492030959454,-0.001727447684833999,0.00825154609102589,0.20005618454808138,297,fisica_acumulada,1.2814150568035836
xf_Rl_gn,-0.01023469530788932,-0.0180162840935704,-0.002453106522208241,0.009942211460154518,297,fisica_acumulada,-2.5778800905511132
xf_Rl_exo2,-0.0013195832348007394,-0.0029687342219544416,0.0003295677523529625,0.11681507928448809,297,fisica_acumulada,-1.5683119134369452
