muestra,outcome,palanca,t_T,p_T,t_idx,p_idx,gana,alguno_sig_p05
DEV,recuperacion_refinada_pct,G,0.08625017364330223,0.9312675464746398,-0.09620170189474132,0.923360379169709,idx,False
DEV,recuperacion_refinada_pct,C,-1.0025889772462204,0.31605921634318224,-0.4643505039403517,0.6423966456330416,T,False
DEV,f_dross,G,-2.013309820843577,0.044082045838108014,-1.0237813142916432,0.3059385780909958,T,True
DEV,f_dross,C,0.9173429141297234,0.3589629763860286,0.7265607345929889,0.46749508926047356,T,False
DEV,f_polvo,G,1.8581548783023711,0.06314702354655323,1.0750283534362837,0.2823620343340847,T,False
DEV,f_polvo,C,0.753094401935408,0.45139318816119733,0.40724776624618053,0.6838260222661802,T,False
DEV,f_metal,G,0.07585180665547606,0.9395369990566951,-0.05194824999722514,0.9585699282120643,T,False
DEV,f_metal,C,-1.2011572126433514,0.22969022333428157,-0.8094424923110669,0.4182606688247549,T,False
DEV,sn_perdido_escoria_frac,G,-0.10599683145797746,0.9155848661551621,0.30509757224851,0.7602918401759577,idx,False
DEV,sn_perdido_escoria_frac,C,-1.641687089134357,0.10065486867653134,-2.4969075537361807,0.012528161282199147,idx,True
TOTAL,recuperacion_refinada_pct,G,0.6781711476636465,0.4976631839753052,1.464270013548972,0.14312018697845358,idx,False
TOTAL,recuperacion_refinada_pct,C,-1.3851213345636757,0.16601536933594596,-0.8565721704856382,0.39168137138444004,T,False
TOTAL,f_dross,G,-2.2068781325101825,0.02732257454337783,-1.8137444967411553,0.0697170711056565,T,True
TOTAL,f_dross,C,1.0307958984111676,0.3026365420915915,0.4396393770681821,0.660198316324547,T,False
TOTAL,f_polvo,G,1.2715684063963477,0.2035265080173485,-0.03160194913110899,0.9747894889857595,T,False
TOTAL,f_polvo,C,0.928944878983077,0.3529176531203899,0.8881604901609799,0.3744544281432136,T,False
TOTAL,f_metal,G,0.6801917206052214,0.49638307405290927,1.5140499336846092,0.1300131754226053,idx,False
TOTAL,f_metal,C,-1.454971074455917,0.14567726950823517,-0.9517687017353498,0.34121429830982575,T,False
TOTAL,sn_perdido_escoria_frac,G,0.012821700960366094,0.9897700430552874,0.3221515982186552,0.7473378503683541,idx,False
TOTAL,sn_perdido_escoria_frac,C,-0.39049999887165227,0.696166856139633,-0.46315805074384997,0.6432510824512492,idx,False
