pretratamiento,exposicion,coef,p,ci_lo,ci_hi,n
ley_sn_conc_batch_pct,x_F_carbon,0.5016463816718231,0.0019505036623582296,0.18424338332041973,0.8190493800232264,298
ley_sn_conc_batch_pct,x_F_gn,0.23777364694732023,0.11187842766729665,-0.05536126204752739,0.5309085559421678,298
ley_sn_conc_batch_pct,x_F_exo2,0.250879039030331,0.31190294914062733,-0.23537078991622928,0.7371288679768913,298
ley_sn_conc_batch_pct,x_R_carbon,-0.15066305777890368,0.5962218386543405,-0.7079885499280814,0.40666243437027405,298
ley_sn_conc_batch_pct,x_R_gn,-0.10247299987820509,0.5495251993657244,-0.438066763859501,0.23312076410309085,298
ley_sn_conc_batch_pct,x_R_exo2,-0.0743010256963533,0.5592708190875691,-0.323694957514733,0.17509290612202635,298
feed_sn_total_t,x_F_carbon,-0.3846148233951399,0.2603352841246277,-1.0543304059395155,0.28510075914923566,298
feed_sn_total_t,x_F_gn,-0.5033021197250636,0.1300067034751258,-1.1548244897772457,0.1482202503271186,298
feed_sn_total_t,x_F_exo2,-0.593770029781906,0.19707851400353749,-1.495971775952861,0.3084317163890492,298
feed_sn_total_t,x_R_carbon,0.042940930857064886,0.941363594362938,-1.1012560110476088,1.1871378727617388,298
feed_sn_total_t,x_R_gn,0.19575001008879375,0.5868059459935214,-0.5102000281139851,0.9017000482915727,298
feed_sn_total_t,x_R_exo2,0.09194743404911623,0.694196076142679,-0.3664166167053684,0.5503114848036009,298
F_lnirf_F0,x_F_carbon,-0.006162936161935647,0.822522471734584,-0.060015079312154766,0.047689206988283474,297
F_lnirf_F0,x_F_gn,-0.03345173153329799,0.12183970056808092,-0.07583056200437338,0.008927098937777406,297
F_lnirf_F0,x_F_exo2,-0.026455118830365443,0.3542825098909256,-0.08243078846912358,0.0295205508083927,297
F_lnirf_F0,x_R_carbon,0.014465945258676552,0.701934528773823,-0.05961809934202102,0.08854998985937412,297
F_lnirf_F0,x_R_gn,-0.03780291316690476,0.17372395136194085,-0.09226916649161503,0.016663340157805503,297
F_lnirf_F0,x_R_exo2,-0.0401731289744675,0.1419297352260407,-0.09378582021511914,0.013439562266184125,297
kpi_prev,x_F_carbon,0.002435945388645179,0.9970116057547225,-1.2722899059047297,1.27716179668202,297
kpi_prev,x_F_gn,-0.553043860404161,0.2944204854982324,-1.586876383171578,0.480788662363256,297
kpi_prev,x_F_exo2,-0.7956727263838946,0.1464304947558716,-1.8695124011800797,0.2781669484122905,297
kpi_prev,x_R_carbon,1.225805052633902,0.11889232941472053,-0.31483396428076094,2.766444069548565,297
kpi_prev,x_R_gn,-0.7489662656320301,0.15091578618031837,-1.770996876253447,0.2730643449893867,297
kpi_prev,x_R_exo2,0.1242119912863775,0.8109025975973712,-0.8932970580521729,1.1417210406249279,297
