canal_a,canal_b,lag,r,p,n
f_polvo,f_polvo_lag1,1,-0.06630173659212946,0.20884515166796205,361
f_polvo,f_polvo_lag2,2,-0.0790619871340834,0.1343351746808934,360
f_polvo,f_polvo_lag3,3,0.42975767032848117,1.43829798297971e-17,359
f_dross,f_dross_lag1,1,0.1774177691891441,0.00070881056507056,361
f_dross,f_dross_lag2,2,0.18456945341631964,0.0004314343246394246,360
f_dross,f_dross_lag3,3,0.3284551623847767,1.7768496361336128e-10,359
f_metal,f_metal_lag1,1,0.1234252194383503,0.0189800511453458,361
f_metal,f_metal_lag2,2,0.04838059579916579,0.3600336843256132,360
f_metal,f_metal_lag3,3,0.2861254379750224,3.425175358863205e-08,359
M_kg,D_kg_lag0,0,-0.21738139980327367,3.024020845446836e-05,362
M_kg,D_kg_lag1,1,-0.006262249320783335,0.9056150424948418,361
M_kg,D_kg_lag2,2,0.1048705673350871,0.046773560138027886,360
M_kg,D_kg_lag3,3,-0.00025125708271084464,0.996214818289695,359
M_kg,P_kg_lag0,0,0.06896465000227106,0.19047913539878808,362
M_kg,P_kg_lag1,1,0.06964487445579487,0.1867458899817304,361
M_kg,P_kg_lag2,2,0.12462555961738381,0.018000412049097806,360
M_kg,P_kg_lag3,3,0.10679782353565223,0.04314951094783359,359
D_kg,P_kg_lag0,0,0.07319911098195478,0.16460289221860544,362
D_kg,P_kg_lag1,1,0.03256744998988415,0.5373671989696822,361
D_kg,P_kg_lag2,2,-0.009593547164884676,0.8560568436470202,360
D_kg,P_kg_lag3,3,-0.05377331212045479,0.309609934954073,359
f_metal,f_dross_lag0,0,-0.7168302991430061,2.4338304029919137e-58,362
f_metal,f_dross_lag1,1,-0.21426723447654566,4.047894084451501e-05,361
f_metal,f_dross_lag2,2,-0.1519913205274256,0.0038448846514509225,360
f_metal,f_dross_lag3,3,-0.2167251963653167,3.452523296055255e-05,359
f_metal,f_polvo_lag0,0,-0.5902057414562754,2.364400988617877e-35,362
f_metal,f_polvo_lag1,1,0.07403063469070272,0.16042889745743677,361
f_metal,f_polvo_lag2,2,0.10833096729389168,0.03994312341495055,360
f_metal,f_polvo_lag3,3,-0.1520639412428984,0.0038774287345918357,359
cierre_sn_frac,cierre_sn_frac_lag1,1,0.012764908812672036,0.8090110967740505,361
cierre_sn_frac,cierre_sn_frac_lag2,2,0.10600877234533315,0.04442621405139998,360
cierre_sn_frac,cierre_sn_frac_lag3,3,0.1748726311277948,0.0008763410506010537,359
E_kg,E_kg_lag1,1,0.0021968926136059063,0.9668205654496316,361
E_kg,E_kg_lag2,2,-0.024942458338564413,0.6371570687264859,360
E_kg,E_kg_lag3,3,0.1513946541230691,0.00403892803172823,359
