subset,espec,n,b_x_R_gn,p_x_R_gn,b_x_R_gn_x_sn,p_x_R_gn_x_sn,b_x_R_carbon,p_x_R_carbon,b_x_R_carbon_x_sn,p_x_R_carbon_x_sn,b_x_R_gn_x_temp,p_x_R_gn_x_temp,b_x_R_carbon_x_temp,p_x_R_carbon_x_temp
DEV,solo_sn,298,-1.0771693979621522,0.01360382873819537,0.5504739657204378,0.26980580280237076,0.6750854691521587,0.3394018842680401,-0.7831156100550836,0.10547136496094789,,,,
DEV,solo_temp,298,-1.1427523468832137,0.006304236056960979,,,1.1198173891320036,0.11560697534049572,,,0.13435570672467906,0.7087021479490923,-0.9911149449675297,0.13129687673360718
DEV,ambos,298,-1.1169911459749484,0.011965271717016574,0.7697134906004616,0.1789443435754906,0.8621159222066141,0.23155705604810017,-0.716968881843701,0.1259405891971739,-0.0328077704721802,0.9310835411869958,-1.1225079888701468,0.1210339826616833
TOTAL,solo_sn,361,-0.6009768241814024,0.13240178299538005,0.5104541581898938,0.3022608311319622,1.0215321086580313,0.13909755271035273,-0.6602943531179296,0.18826250231925212,,,,
TOTAL,solo_temp,361,-0.6865426133996566,0.07246425760842608,,,1.1486104533233499,0.07484619640195463,,,-0.28310423771778387,0.40005088392550936,-0.8942979325958987,0.07869462993959953
TOTAL,ambos,361,-0.7112784756824982,0.06863412024495734,0.8114561373443223,0.07877037923568711,0.8636830654921059,0.19163323559486578,-0.5559895506293048,0.21999696345369202,-0.4598546611221601,0.18724551136330658,-0.9344773245974284,0.06458212996235838
