version,muestra,n,K_Sn,K_Sn_t,K_Sn_p,K_FeO,K_FeO_t,K_FeO_p,w_o_lambda,ci_lo,ci_hi,pp_por_t_Sn,pp_por_t_FeO,r2
LOG_ident,DEV,297,-3.1185774304222904,-0.7064683728123503,0.479896914285741,5.888661928613372,0.17055375231706552,0.8645746652887476,-1.8882525959331338,-50.08800128579612,79.74957052548115,,,0.03387339474815654
LOG_ident,LOCKBOX,63,-19.146161923083547,-1.761163743881987,0.0782106926081226,-163.17292737009438,-2.8836328350894953,0.00393116809300693,8.52248758918962,-1.866146724110106,23.734543036794005,,,0.22332974144857998
LOG_ident,TOTAL,360,-5.169773411434562,-1.3240269605527373,0.18549409091740776,-28.811785789970344,-0.9491364046945833,0.34255124103117496,5.573123519542291,-20.23115090045467,21.09408061705242,,,0.03150119608593316
LOG_all,DEV,297,-1.23303375982341,-0.35538472630024515,0.7223013896982451,18.036835022344736,0.7835489626435477,0.43330481308159274,-14.628013936072518,-84.66582969635019,115.0096303269009,,,0.03463201404154659
LOG_all,LOCKBOX,63,-3.633457570607659,-0.31546873133553727,0.752405788651584,-66.54526897176686,-1.2623982512350587,0.20680551817919146,18.31458539933847,-54.77525121767646,93.84949100609268,,,0.18622810619325825
LOG_all,TOTAL,360,-0.7504498902595387,-0.2376598439623594,0.8121449312196067,5.731361100621356,0.2674154681710333,0.7891492910909222,-7.63723357816629,-55.18474896537825,90.70982805859094,,,0.028861824711581385
KG_ident,DEV,297,-0.0003026883372914882,-0.3157771652851326,0.7521716514114675,-0.0024543984177928654,-1.4533666042017177,0.14612199364905248,-8.10866530159464,-45.755139285113934,43.917364471029806,-0.3026883372914882,-2.4543984177928655,0.03454016605590082
KG_ident,LOCKBOX,63,0.0008033700154623132,0.19325147142755142,0.8467620300325723,0.005174819486248622,1.304576477130865,0.19203710241651584,-6.441389878449325,-18.22001544946547,26.9045840278383,0.8033700154623131,5.174819486248622,0.19530938125802078
KG_ident,TOTAL,360,-0.00017410650175545862,-0.17848123015171666,0.8583450606954358,-0.0004584410779570388,-0.27989285645849393,0.7795597079946672,-2.6331071690874728,-17.649342135007046,18.41394164524763,-0.1741065017554586,-0.4584410779570388,0.027738253399718915
KG_all,DEV,297,-0.00012932026662925748,-0.1763453609082545,0.8600226275255067,-0.002273382832046905,-1.7981559494881576,0.07215229800438189,-17.579478385737982,-56.03156757316403,69.64546042549412,-0.12932026662925747,-2.273382832046905,0.03591449265106894
KG_all,LOCKBOX,63,0.001677174983839803,0.5843790276722823,0.5589653335545453,0.003806467321357202,1.6379538055182377,0.10143133054145444,-2.2695707711085085,-15.598380107187422,22.81153678949543,1.6771749838398031,3.8064673213572022,0.19160038451524608
KG_all,TOTAL,360,9.000570055119669e-05,0.11641457955670213,0.9073239811410471,-0.0010616792687276715,-0.8251039739756492,0.40931256375802205,11.795689186639587,-28.9407369360461,22.95547846510871,0.0900057005511967,-1.0616792687276715,0.029177709449418
