canal,idx_mod3,media,sd,n,kruskal_p
M_kg,0,35430.78116666666,3091.675907818745,120,0.8906443091890887
M_kg,1,35420.28578512397,3218.6012792934735,121,0.8906443091890887
M_kg,2,35531.179669421486,3014.797179309617,121,0.8906443091890887
D_kg,0,6445.918333333333,2027.19666103335,120,0.40996635746803145
D_kg,1,6303.987768595041,2000.4216238172924,121,0.40996635746803145
D_kg,2,6676.6727272727285,2134.731062518181,121,0.40996635746803145
P_kg,0,9396.577757733334,2008.12329169843,120,0.7852183000353935
P_kg,1,9253.051884330578,2019.2316805795595,121,0.7852183000353935
P_kg,2,9279.687358694217,1997.0780266679137,121,0.7852183000353935
E_kg,0,761.4095038960872,302.87981471268915,120,0.7126905614197451
E_kg,1,734.5718937546808,295.2206533901669,121,0.7126905614197451
E_kg,2,789.6491101732533,589.6026816775478,121,0.7126905614197451
f_metal,0,0.6925243889942309,0.04959544856087166,120,0.8408919134308835
f_metal,1,0.6957077878018203,0.04664901352794677,121,0.8408919134308835
f_metal,2,0.6908150131040904,0.041172460181848426,121,0.8408919134308835
f_dross,0,0.12511232284011312,0.0361942878596988,120,0.4869240233401616
f_dross,1,0.12311821159973686,0.03587626803178525,121,0.4869240233401616
f_dross,2,0.1295696873925936,0.03992851245502379,121,0.4869240233401616
f_polvo,0,0.1823632881656561,0.029028379790994353,120,0.7913290889936875
f_polvo,1,0.18117400059844288,0.03549793540776423,121,0.7913290889936875
f_polvo,2,0.17961529950331592,0.032181329813527,121,0.7913290889936875
sn_perdido_escoria_frac,0,0.014795257308832332,0.006155169868691295,120,0.7044782518914271
sn_perdido_escoria_frac,1,0.014287137580681647,0.005886213796733006,121,0.7044782518914271
sn_perdido_escoria_frac,2,0.015011543934524727,0.00983745327173691,121,0.7044782518914271
cierre_sn_frac,0,-0.021355411778689982,0.07111448909181216,120,0.7084680612536315
cierre_sn_frac,1,-0.017540110413102876,0.06691013575178409,121,0.7084680612536315
cierre_sn_frac,2,-0.019391432630026118,0.06000328199004486,121,0.7084680612536315
recuperacion_refinada_pct,0,68.22168558878646,4.815346841031562,120,0.8449072567960167
recuperacion_refinada_pct,1,68.57283866010813,4.55745645122082,121,0.8449072567960167
recuperacion_refinada_pct,2,68.04478015466464,4.116566114583959,121,0.8449072567960167
recuperacion_real_pct,0,69.56966456968433,5.63503942885483,120,0.9931097480947226
recuperacion_real_pct,1,69.6576693487644,5.12113357719588,121,0.9931097480947226
recuperacion_real_pct,2,69.28505120869012,4.8105240811776175,121,0.9931097480947226
rendimiento_proxy_batch,0,69.25243889942308,4.959544856087166,120,0.8408919134308835
rendimiento_proxy_batch,1,69.57077878018202,4.664901352794677,121,0.8408919134308835
rendimiento_proxy_batch,2,69.08150131040904,4.117246018184843,121,0.8408919134308835
