variante,n,pendiente,se,t,p_uni,spearman,sd_score
referencia W=100 duro,261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272
(i) ponderacion exponencial semivida=40,261,0.573499355291679,0.277953459269154,2.063292742603845,0.019542411588657913,0.14488225646425174,1.0544330961275987
(i) ponderacion exponencial semivida=60,261,0.5973378492491442,0.3050986982532739,1.957851189365848,0.025123738393149582,0.14511241149830253,0.9623712796428396
(i) ponderacion exponencial semivida=80,261,0.5943953243187292,0.320471508706939,1.8547524761781078,0.031815790660031325,0.13729658952085907,0.914911210434972
"(ii) ridge hacia 0, gl_efectivos~=1.5 (ventana 100)",261,0.6519799046492264,0.2894377336690357,2.2525739694837026,0.012143011964561948,0.14744028455531483,1.018543651679565
"(iii) contraccion: media(beta_ventana100, beta_expansivo)",261,0.6044797565482782,0.2959333740311233,2.0426211086442216,0.02054497993314314,0.13756184151024897,1.008918780072891
(iv) solo xG,261,0.5699897646875078,0.2751729336924067,2.071387461837554,0.019161300830174692,0.14154197123399545,1.0237590457739862
(iv) solo xC,261,0.5581155675812592,0.45483069272657917,1.2270842238801365,0.10989546835722236,0.05892103859990146,0.8082468456210521
"(v) + x_F_carbon, x_F_exo2 (4 exposiciones)",261,0.4789712476732365,0.16641617926905405,2.8781531325680643,0.002000054567722809,0.19024507124006992,1.8112779025098675
