placebo,n,pendiente,se,t,p_uni,spearman,sd_score
real (referencia W=100 todo),261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272
kpi_prev (outcome = KPI del batch anterior),260,0.4572545730632732,0.36646258575778634,1.2477524059318184,0.10606087153965982,0.07970463832532798,0.7745549336644646
lead1 (exposicion del batch siguiente),260,0.4204463319269441,0.32496668873924056,1.2938136322776093,0.09786490136714843,0.10347148967838624,0.9150077217645344
lead3 (exposicion 3 batches adelante),258,-0.4917678879808982,0.4127407556468898,-1.191469175875663,0.8832652748060343,-0.05914906982683654,0.689754394436385
