n,esquema,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio,beta_sd_folds,spec,muestra
298,gkf,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.008398320335932814,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'xG': np.float64(-1.136), 'xC': np.float64(1.0003)}","{'xG': np.float64(0.1943), 'xC': np.float64(0.3217)}",P0_G+C (sin compuerta),DEV
298,crono,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.005398920215956809,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'xG': np.float64(-1.0529), 'xC': np.float64(0.9108)}","{'xG': np.float64(0.1726), 'xC': np.float64(0.2743)}",P0_G+C (sin compuerta),DEV
361,gkf,0.6528136370603718,0.4024869807528479,1.6219496984456252,0.05240705949208895,0.10709942200660123,0.04198341850433689,0.08816911685055141,0.05358928214357129,0.6168647836849105,-0.783293205826189,0.397687370478995,"{'xG': np.float64(-0.6434), 'xC': np.float64(1.1758)}","{'xG': np.float64(0.1698), 'xC': np.float64(0.2692)}",P0_G+C (sin compuerta),TOTAL
361,crono,0.7212230268564436,0.4390731141459587,1.6426034836118235,0.05023249977185995,0.09539263249720695,0.07024858944541736,0.086650945822991,0.052389522095580884,0.5414770559320815,-0.853199355580237,0.2514417155051476,"{'xG': np.float64(-0.6005), 'xC': np.float64(1.0472)}","{'xG': np.float64(0.2107), 'xC': np.float64(0.1272)}",P0_G+C (sin compuerta),TOTAL
63,holdout,-0.9342396072998371,,-1.4221459037887494,0.9225080504162705,,,,,0.7567877271483396,,,"{'xG': -1.13, 'xC': 0.987}",,P0_G+C (sin compuerta),LOCKBOX(beta DEV)
298,gkf,0.7398026116853204,0.3684087542012183,2.0081026936760935,0.022316190047632405,0.12270059804346352,0.0342390383369298,0.11959202171584442,0.019596080783843232,0.732877256227512,-0.7338455340996753,0.7465159449997745,"{'xG_gate': np.float64(-1.0961), 'xC': np.float64(0.9665)}","{'xG_gate': np.float64(0.2189), 'xC': np.float64(0.324)}",P1_Ggate+C,DEV
298,crono,0.8423787245841758,0.38373479416725653,2.1952106960022304,0.014074243685784442,0.12576778990551968,0.029962191005057842,0.12991846526078407,0.01279744051189762,0.7011797630469495,-0.8506017181711283,0.7055421967483217,"{'xG_gate': np.float64(-1.0041), 'xC': np.float64(0.8743)}","{'xG_gate': np.float64(0.1985), 'xC': np.float64(0.273)}",P1_Ggate+C,DEV
361,gkf,0.6359996194455052,0.4221859021043006,1.5064444745205683,0.06597655546225378,0.0979221826010213,0.06309268664567041,0.08224114193752635,0.0655868826234753,0.594639999152055,-0.7009145089810886,0.35356371316124535,"{'xG_gate': np.float64(-0.6335), 'xC': np.float64(1.1453)}","{'xG_gate': np.float64(0.1788), 'xC': np.float64(0.268)}",P1_Ggate+C,TOTAL
361,crono,0.7086440651530042,0.47699875466846725,1.4856308495931807,0.0686883952371986,0.08668447069986684,0.10009577432864203,0.07865657315570462,0.07078584283143372,0.5052137552918821,-0.6818760416069564,0.2862046274732641,"{'xG_gate': np.float64(-0.5759), 'xC': np.float64(1.0179)}","{'xG_gate': np.float64(0.2306), 'xC': np.float64(0.1254)}",P1_Ggate+C,TOTAL
63,holdout,-1.182485086869773,,-1.3799393834871676,0.9161973453863739,,,,,0.629651854856861,,,"{'xG_gate': -1.088, 'xC': 0.953}",,P1_Ggate+C,LOCKBOX(beta DEV)
