kpi,ventana,expo,t_hc3,t_hac,beta,t_placebo_lead3_hac
kpi_c3_polvosuav,3,x_R_gn,-2.485628836866239,-2.7040102725359114,-0.8328733783090602,-0.777372075109061
kpi_c3_polvosuav,3,x_R_carbon,1.7550361204700955,1.8630064262115973,1.0252394999684886,2.0856231253413924
kpi_c3_polvosuav,3,x_F_carbon,0.04437158103562735,0.04493929300647951,0.01917129240057208,1.4178132352970951
kpi_c3_polvosuav,3,x_F_exo2,-2.5786808010445017,-3.0644692455154314,-1.1293174149939613,-1.2542152215090436
kpi_c5_polvosuav,5,x_R_gn,-2.5813508097057967,-2.7961160337463173,-0.8153307256180972,-0.681294579773276
kpi_c5_polvosuav,5,x_R_carbon,1.9170724805253372,2.023713265872684,1.0766665048904795,1.9340317810222702
kpi_c5_polvosuav,5,x_F_carbon,0.18905477490948955,0.18588804744210066,0.07793527075110998,1.8111881667742693
kpi_c5_polvosuav,5,x_F_exo2,-2.5788476978976145,-3.118560973483293,-1.1420595789570387,-1.023566941188884
kpi_d3_todosuav,3,x_R_gn,-1.4265297394263212,-1.3835986504655702,-0.39179947954774824,-1.830354034142383
kpi_d3_todosuav,3,x_R_carbon,2.415545377199778,2.6112978937528775,1.1300851543361172,2.9567248023741763
kpi_d3_todosuav,3,x_F_carbon,0.21339473083811075,0.18580846495687453,0.06310687975215112,2.1778370164253618
kpi_d3_todosuav,3,x_F_exo2,-1.7352114468188171,-1.9864328942732477,-0.6668939699174367,-1.0419350153977924
kpi_e_legado,2,x_R_gn,-0.5603049710061525,-0.5828619270940886,-0.19251393635583725,-0.8676467989510361
kpi_e_legado,2,x_R_carbon,1.8311155216770845,1.9846959562503395,0.9824909950848255,2.8298826422055576
kpi_e_legado,2,x_F_carbon,-0.5157230751454325,-0.4703001508971456,-0.16129351729418961,1.1167170407498135
kpi_e_legado,2,x_F_exo2,-1.7483562377211002,-1.9946753453910873,-0.6979500040830988,-2.103962525484529
