canal,n,pendiente,se,t,p_uni,spearman,sd_score
f_dross_pp,261,0.7865092256046182,0.32963713106638703,2.38598492548529,0.008516724625021342,0.18409635464123486,0.7244404003963409
f_polvo_pp,261,0.3374071613482462,0.25999043454620613,1.2977675964777904,0.09718360377701935,0.06735240717867726,0.8178591647525688
f_metal_pp,261,0.5330879502309314,0.23190207166947205,2.2987632080783515,0.010759194541610853,0.13984921808033154,1.2989415297623186
sn_perdido_escoria_frac_pp,261,0.5997689220263681,0.22407278967943733,2.6766700360378812,0.0037178912322110916,0.1474537833842914,0.2440187595739864
recuperacion_refinada_pct (directo),261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272
