moderador,ln,subset,n,b_x_R_gn,se_x_R_gn,p_x_R_gn,b_x_R_gn_x_m,se_x_R_gn_x_m,p_x_R_gn_x_m,b_x_R_carbon,se_x_R_carbon,p_x_R_carbon,b_x_R_carbon_x_m,se_x_R_carbon_x_m,p_x_R_carbon_x_m
ley_sn_escoria_pct_prev,False,DEV,298,-1.0543405185611545,0.4366285094225179,0.0157468223749762,0.4588621773741831,0.5127697128080373,0.3708566432302105,0.6678825205199749,0.740799975919003,0.3672857019163571,-0.6463391659790029,0.5247969641885791,0.2180990929478811
ley_sn_escoria_pct_prev,False,LB,63,1.628955365495603,0.8137884192978561,0.0453176561657543,-0.8478605832814767,1.2204791790399567,0.4872465648751987,1.7877387528812463,1.623592690622799,0.2708529115647099,0.03535608890099562,1.4726839269753984,0.9808462853262198
ley_sn_escoria_pct_prev,False,TOTAL,361,-0.5709163360712025,0.4040479896557561,0.15765825167621117,0.41315470564586343,0.538883471977063,0.4432679071333301,0.9796910535519451,0.7355977644776102,0.18291610976788464,-0.6186591600798569,0.5570577378446057,0.2667476466796368
ley_sn_escoria_pct_prev,True,DEV,298,-1.0771693979621522,0.43653260447725817,0.01360382873819537,0.5504739657204378,0.49883918125984805,0.26980580280237076,0.6750854691521587,0.7066384909927622,0.3394018842680401,-0.7831156100550836,0.4837367463892963,0.10547136496094789
ley_sn_escoria_pct_prev,True,LB,63,1.6757065290169497,0.8637561759589251,0.05237693958952358,-0.9915275445614484,1.301984123932498,0.4463279224014691,1.8445099826996674,1.6411169374864478,0.2610402871423706,0.05489169595355081,1.4670974164066928,0.9701539790158662
ley_sn_escoria_pct_prev,True,TOTAL,361,-0.6009768241814024,0.3994003413267653,0.13240178299538005,0.5104541581898938,0.49481923320704924,0.3022608311319622,1.0215321086580313,0.6906163610813612,0.13909755271035273,-0.6602943531179296,0.5018439165370997,0.18826250231925212
m6_sn_inv_kg_prev,False,DEV,298,-1.0651811368763897,0.4328132618591425,0.013852565341715448,0.6382386956025711,0.5910122575920513,0.2801832781583823,0.6626992163257281,0.7323788545217456,0.36554036622938024,-0.7115200015880093,0.5396793249974606,0.18736557781282404
m6_sn_inv_kg_prev,False,LB,63,1.6817318359384683,0.8184982695566938,0.0399123069389961,-0.6970036081367388,1.133897364524478,0.5387546667370284,1.79035832568781,1.582173331246482,0.257810353867866,0.12381038606573558,1.4240638474556295,0.9307179345348617
m6_sn_inv_kg_prev,False,TOTAL,361,-0.5822473579444445,0.40309112290729715,0.1486107711474417,0.582181914772825,0.58877675294896,0.3227614518737473,0.9554855448379809,0.7296713616065535,0.19037390041085056,-0.6717841977831502,0.5660447554357583,0.23530492825504756
m6_sn_inv_kg_prev,True,DEV,298,-1.1139341377408503,0.4239135443331986,0.00859544463842349,0.7948652966923462,0.5408433369139208,0.1416491126228275,0.6662332928032887,0.7050983268496974,0.34472015355719865,-0.8256735207973671,0.47773649278933455,0.08393387533137689
m6_sn_inv_kg_prev,True,LB,63,1.6968745710743711,0.8652650490924572,0.04986691618568234,-0.9994685599005799,1.2761357330015584,0.4335101102407457,1.8862955677527877,1.6131765398854343,0.24228072600104666,0.12484411238402182,1.4711327404310686,0.9323706453142063
m6_sn_inv_kg_prev,True,TOTAL,361,-0.6300977117864822,0.3956021412543115,0.11121492365905086,0.718183778431968,0.538249084087216,0.18210675934609022,0.9929121960036414,0.6883721102148418,0.14918781732791161,-0.6905514660700485,0.494555994665952,0.162622390059599
ratio_sn_feo_prev,False,DEV,298,-1.0953782018241567,0.4473900871710033,0.014350266123812138,0.510633725777288,0.6094815163757653,0.4021337197797692,0.6868539244031571,0.7434220503454679,0.35553397609655024,-0.6205033837069069,0.5507773849843076,0.259913496301722
ratio_sn_feo_prev,False,LB,63,1.6172445797582924,0.816506463875189,0.04762626990442702,-0.9147961439772956,1.2435827208894723,0.46196599043614295,1.6994145867055863,1.61989346038691,0.2941365400816728,-0.10180886071479778,1.5183268986341465,0.9465392547640077
ratio_sn_feo_prev,False,TOTAL,361,-0.595998790007478,0.41533307738563285,0.15128996280731863,0.4354208485831451,0.6363909672707209,0.49384675043095616,0.9875321177291458,0.7368340686955724,0.18016837840390643,-0.6172156163929107,0.5833124081576022,0.289999884765315
