exposicion,coef_obs,ci_lo_boot,ci_hi_boot,se_boot,n
x_F_carbon,-0.5375943707075606,-1.635144553918138,0.4315957087697149,0.5253288020264695,298
x_F_gn,-0.12079066327928145,-1.3175215164605163,0.7237308614338761,0.5249238419781516,298
x_F_exo2,-0.9135041861597675,-2.0976467415326394,0.17673643669017594,0.5761514891631857,298
x_R_carbon,1.0900064082001684,-0.1487510393741962,2.6262308495861975,0.7116318817261205,298
x_R_gn,-1.5048268558291085,-2.400029012604405,-0.6513415125685291,0.45388583432452617,298
x_R_exo2,-0.506319201537317,-1.6557375954148703,0.4786742449330185,0.5343663571239781,298
