moderador,espec,esquema,tiempo_s,n,pendiente,se,t,p_unilateral,spearman_parcial,p_spearman,r_parcial,p_perm_unilateral,sd_score_pp,kpi_tercio_bajo,kpi_tercio_alto,beta_medio
ln_m6_sn_inv_kg (sensibilidad),b_moderado_libre,crono,0.4,298,0.8349551078048695,0.25943883604826024,3.2183119556146673,0.0006447374540101083,0.18369164473629018,0.001448413212953999,0.1729229061351654,0.0014992503748125937,0.9445579022615916,-1.2185982962180568,0.7593823375088948,"{'x_R_gn': np.float64(-1.0244), 'x_R_gn_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.8814), 'x_R_carbon': np.float64(0.5804), 'x_R_carbon_x_m_m6_sn_inv_kg_prev_ln': np.float64(-0.8397)}"
ln_m6_sn_inv_kg (sensibilidad),b_moderado_libre,crono,0.4,361,0.6023358060315963,0.31187879051176753,1.9313137807262002,0.02672213010036957,0.11976273192431498,0.02285816217114538,0.09964248972297483,0.02948525737131434,0.7530961101799116,-0.6351405239460824,0.5896926356529519,"{'x_R_gn': np.float64(-0.5636), 'x_R_gn_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.7598), 'x_R_carbon': np.float64(0.7246), 'x_R_carbon_x_m_m6_sn_inv_kg_prev_ln': np.float64(-0.6985)}"
ln_m6_sn_inv_kg (sensibilidad),c_moderado_signos,gkf,0.5,298,0.7417282364772818,0.31146700142159883,2.3814023093678722,0.008623432317635264,0.15117641817379196,0.00895464935558888,0.1400332760841525,0.006496751624187906,0.8534638259579235,-0.5626043816076043,0.8912774219614286,"{'x_R_gn': np.float64(-1.1981), 'x_R_gn_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.5662), 'x_R_carbon': np.float64(1.0528), 'x_R_carbon_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.0)}"
ln_m6_sn_inv_kg (sensibilidad),c_moderado_signos,crono,0.5,298,0.8075099940987107,0.32079552967333336,2.5172108692443427,0.005914400527089315,0.16802964891672215,0.003623982916968219,0.15013752307945089,0.0034982508745627187,0.8437589821838736,-0.8867882955779226,0.8354309980614942,"{'x_R_gn': np.float64(-1.1039), 'x_R_gn_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.6482), 'x_R_carbon': np.float64(0.9677), 'x_R_carbon_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.0)}"
ln_m6_sn_inv_kg (sensibilidad),c_moderado_signos,crono,0.5,361,0.5474514476889771,0.34558378731214584,1.584135216373724,0.05658147593903791,0.11749539594843461,0.025588012290027686,0.08350999337925717,0.0544727636181909,0.6969429386193015,-0.9295894746402654,0.602496984360935,"{'x_R_gn': np.float64(-0.632), 'x_R_gn_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.5692), 'x_R_carbon': np.float64(1.0344), 'x_R_carbon_x_m_m6_sn_inv_kg_prev_ln': np.float64(0.0)}"
ley_sn nivel (sensibilidad),a_sin_moderar,gkf,0.4,298,0.7933087867550547,0.3346726243354237,2.370402384510439,0.008884367654154186,0.14506969540526585,0.012174615945996083,0.13873627175103417,0.005997001499250375,0.7911081573739128,-0.8506804268749488,0.771933181175663,"{'x_R_gn': np.float64(-1.136), 'x_R_carbon': np.float64(1.0003)}"
ley_sn nivel (sensibilidad),a_sin_moderar,crono,0.4,298,0.8712644715242824,0.34740287327325503,2.507936861071889,0.0060719182122689645,0.14719006636135318,0.010956375730631959,0.14886938524989207,0.004497751124437781,0.7737503715219386,-0.8425502903861554,0.6975097323508248,"{'x_R_gn': np.float64(-1.0529), 'x_R_carbon': np.float64(0.9108)}"
ley_sn nivel (sensibilidad),a_sin_moderar,crono,0.4,361,0.7212230268564436,0.4390731141459587,1.6426034836118235,0.05023249977185995,0.09539263249720695,0.07024858944541736,0.086650945822991,0.05697151424287856,0.5414770559320815,-0.853199355580237,0.2514417155051476,"{'x_R_gn': np.float64(-0.6005), 'x_R_carbon': np.float64(1.0472)}"
ley_sn nivel (sensibilidad),b_moderado_libre,gkf,0.4,298,0.668961598067624,0.3058155787174711,2.18746736472064,0.014354211560752476,0.1657918322639653,0.004106412441735452,0.13262370970841542,0.010494752623688156,0.8954956145218709,-0.8046522642381325,0.7960700147267835,"{'x_R_gn': np.float64(-1.0536), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.4824), 'x_R_carbon': np.float64(0.6952), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(-0.6622)}"
ley_sn nivel (sensibilidad),b_moderado_libre,crono,0.4,298,0.7247888939004733,0.2733649697878689,2.6513598083284378,0.004008419329989453,0.16478062028105797,0.0043428519084884485,0.14935389392236703,0.0029985007496251873,0.9298190569562075,-0.8678665195197723,0.8654155218819748,"{'x_R_gn': np.float64(-0.9935), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.4777), 'x_R_carbon': np.float64(0.5523), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(-0.6817)}"
ley_sn nivel (sensibilidad),b_moderado_libre,crono,0.4,361,0.670282574955972,0.37931382899133087,1.7670923750351615,0.038606379640942046,0.11610831382031699,0.027392917356691766,0.09287534552676181,0.038980509745127435,0.6250168825174232,-0.798113555283733,0.5377316673348032,"{'x_R_gn': np.float64(-0.5142), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.4572), 'x_R_carbon': np.float64(0.6994), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(-0.6277)}"
ley_sn nivel (sensibilidad),c_moderado_signos,gkf,0.5,298,0.7304896016103927,0.35060605108000864,2.08350540260269,0.01860258987970623,0.14464707228057094,0.012431229566885794,0.13096429724936007,0.00849575212393803,0.8092266642680883,-0.6413081281871547,0.8337133082956045,"{'x_R_gn': np.float64(-1.1567), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.2147), 'x_R_carbon': np.float64(1.0087), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.0)}"
ley_sn nivel (sensibilidad),c_moderado_signos,crono,0.5,298,0.7869521895205668,0.3365795759015668,2.3380865800089787,0.009691378619217273,0.15373800404439447,0.00784662913386265,0.14183562556059895,0.004997501249375313,0.8138430390196627,-0.8812590565628396,0.8938580560112389,"{'x_R_gn': np.float64(-1.0856), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.2232), 'x_R_carbon': np.float64(0.9069), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.0)}"
ley_sn nivel (sensibilidad),c_moderado_signos,crono,0.5,361,0.6486129952478975,0.42503498250565136,1.5260226144780293,0.06350211630630835,0.10373323538564351,0.04890580103163165,0.08052914460197415,0.063968015992004,0.5618653215691588,-0.9646120668524848,0.2877066847078184,"{'x_R_gn': np.float64(-0.5971), 'x_R_gn_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.227), 'x_R_carbon': np.float64(1.0278), 'x_R_carbon_x_m_ley_sn_escoria_pct_prev_niv': np.float64(0.0)}"
