termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca,tercio_campana,n,T_media_tercio
__ap,0.00017823967080658664,0.00030068739464673207,0.5927740037655874,0.5533324076077845,-0.0006170383130199705,0.0008993078943141394,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,temprano,443,1119.5240070398106
__ap_x_zT_local,3.18915850652797e-05,0.0002145451502442262,0.14864742935916336,0.8818318455160928,-0.0005972311700697981,0.000701690320460403,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,temprano,443,1119.5240070398106
__ap,0.0005464271370995809,0.0003915573374886835,1.3955226598591663,0.16285828647676215,-0.00034175497537180616,0.0013098126766070493,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,medio_camp,441,1045.597482347873
__ap_x_zT_local,0.00037312642949983494,0.00023179304981162753,1.6097395060079047,0.1074547365438667,-0.00025124772550727656,0.0008104686797655474,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,medio_camp,441,1045.597482347873
__ap,0.0002227068210301555,0.0006420423410872663,0.34687248297832307,0.7286871200591952,-0.0008195853964665073,0.0014827287668263914,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,tardio,441,988.418966595883
__ap_x_zT_local,0.0005502252519232879,0.0007976471084548156,0.6898103761564085,0.49031344262814636,-0.0007512715197973833,0.0020723054367741862,TOTAL,sn_dep__Cx_sn,Cx_sn_v6,tardio,441,988.418966595883
__ap,0.014095360764695959,0.009445065135686381,1.4923518855830142,0.13560692135577532,-0.0013127362193513608,0.029949746187199047,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap_x_zT_local,-0.001698211064429963,0.005340580379826245,-0.3179824932220595,0.7504982166225324,-0.01684599837233573,0.007388992794260048,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap,0.005569744452942513,0.009095632782808496,0.6123537070966403,0.5403037630762122,-0.012289650381625987,0.02209510682721974,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
__ap_x_zT_local,0.0022497438413771696,0.006946480691735761,0.32386814866608543,0.7460378590692982,-0.01236186035857914,0.01645573552087635,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
