termino,coef,se_hc3,t,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca,tercio_campana,n,T_media_tercio
__ap,0.014428077517282017,0.007361780456472545,1.9598625091565613,0.05001186265135405,0.0019260847081159092,0.027100091392383428,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap_x_zT_local,0.0022867705729272287,0.004913678273774942,0.46538874657953805,0.6416530915378407,-0.006555479205313857,0.011361592584056574,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap,0.000314060608980898,0.002213827019803017,0.14186321070778268,0.8871880539578778,-0.0037878083660650252,0.004318321197578456,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,temprano,443,1119.5240070398106
__ap_x_zT_local,-0.0005800687604276233,0.001606052064834438,-0.3611768093504618,0.7179672771631846,-0.005450874987350637,0.002500117424445869,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,temprano,443,1119.5240070398106
__ap,0.008301648583343,0.00387018147024156,2.1450282492373276,0.03195058841857861,0.0020837642806120177,0.015384353871906373,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,medio_camp,441,1045.597482347873
__ap_x_zT_local,0.0035394605784953527,0.0033013804764318467,1.0721153177475697,0.28366823959697796,-0.002616854186960501,0.009514258401915016,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,medio_camp,441,1045.597482347873
__ap,0.005376304054961477,0.0036282435979111786,1.4817924733765608,0.13839552241109948,-0.00042471746782553647,0.012714269814236944,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,tardio,441,988.418966595883
__ap_x_zT_local,0.008566365308811164,0.002988964324008441,2.8659978441371896,0.004156970766035568,0.002396934764972233,0.014382178281643513,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,tardio,441,988.418966595883
__ap,0.014573911347527179,0.009425947360714932,1.5461481790432774,0.12206878537662905,-0.0010875662259907627,0.03008071008950464,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap_x_zT_local,-0.0017976418461419757,0.005574124497058336,-0.3224976132288856,0.747075745620864,-0.017677474941231636,0.007749151146240163,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap,0.004015030426577324,0.009157055683029134,0.4384630350144557,0.6610506606373721,-0.013979166276086653,0.020295383546500522,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
__ap_x_zT_local,0.003148585318528814,0.0070071475728174515,0.44933909066550787,0.6531870626831852,-0.011482644963281913,0.01811970774733673,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
__ap,0.014906836083607343,0.007414272095963982,2.0105596194293973,0.044371992904996264,0.0023313595814612236,0.027899667248753663,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap_x_zT_local,0.002742038720081252,0.0049630175361632545,0.5524942638427652,0.5806097633629621,-0.006223075128537138,0.01199564535247993,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap,-0.001739424132293312,0.001673676903967472,-1.0392831066557622,0.29867308917869584,-0.004920704296691411,0.001220480624181677,TOTAL,feo_ret__GN,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap_x_zT_local,0.0008733530694926713,0.0009069940580324385,0.9629093617076772,0.3355930110868727,-0.0007672308187374177,0.0036828375981561193,TOTAL,feo_ret__GN,tasa_gn_nm3_min,temprano,443,1119.5240070398106
__ap,-0.002383632596141715,0.0016721375464844382,-1.4255003131489687,0.1540126296534198,-0.005542945910318734,0.0006886007289098622,TOTAL,feo_ret__GN,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
__ap_x_zT_local,-0.0002776628562856666,0.0012522175526099198,-0.22173691440992105,0.8245186918024887,-0.0026183470781160623,0.0022186565180324965,TOTAL,feo_ret__GN,tasa_gn_nm3_min,medio_camp,441,1045.597482347873
__ap,-0.0021885980053455403,0.0014629086141656963,-1.49605927817556,0.13463820844323438,-0.004897457938649385,-0.00014219848079438917,TOTAL,feo_ret__GN,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap_x_zT_local,0.00011657499473614476,0.0012664618904927524,0.09204777152101118,0.9266600844839998,-0.002827114205715384,0.0026413168335907354,TOTAL,feo_ret__GN,tasa_gn_nm3_min,tardio,441,988.418966595883
__ap,0.0004051618309889866,0.000318155024903991,1.273472990443107,0.2028502510097343,-0.0004498912028713161,0.0010787466788493736,DEV,sn_dep__Cx_sn,Cx_sn_v6,temprano,363,1123.7123336003945
__ap_x_zT_local,6.973638777198939e-05,0.00021944033136784004,0.31779202727821604,0.7506426987619103,-0.00037301100694489873,0.0009053458080883321,DEV,sn_dep__Cx_sn,Cx_sn_v6,temprano,363,1123.7123336003945
__ap,0.0006055401849055682,0.00046586657536491045,1.299814618447894,0.19366451397872408,-0.0006230538209442221,0.0015839824094208124,DEV,sn_dep__Cx_sn,Cx_sn_v6,medio_camp,359,1085.6379153544617
__ap_x_zT_local,0.00025130368380727456,0.00034181077242375723,0.7352128840916774,0.46220985355419086,-0.0006719856302596161,0.001255904362072264,DEV,sn_dep__Cx_sn,Cx_sn_v6,medio_camp,359,1085.6379153544617
__ap,0.000724801129972754,0.0006534718755622141,1.1091542835706156,0.2673636305649457,-0.0002121321236852578,0.002238972527368305,DEV,sn_dep__Cx_sn,Cx_sn_v6,tardio,361,993.0734470428091
__ap_x_zT_local,0.0004815874196173847,0.0006455826000835272,0.7459733573288309,0.45568350949106184,-0.0012796714867851717,0.0011494383213881878,DEV,sn_dep__Cx_sn,Cx_sn_v6,tardio,361,993.0734470428091
__ap,0.010714667581025837,0.01105062154099247,0.9695986367173642,0.3322465927284298,-0.0077631071269410115,0.03196325495745181,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap_x_zT_local,-0.002419420858260789,0.005221436108289215,-0.463363107023348,0.6431041184099853,-0.015984200439553762,0.008307729020075056,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap,0.005903103767621293,0.009597009465599084,0.6150982541781621,0.5384898349561844,-0.01325661914808125,0.024346580052133294,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap_x_zT_local,0.0002244093283426344,0.009240508533062746,0.024285387274920293,0.9806249689600216,-0.017027858434085302,0.019559442643971872,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap,0.007467007287220505,0.007665447076163036,0.9741124311510007,0.3300007178448212,-0.004683222370853557,0.02265125039787742,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,tardio,361,993.0734470428091
__ap_x_zT_local,-0.0038957519996254265,0.005220964527803014,-0.746174768834287,0.45556184763817154,-0.013932764660641713,0.00525368882963996,DEV,sn_dep__Cx_sn,tasa_gn_nm3_min,tardio,361,993.0734470428091
__ap,0.0019084620805757497,0.0025370549272525672,0.7522352236348566,0.45190961464435175,-0.0035630227906275147,0.0059425449048310834,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,temprano,363,1123.7123336003945
__ap_x_zT_local,-0.0007184493342331374,0.0015755450117222291,-0.45600051340189895,0.648389609029849,-0.004485082874364949,0.0026347669346010382,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,temprano,363,1123.7123336003945
__ap,0.00947774034942427,0.0038530938958350846,2.4597740427942907,0.013902451389167526,0.0017998483295443434,0.01789296882019177,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,medio_camp,359,1085.6379153544617
__ap_x_zT_local,-0.0011460589371165924,0.0035959088939138254,-0.31871189480254314,0.7499449939381706,-0.009459853152043401,0.0059380628892566,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,medio_camp,359,1085.6379153544617
__ap,0.00729540778958073,0.004587992496216088,1.5901089192272138,0.11181025585461396,0.00014756780295383025,0.013973039258376115,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,tardio,361,993.0734470428091
__ap_x_zT_local,0.004679924076471337,0.00400697446177339,1.167944572923511,0.2428291231812736,-0.00334038525492044,0.010357965891917197,DEV,sn_dep__C_crudo,tasa_feed_Carbon_kg_min,tardio,361,993.0734470428091
__ap,0.011285852954514178,0.011162224614978821,1.0110756004111812,0.3119802474339901,-0.007127407415331847,0.033419490746873254,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap_x_zT_local,-0.002747801629935252,0.00555150506821159,-0.49496516641395283,0.6206247092045083,-0.016282336661838998,0.007838062972311622,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap,0.005927599919891363,0.0097292967220202,0.6092526612407141,0.5423569795163132,-0.011644957153863465,0.02492848597452566,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap_x_zT_local,0.0009704899331158701,0.009305452256788324,0.10429261322660573,0.9169371397384066,-0.01569403957815865,0.019777068555725096,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap,0.006456595491290924,0.007442185579755021,0.8675671174950006,0.3856313541386366,-0.00586597815693589,0.02109079099078285,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,tardio,361,993.0734470428091
__ap_x_zT_local,-0.003770940872826582,0.005252259106080802,-0.717965507158772,0.47277855496981835,-0.013679615009329963,0.005489135913327104,DEV,sn_dep__C_crudo,tasa_gn_nm3_min,tardio,361,993.0734470428091
__ap,-0.0026404286709226644,0.0020498269366850774,-1.288122730591438,0.19770324394890582,-0.00669000364699496,0.0009309898236620071,DEV,feo_ret__GN,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap_x_zT_local,0.0013654259155859944,0.0010875986096641442,1.2554502216655505,0.20931536773010906,-0.0010070548735398909,0.004143700768518278,DEV,feo_ret__GN,tasa_gn_nm3_min,temprano,363,1123.7123336003945
__ap,-0.0007634914425602001,0.0017849047776089288,-0.42774911700498597,0.6688337859598938,-0.003891781328583127,0.0026081658653383092,DEV,feo_ret__GN,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap_x_zT_local,0.0025964561009965185,0.0018459072213562733,1.4066016270789505,0.15954555034744577,-0.0001720007836621799,0.006157866785307025,DEV,feo_ret__GN,tasa_gn_nm3_min,medio_camp,359,1085.6379153544617
__ap,-0.0037715690525750283,0.001853496123286748,-2.034840540096205,0.04186692044556806,-0.007171795584599243,-0.0006318657946523891,DEV,feo_ret__GN,tasa_gn_nm3_min,tardio,361,993.0734470428091
__ap_x_zT_local,-0.0010512452935312324,0.0013392283347944077,-0.7849634496365512,0.43247499880546014,-0.004224021262413813,0.001628851852652164,DEV,feo_ret__GN,tasa_gn_nm3_min,tardio,361,993.0734470428091
