subset,n,media,mediana,min,max,OVL
DEV,1196,1066.907263421794,1071.5890086385452,888.7401738505894,1277.1968162671606,0.32686998991346816
LB,252,978.2583953382821,975.3794697953181,929.2081702689208,1056.419166615873,0.32686998991346816
