regimen,n,T_media,theta,se_hc3,p_hc3,ci_lo_boot,ci_hi_boot,muestra,spec,palanca
caliente,442,1135.3861263073677,0.0003882171210369921,0.0002511663027329819,0.1221872665911208,-0.00016914515491519625,0.0008938801408918533,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
frio,442,969.7887472434716,-4.0792758211953094e-05,0.0003946882751259175,0.9176817252164885,-0.0007949917539937836,0.0010479643060396007,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
medio,441,1048.669149644811,0.0009019938758606623,0.0005573049887668219,0.1055565283778724,-8.228723842838554e-05,0.0017682054119888707,TOTAL,sn_dep__Cx_sn,Cx_sn_v6
caliente,442,1135.3861263073677,0.007556615927152742,0.0072749603390170154,0.2989369512732478,-0.00562358876162027,0.02072734210708818,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
frio,442,969.7887472434716,0.01010465723147932,0.006310300935628463,0.10931145930058649,-0.00039564206948421724,0.021544768834873045,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
medio,441,1048.669149644811,0.015656803325785472,0.006480992082262676,0.01570053196964297,0.0018691555082983276,0.028205048794611047,TOTAL,sn_dep__Cx_sn,tasa_gn_nm3_min
caliente,442,1135.3861263073677,0.0022379417813925893,0.0021339835444814615,0.2943090433914458,-0.0017995746236192966,0.006426674295981423,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
frio,442,969.7887472434716,0.00045501566450970927,0.003396243536612079,0.8934214267087661,-0.004839802867569551,0.006569829707291655,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
medio,441,1048.669149644811,0.005343569604662602,0.003284667446896318,0.10377488579847503,-0.00031919684960070077,0.01153198068567904,TOTAL,sn_dep__C_crudo,tasa_feed_Carbon_kg_min
caliente,442,1135.3861263073677,0.00964481781983685,0.007125835832826767,0.17589599393556987,-0.0033938475634286256,0.022508680261408346,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
frio,442,969.7887472434716,0.009660303706646304,0.00630940557172001,0.12574574373507943,-0.0006828679883369063,0.021328996681588528,TOTAL,sn_dep__C_crudo,tasa_gn_nm3_min
