objetivo,muestra,n,pendiente,t,p_unilateral,spearman_parcial,p_perm_unilateral,kpi_tercio_bajo,kpi_tercio_alto,esquema,se,p_spearman,r_parcial,sd_score_pp,beta_medio,beta_sd_folds
a_log_v8_fijo,DEV_gkf(0 param),297,2.783272168041823,5.78599919176626,3.6041280142917808e-09,0.33164906822624945,0.0004997501249375312,-1.5594591977618357,1.4978720845087248,,,,,,,
a_log_v8_fijo,TOTAL_crono(0 param),360,2.8453865532625304,6.4108148827728995,7.2371932452933e-11,0.3143154396767464,0.0004997501249375312,-1.5883199015620388,1.5090110550880458,,,,,,,
b_log_Kact,DEV_gkf(10 rep),297,0.4901075672597036,1.020053416417281,0.15385156397850697,0.06206129863847985,0.21189405297351324,0.030351933471315172,0.7684856074195974,gkf,0.48047245308103703,0.2863952472011805,0.050177793095420406,0.45899209894793025,"{'D_sn_log_ident': np.float64(-3.0013), 'D_feo_log_ident': np.float64(7.0137)}","{'D_sn_log_ident': np.float64(2.3117), 'D_feo_log_ident': np.float64(18.8241)}"
b_log_Kact,TOTAL_crono(6),360,-0.83502025282931,-1.2360063016460552,0.8917718893569573,-0.08247954588126966,0.8985507246376812,0.43841228964813156,-0.48156692684242836,crono,0.6755792844399493,0.11825041028606047,-0.06611019658286688,0.3574774033387523,"{'D_sn_log_ident': np.float64(-5.2349), 'D_feo_log_ident': np.float64(-29.8877)}","{'D_sn_log_ident': np.float64(1.1978), 'D_feo_log_ident': np.float64(16.4103)}"
c_kg_lambda_act,DEV_gkf(10 rep),297,0.4193190465545878,0.8706315965403381,0.19197766928474663,0.051217782761406934,0.23638180909545228,0.13087683161745486,0.7419321313380135,gkf,0.48162626789660734,0.3791158530244311,0.04478963185100886,0.4764634424252396,"{'D_sn_kg_ident': np.float64(-0.0003), 'D_feo_kg_ident': np.float64(-0.0025)}","{'D_sn_kg_ident': np.float64(0.0006), 'D_feo_kg_ident': np.float64(0.0009)}"
c_kg_lambda_act,TOTAL_crono(6),360,-1.7381737146099043,-2.3978635940756647,0.9917544974382884,-0.18999889402438805,0.9970014992503748,1.4138635461867692,-0.6463746062584079,crono,0.7248843174000231,0.0002883837405281252,-0.13993932638706327,0.3608612321710902,"{'D_sn_kg_ident': np.float64(0.0), 'D_feo_kg_ident': np.float64(-0.0005)}","{'D_sn_kg_ident': np.float64(0.0006), 'D_feo_kg_ident': np.float64(0.0013)}"
d_beta_libres_GN_C,DEV_gkf(10 rep),297,0.7329869226645425,2.208105013621147,0.0136184768002238,0.1361996529781765,0.01699150424787606,-0.9113329910404055,0.6964677478831403,gkf,0.3319529271221082,0.01886047946292159,0.13010138262885645,0.8027013356867351,"{'x_R_gn': np.float64(-1.1143), 'x_R_carbon': np.float64(1.0461)}","{'x_R_gn': np.float64(0.2384), 'x_R_carbon': np.float64(0.3)}"
d_beta_libres_GN_C,TOTAL_crono(6),360,0.6485743694406236,1.462267432592309,0.07183396966347576,0.09350843756510466,0.07296351824087956,-0.6740466444078493,0.2729450101046244,crono,0.44354018627825853,0.07640921027987692,0.07915133443060371,0.5513943508262491,"{'x_R_gn': np.float64(-0.5764), 'x_R_carbon': np.float64(1.0756)}","{'x_R_gn': np.float64(0.2231), 'x_R_carbon': np.float64(0.211)}"
e_kg_lambda_act_signo,DEV_gkf(10 rep),297,0.5732317579070695,1.1594012310660566,0.1231463376084671,0.07764933939430584,0.15942028985507245,0.08502110728199488,0.9488901670448474,gkf,0.4944205185809482,0.18202130646169876,0.0605499130364033,0.4722129858129126,"{'D_sn_kg_ident': np.float64(0.0002), 'D_feo_kg_ident': np.float64(-0.003)}","{'D_sn_kg_ident': np.float64(0.0003), 'D_feo_kg_ident': np.float64(0.0007)}"
e_kg_lambda_act_signo,TOTAL_crono(6),360,-1.3354980316503378,-2.0298828986942508,0.9788157781046694,-0.12333942905938058,0.9815092453773113,0.8710740586186027,-0.7268436887883745,crono,0.6579187560570192,0.019231778911241688,-0.10429003654760044,0.3537667607813289,"{'D_sn_kg_ident': np.float64(0.0003), 'D_feo_kg_ident': np.float64(-0.001)}","{'D_sn_kg_ident': np.float64(0.0005), 'D_feo_kg_ident': np.float64(0.0009)}"
