m_std,m_orig,beta_gn,beta_gn_lo,beta_gn_hi,beta_c,beta_c_lo,beta_c_hi
-1.2717007527269806,1.0689855517625253,-1.423031818399778,-3.1606033448289272,0.11300101662418255,1.3785661153822226,-0.006062586003642834,2.9626827263100526
-1.146295442285505,1.2045704593917816,-1.3872329593959623,-3.013900772892326,0.045682825225277446,1.276034875239711,-0.09509227218359415,2.865748144112599
-1.020890131844029,1.3573522946563312,-1.351434100392146,-2.8047693828419518,-0.020317153573892393,1.1735036350971992,-0.12921797367514765,2.685748123239185
-0.8954848214025535,1.5295122318864478,-1.3156352413883299,-2.606214811501384,-0.08640735108036496,1.0709723949546877,-0.21167665077920195,2.527734634871899
-0.7700795109610777,1.7235080949139876,-1.2798363823845138,-2.4488956221802853,-0.15286524619225852,0.9684411548121761,-0.29465055930956413,2.4050376163800378
-0.644674200519602,1.9421094459443156,-1.2440375233806977,-2.3059734494700193,-0.21939965210994483,0.8659099146696645,-0.36067301756751896,2.2751142066294308
-0.5192688900781264,2.1884371249294126,-1.2082386643768817,-2.2320863631553096,-0.25616644110836123,0.7633786745271529,-0.4682730909418856,2.158542091001356
-0.39386357963665064,2.466007803922,-1.1724398053730654,-2.119358516171843,-0.3058565848153238,0.6608474343846413,-0.5780792662827632,2.0709046206555293
-0.2684582691951749,2.778784192486386,-1.1366409463692493,-2.046519006964075,-0.33590437112533755,0.5583161942421296,-0.6960206553073087,2.018173692356415
-0.14305295875369928,3.1312316109184746,-1.1008420873654332,-1.950643928433332,-0.3551039471422175,0.45578495409961817,-0.7937185638952449,1.9816821102232227
-0.01764764831222343,3.5283817389367647,-1.0650432283616171,-1.8532701638989042,-0.34169423937209914,0.3532537139571064,-0.8984759049910689,1.9267891810042985
0.1077576621292522,3.975904449946025,-1.029244369357801,-1.7829903707299026,-0.318185778865753,0.2507224738145949,-0.9978781360312134,1.937884548233284
0.23316297257072782,4.480188756408229,-0.993445510353985,-1.7623019799892845,-0.2639771392732062,0.14819123367208337,-1.140450883571538,1.9184356278829393
0.35856828301220367,5.048434021929075,-0.9576466513501688,-1.7706483161582884,-0.2103412320260722,0.04565999352957162,-1.3158956672703193,1.865900671168942
0.4839735934536793,5.688752742240187,-0.9218477923463527,-1.7762577823998933,-0.11762643765247521,-0.05687124661293991,-1.4607866157487726,1.8133956973668826
0.6093789038951551,6.410286362419238,-0.8860489333425365,-1.8172284573397546,0.0063853903829696025,-0.1594024867554516,-1.5948043854142988,1.8116433102304874
0.7347842143366308,7.223335783800727,-0.8502500743387205,-1.8812309190500722,0.12819211387626375,-0.2619337268979632,-1.7840070888418431,1.7711925775784243
0.8601895247781066,8.139508423746092,-0.8144512153349043,-1.918130784946213,0.23161481955170699,-0.3644649670404749,-1.930137123942974,1.767942559530913
0.985594835219582,9.171883927756951,-0.7786523563310883,-1.9896951191980587,0.3451889311037317,-0.46699620718298623,-2.075314554013644,1.8120762935705925
1.1110001456610579,10.335200899703684,-0.7428534973272721,-2.0593268441257093,0.46815742030305457,-0.5695274473254979,-2.254727143793835,1.8791240913155631
1.2364054561025337,11.646067316004356,-0.7070546383234559,-2.1446678898653446,0.5929115384993605,-0.6720586874680097,-2.4395127878859246,1.8921372060242077
1.3618107665440091,13.123197627710685,-0.67125577931964,-2.2103988716691916,0.7300727565233677,-0.774589927610521,-2.6139421144509845,1.9007128923108525
1.487216076985485,14.78767993546493,-0.6354569203158238,-2.273106947967633,0.8670781459999579,-0.8771211677530326,-2.7793387526933158,1.8859336459405267
1.6126213874269608,16.66327705162355,-0.5996580613120077,-2.3352339846353116,1.0041837538202945,-0.9796524078955444,-2.973024392594495,1.8579294754862552
1.7380266978684364,18.77676574763072,-0.5638592023081916,-2.3997482778263746,1.134599063248518,-1.082183648038056,-3.152691076638093,1.8299253050319833
