t,dof,f_partial,r2_partial,RV_q1,RV_q1_alpha05,variable,rol,benchmark_r2_max,benchmark_var_max,RV_q1_supera_benchmark
-3.1983070683737425,285,-0.18945136026801587,0.034648229947318615,0.17235352235279594,0.07025217615106405,x_R_gn,exposicion_foco,0.009455943810252401,x_F_exo2,True
1.4516819577507183,285,0.085990217853676,0.007340042957939736,0.08237250224541535,0.0,x_R_carbon,exposicion_foco,0.009455943810252401,x_F_exo2,True
-0.9843058009317041,285,-0.05830524365536594,0.0033879839812962307,0.05663026376955181,0.0,x_F_carbon,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.18857391487260236,285,-0.011170154684942462,0.00012475678948703,0.011107942721555308,0.0,x_F_gn,benchmark_candidato,0.009455943810252401,x_F_exo2,
-1.6494455108405823,285,-0.09770471972711917,0.009455943810252401,0.09304813286934253,0.0,x_F_exo2,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.8296108193705373,285,-0.049141903783093875,0.0024091088860368672,0.04794927245306505,0.0,x_R_exo2,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.1541953335243474,285,-0.009133743276883611,8.341830705354071e-05,0.009092125891383565,0.0,feed_sn_total_t,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.9523622577499156,285,-0.05641307145982779,0.0031723388704473715,0.05484429104623647,0.0,ley_sn_conc_batch_pct,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.5836422142395361,285,-0.03457198106176209,0.001193795024607715,0.03397953488721003,0.0,espesor_ladrillo_norm_mm,benchmark_candidato,0.009455943810252401,x_F_exo2,
0.5346029946029206,285,0.03166714838996901,0.0010018036701298111,0.031169713507487432,0.0,frac_carga_secundaria_F,benchmark_candidato,0.009455943810252401,x_F_exo2,
-1.2933581819789082,285,-0.07661192676357462,0.005835138633706041,0.07373342063222967,0.0,feed_dross_Fe_total_t,benchmark_candidato,0.009455943810252401,x_F_exo2,
-0.6420330060367374,285,-0.0380307530610158,0.001444249305478339,0.03731445901666362,0.0,idx_cronologico,benchmark_candidato,0.009455943810252401,x_F_exo2,
