orden,coef_set,n,b0,b1,umbral_sn_inv_kg,ci_lo,ci_hi,pct_escalones_bajo_umbral,val_medio_pp
0,dev_fit,296,-0.13735761612750486,-1.485900728134577e-06,-92440.64123983959,-724367.5842553282,462740.079076253,0.0,-0.15484730649112557
0,v8_contraste,296,-0.27296731009397435,9.131229811793352e-06,29893.816684081925,23888.7316735325,43243.807003876915,100.0,-0.16548880966425786
0,carbon_dev_fit,296,,,,,,,-0.004074384298532619
1,dev_fit,294,-0.1975170376990527,-7.735688288515441e-07,-255332.20876064833,-1039394.7375486968,1084591.608395339,0.0,-0.19940945362552231
1,v8_contraste,294,-0.34727824300574345,1.0959763065946279e-05,31686.656081534464,-76325.88149415622,148634.88009958202,100.0,-0.32046688582228117
1,carbon_dev_fit,294,,,,,,,-0.0004418757205333264
2,dev_fit,290,-0.12612017674408263,-1.51664825990641e-05,-8315.716971307857,-43257.20629287751,-3099.459829714232,0.0,-0.14546806488476988
2,v8_contraste,290,-0.27701210032843876,1.3342093194371627e-05,20762.26693164582,-180466.85483286498,173802.87343644237,100.0,-0.25999158650783444
2,carbon_dev_fit,290,,,,,,,-0.0001603300012525688
3,dev_fit,203,-0.09993171027984318,-3.3198396296364895e-05,-3010.1366761136396,-9964.42660634274,-1461.434015698376,0.0,-0.1341552706649748
3,v8_contraste,203,-0.23657350009103098,-1.0421327195837507e-05,-22700.899381177027,-143121.64495811108,233522.07806201602,0.0,-0.24731663712078605
3,carbon_dev_fit,203,,,,,,,-0.00011389750672828647
