canal,periodo_batches,potencia,potencia_rel
D_kg,72.4,90205787.6868082,0.05948632896778295
D_kg,51.714285714285715,76729102.62332618,0.050599110734459586
D_kg,362.0,74577029.77824138,0.04917992337954368
D_kg,60.333333333333336,60617875.17035463,0.03997453995115497
D_kg,3.3518518518518516,60327672.06836036,0.03978316512216241
E_kg,181.0,1718251.769902552,0.02766484832082688
E_kg,3.2612612612612613,1225830.1067733672,0.019736574444449144
E_kg,6.464285714285714,1144635.3001895437,0.018429291048659167
E_kg,3.3518518518518516,1123462.7214182443,0.018088400272040336
E_kg,3.0166666666666666,1063207.6250402804,0.01711825833414045
M_kg,90.5,218040517.21782166,0.08261160053490368
M_kg,40.22222222222222,78459172.90274848,0.029726758736614376
M_kg,21.294117647058826,74286778.36979951,0.028145914062293345
M_kg,72.4,67626618.59846118,0.02562250022366819
M_kg,362.0,65803590.43824815,0.02493178789158843
P_kg,3.0677966101694913,171959249.50906742,0.1210345038784689
P_kg,2.9672131147540988,97797097.7494814,0.06883504807479665
P_kg,2.896,62140551.75026448,0.04373798369846336
P_kg,120.66666666666667,59886904.96553637,0.04215174148534826
P_kg,3.120689655172414,26179815.38086357,0.018426813185676575
cierre_sn_frac,3.0677966101694913,0.059115525413908895,0.03770048261846108
cierre_sn_frac,32.909090909090914,0.049073024778603966,0.031295953216137304
cierre_sn_frac,2.4794520547945207,0.045413911248995575,0.028962381027510194
cierre_sn_frac,3.2612612612612613,0.042801243068942105,0.027296171506064632
cierre_sn_frac,60.333333333333336,0.04047817515956993,0.02581465238354011
f_dross,362.0,0.023346050897610264,0.04636594849767343
f_dross,51.714285714285715,0.022527306356577754,0.04473989759130149
f_dross,3.3518518518518516,0.019495755234208354,0.03871914728006869
f_dross,72.4,0.019342034381370492,0.038413853113746614
f_dross,60.333333333333336,0.017495564944172176,0.034746710126560346
f_metal,3.0677966101694913,0.03177536108600818,0.042062816310705776
f_metal,51.714285714285715,0.02810165328679283,0.037199724561116
f_metal,2.896,0.02599024220584732,0.03440473204431005
f_metal,181.0,0.020462997067485708,0.027088009621239924
f_metal,3.3518518518518516,0.019517420369791816,0.02583629704950472
f_polvo,3.0677966101694913,0.04053696694900169,0.10800073842628242
f_polvo,2.9672131147540988,0.02186495248196855,0.058253766658936855
f_polvo,2.896,0.01533159197795882,0.040847240913538516
f_polvo,120.66666666666667,0.014168863520577014,0.037749438057580645
f_polvo,2.873015873015873,0.010466784875647377,0.027886163682179492
recuperacion_real_pct,60.333333333333336,424.4333888234903,0.04409725160102188
recuperacion_real_pct,21.294117647058826,376.70553603813653,0.039138482597277105
recuperacion_real_pct,22.625,191.2964134358042,0.019875076503841935
recuperacion_real_pct,9.783783783783784,187.60396147074613,0.01949144272851808
recuperacion_real_pct,2.850393700787402,186.2927103103525,0.01935520798861628
recuperacion_refinada_pct,3.0677966101694913,272.5638356239605,0.03746144496935215
recuperacion_refinada_pct,51.714285714285715,257.96123994461334,0.03545444967887542
recuperacion_refinada_pct,3.3518518518518516,223.39046845471256,0.030703008421996077
recuperacion_refinada_pct,2.896,221.46185762506667,0.030437938229185342
recuperacion_refinada_pct,181.0,174.5234171113387,0.023986672226757343
rendimiento_proxy_batch,3.0677966101694913,317.75361086008166,0.04206281631070576
rendimiento_proxy_batch,51.714285714285715,281.01653286792737,0.03719972456111588
rendimiento_proxy_batch,2.896,259.9024220584734,0.034404732044310084
rendimiento_proxy_batch,181.0,204.62997067485725,0.02708800962123995
rendimiento_proxy_batch,3.3518518518518516,195.1742036979185,0.025836297049504773
sn_perdido_escoria_frac,181.0,0.0006084001520885689,0.030058076989582787
sn_perdido_escoria_frac,90.5,0.0004093332884686306,0.020223156514592812
sn_perdido_escoria_frac,6.464285714285714,0.0004077124450026738,0.02014307856339483
sn_perdido_escoria_frac,3.0166666666666666,0.00039340612497990073,0.019436273236003127
sn_perdido_escoria_frac,3.3518518518518516,0.00033675603840275213,0.016637469425785513
